split_1,split_2,pair_count,min_rms_snr,median_rms_snr
train,train,24180,1.0139625964161638,46.65071122294117
train,val,5148,1.01208844054163,42.32094907785502
train,test,4836,1.0231860474340837,49.93460017967304
val,val,1056,1.1239456756016095,38.95739254485712
val,test,1023,1.0898137932144871,47.052203914283645
test,test,930,1.1026515626802678,53.85278585611375
