state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_grid_formula,grid_formula_minus_verified_margin,recovery_alias_trigger_grid,recovery_alias_a1_grid,recovery_alias_m_grid,recovery_alias_gamma_grid,global_alias_margin_grid_verified,global_alias_margin_grid_formula,global_alias_trigger_grid
0,0.05,0.025,0.0,0.8,0.1,0.001642328297188057,0.0016423286767529965,3.795649395916395e-10,gamma_high,0.050490755451978404,0.792,0.12022644346174131,0.009719687530768364,0.009719687413718548,gamma_high
1,0.2,0.025,0.0,0.8,0.1,0.005021988974934121,0.005021990351847911,1.3769137895830452e-09,gamma_low,0.19803679212447256,0.808,0.07943282347242814,0.015758261091866163,0.015758261130835786,gamma_low
2,0.125,0.025,0.0,0.4,0.1,0.003025575622237494,0.003025575193840243,-4.283972512668377e-10,gamma_low,0.12308134615201154,0.40800000000000003,0.07585775750291836,0.006982274629359311,0.00698227485326705,gamma_low
3,0.125,0.025,0.0,1.2,0.1,0.004998774288071994,0.004998774220153426,-6.79185683388761e-11,gamma_high,0.126207405595293,1.1920000000000002,0.12022644346174131,0.02669125126529508,0.026691251162534946,gamma_high
4,0.125,0.025,0.0,0.8,0.01,0.003880966289116056,0.0038809658793562945,-4.0975976171170325e-10,gamma_high,0.12512567887391185,0.8,0.012022644346174132,0.00451901043343681,0.004519011071516253,gamma_high
5,0.125,0.025,0.0,0.8,1.0,0.003671081758403696,0.003671081340377574,-4.1802612196426003e-10,m_high,0.12164434796755347,0.8400000000000001,0.9120108393559097,0.017634039222197567,0.017634039210907504,m_high
6,0.16122385524213317,0.025,0.0,0.6248866088688374,0.16198379877597932,0.006830706899286086,0.006830706267950776,-6.313353104192565e-10,gamma_low,0.15827674516828244,0.64,0.12589254117941676,0.016372295896405667,0.016372295683032,gamma_low
7,0.08229514658451081,0.025,0.0,0.883558589220047,0.056059799708229704,0.0018789777716153389,0.0018789782750408641,5.034255252250874e-10,gamma_low,0.08181678396016026,0.888,0.04365158322401661,0.005040523780165877,0.005040523935465399,gamma_low
8,0.07106339591555298,0.025,0.0,0.4700461007654667,0.10217107021042232,0.002620106860275398,0.0026201066038837612,-2.5639163665422404e-10,gamma_low,0.07000355598467828,0.48000000000000004,0.07585775750291836,0.004142487090863956,0.0041424871910608375,gamma_low
9,0.14916357691399756,0.025,0.0,1.034784200787544,0.03409104556728968,0.002155844244522203,0.00215584642667272,2.1821505171402966e-09,gamma_high,0.14968955197974293,1.032,0.04168693834703355,0.006431825971811352,0.006431825834468664,gamma_low
