state_id,recovery_alias_margin_grid_verified,recovery_alias_margin_grid_formula,grid_alias_trigger_verified,grid_alias_a1_verified,grid_alias_m_verified,grid_alias_gamma_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
31949,0.1408216688106085,0.14082166880510671,a1_low,0.19305651698647822,1.2,0.3311311214825911,0.11638416186573873,-0.024437506944869777,continuous_direct_verified,a1_low,0.19390893226943504,1.2,0.3396433415107831,0.005001582228694484,0.005507800728082657,1.148601090724239
10352,0.0306958672502535,0.030695867251018878,gamma_high,0.0518010190024472,0.4,0.2187761623949553,0.030695865571189338,-1.679064162013466e-09,continuous_direct_verified,gamma_high,0.05180101894882301,0.4,0.21877616075037526,0.0014172799151090723,0.004724738746881507,1.2447210748192292
7474,0.026876115388152332,0.026876115231368323,gamma_high,0.19962138470497964,0.41600000000000004,0.013803842646028852,0.00035255886266434154,-0.02652355652548799,continuous_direct_verified,gamma_high,0.19955126582446522,0.4128015852556094,0.013654913116776985,0.0002821621930879925,0.0007614814653531532,1.21297893336093
13839,0.010273900935907467,0.010273900994045473,m_low,0.053076460116324206,1.1520000000000001,1.0,0.01027389715461684,-3.781290626100886e-09,continuous_direct_verified,m_low,0.05307646013880937,1.1520000027009576,1.0,0.0007402036999431122,0.03272285224112559,1.0500435287999048
19170,0.01065335952392637,0.010653359693341123,a1_low,0.17201365903974805,0.512,0.758577575029184,0.0030729424698299917,-0.007580417054096379,continuous_direct_verified,a1_low,0.17950468755327165,0.47211564821959,0.8693587845677603,0.0050000000000000044,0.02595427227974395,1.0879202027346206
47565,0.0634927436745834,0.0634927436324127,gamma_high,0.2,1.064,0.012589254117941675,0.045414517664258795,-0.018078226010324598,continuous_direct_verified,gamma_high,0.2,1.067149563640709,0.0121321920427976,6.578397005796432e-05,0.006424079328422483,1.2000000000000002
2419,0.009792118745573097,0.009792118805689299,gamma_high,0.12063901222003838,0.792,0.3311311214825911,0.0060267054495188295,-0.0037654132960542675,continuous_direct_verified,gamma_low,0.11488830343446144,0.8413647515319381,0.2290722684083555,0.0025609436109810396,0.021178035958865693,1.1999999999999997
29490,0.009640463563990648,0.009640463261565022,gamma_low,0.196170527691863,0.768,0.13182567385564073,0.005685061234946423,-0.003955402329044224,continuous_direct_verified,gamma_low,0.19636934969619915,0.768237691055466,0.13374189449781143,0.002584507483531978,0.011147230546404208,1.2
24785,0.0628748709081843,0.06287487090862749,m_low,0.12992280163878056,1.1600000000000001,1.0,0.04718282588934389,-0.015692045018840417,continuous_direct_verified,m_low,0.13002795772699297,1.1651340198516846,1.0,0.0007954608190584023,0.030000000000000027,1.0278276344583117
29532,0.011672524152591676,0.011672524157772916,a1_low,0.10587857934248895,0.448,0.5011872336272722,0.003391134137602655,-0.00828139001498902,continuous_direct_verified,m_high,0.10697158439418396,0.4425931307673454,0.5208395865787567,0.004524836834910326,0.02999999999999997,1.1488089932308598
