selected_rank,state_id,split,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_grid_formula,global_alias_margin_grid_verified,grid_alias_trigger_verified,grid_alias_a1_verified,grid_alias_m_verified,grid_alias_gamma_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
138,35501,train,0.19415234946645799,0.025,0.0,1.160156036168337,0.6120399599765647,0.017571886422580247,0.017571886141463974,0.6014860961400682,a1_low,0.18906215095930004,1.1920000000000002,0.5495408738576245,0.006438702579283595,-0.011133183843296653,continuous_direct_verified,m_low,0.19839537814555736,1.130156036168337,0.6656615778824,0.00424302867909937,0.030000000000000027,1.0876113022226335
139,10099,train,0.11793024912476541,0.025,0.0,0.9940260231494903,0.38655152579703056,0.013076353278170678,0.013076353323363234,0.028532134615298972,m_high,0.11417364395021082,1.032,0.31622776601683794,0.0065725391962786345,-0.006503814081892044,continuous_direct_verified,m_low,0.12104238956641376,0.9640260231494903,0.44417212707285136,0.003112140441648356,0.030000000000000027,1.1490631841564016
140,36986,train,0.1697774501051754,0.025,0.0,0.5433347396552562,0.8349439997718172,0.010787175097324972,0.010787175305403528,0.029066166286635723,a1_low,0.15866011850305423,0.616,0.6606934480075961,0.0036156262464710344,-0.0071715488508539375,continuous_direct_verified,m_low,0.174676137077328,0.5133347396552562,0.9153970975380088,0.004898686972152594,0.030000000000000027,1.0963574776130838
141,11726,train,0.13294664239510895,0.025,0.0,0.42394492328166966,0.49119514162329125,0.011777764388085024,0.011777764298571325,0.019490655776036227,a1_low,0.1213280132022046,0.488,0.3311311214825911,0.004075176937227055,-0.0077025874508579685,continuous_direct_verified,a1_low,0.12793128751698554,0.4508169064501493,0.4239749643945436,0.005015354878123407,0.026871983168479663,1.1585475154759226
142,42614,train,0.14981874781660737,0.025,0.0,0.4154580540955067,0.2776944366451459,0.009889851001955248,0.009889850451506461,0.014490921116715445,a1_low,0.14033033592668834,0.456,0.17378008287493754,0.0041197309379702365,-0.005770120063985012,continuous_direct_verified,gamma_low,0.14542974130703357,0.43351291287616234,0.23141203053762163,0.004389006509573801,0.018054858780655658,1.2
143,22081,train,0.14065174041315914,0.025,0.0,1.0107017412781714,0.4538717139872029,0.01078982762411541,0.01078982742124171,0.03292299787950838,a1_high,0.14660370233473857,0.9600000000000001,0.5495408738576245,0.006589606728373056,-0.004200220895742355,continuous_direct_verified,m_low,0.14416210367264667,0.9807017412781713,0.5101911154669666,0.003510363259487531,0.030000000000000027,1.1240866080527585
144,27357,train,0.18203799990005792,0.025,0.0,1.0866026930510997,0.6970681261019299,0.01274204176411573,0.012742041436594959,0.16052424353959183,a1_high,0.18868421245145062,1.032,0.7943282347242817,0.005172162872982138,-0.007569878891133592,continuous_direct_verified,m_low,0.18584721970824403,1.0566026930510997,0.7519775680432975,0.003809219808186104,0.030000000000000027,1.0787719878233801
145,44974,train,0.12840825826860966,0.025,0.0,0.5880844391882419,0.30772918895210005,0.010285824303899812,0.010285824292125904,0.019108002609608356,gamma_low,0.1239478457967691,0.616,0.2398832919019491,0.005254302781766446,-0.005031521522133367,continuous_direct_verified,gamma_low,0.1250247516836324,0.6103060810078986,0.2564409907934167,0.0033835065849772694,0.02222164181965669,1.2
146,33750,train,0.14780268580652775,0.025,0.0,0.7097704254090786,0.5395293595043614,0.010053401039132192,0.0100534014412061,0.028401705983406172,a1_low,0.14113580254332755,0.76,0.4365158322401661,0.005141647455806812,-0.004911753583325381,continuous_direct_verified,m_low,0.1518962036388061,0.6797704254090786,0.603165504251379,0.004093517832278348,0.030000000000000027,1.1179475104106975
147,13881,train,0.15886277188546957,0.025,0.0,1.1465881228446961,0.5218046035177091,0.012627701288313059,0.012627701680453685,0.032408622290962405,m_high,0.1544289772769592,1.1840000000000002,0.4570881896148752,0.006619596154621291,-0.006008105133691768,continuous_direct_verified,m_low,0.162564509045887,1.116588122844696,0.5759759929438041,0.00370173716041744,0.030000000000000027,1.1038154685890127
148,31644,train,0.1140213136561215,0.025,0.0,0.6470874302089215,0.3804729025199145,0.009478052822688165,0.009478052821444581,0.020435314054930917,a1_high,0.12085229313262258,0.5920000000000001,0.5011872336272722,0.005297484842234644,-0.004180567980453521,continuous_direct_verified,m_low,0.11772289396149882,0.6170874302089214,0.44618256830759945,0.0037015803053773166,0.030000000000000027,1.1727052448478787
149,3933,train,0.1826743562240154,0.025,0.0,0.8869673833251,0.13606830671570802,0.010383086764840906,0.010383087234477464,0.020795383844327633,gamma_low,0.17918591995072858,0.904,0.09549925860214359,0.005377067592894779,-0.005006019171946126,continuous_direct_verified,gamma_low,0.1807076383024719,0.8962888875089948,0.11339025559642335,0.001966717921543487,0.00932150418389488,1.2
150,40242,train,0.1992739645764232,0.025,0.0,0.7658890694379806,0.3023091339164864,0.013387690697120301,0.01338769057282671,0.03232830713729775,a1_low,0.192333352614045,0.8,0.22908676527677735,0.008864846262294014,-0.004522844434826288,continuous_direct_verified,gamma_low,0.1944713916305132,0.789236549100885,0.2519242782637387,0.004802572945910022,0.023347479662904402,1.1999999999999997
151,24166,train,0.15654201009310784,0.025,0.0,0.5192578181624412,0.3143176236989952,0.011782124201129293,0.011782124472226702,0.020954190820275873,a1_low,0.14857270583289062,0.56,0.2187761623949553,0.005550626405834066,-0.006231497795295227,continuous_direct_verified,gamma_low,0.15209793627534157,0.5412097378839317,0.261931353082496,0.004444073817766264,0.021951919721490465,1.2
152,34817,train,0.14210454355925323,0.025,0.0,0.9818573430180549,0.2878572423939759,0.009923727519521622,0.00992372720276117,0.029451221661088323,gamma_high,0.146069029649601,0.9520000000000001,0.34673685045253166,0.008215953562442483,-0.0017077739570791391,continuous_direct_verified,gamma_low,0.13891217763911146,1.0047444803213383,0.23988103532831329,0.003192365920141771,0.0228871373032834,1.2
153,28324,train,0.09251344092190267,0.025,0.0,0.6138303942978383,0.9426564467297419,0.010213727463775349,0.010213727295293597,0.01547573507455568,a1_low,0.08362028713611433,0.736,0.6606934480075961,0.00214542912924268,-0.008068298334532669,continuous_direct_verified,m_high,0.09028165496116872,0.6438303942978383,0.868560508316392,0.0022317859607339507,0.030000000000000027,1.0853088963910835
