split_1,split_2,pair_count,min_rms_snr,median_rms_snr
train,train,7310,1.4961261022654522,41.39695146943954
train,val,1634,1.328032745000151,46.46398964179339
train,test,1548,1.3226585179204522,45.515920822806216
val,val,342,2.6390730765828274,44.88954531053081
val,test,342,2.1049051837172286,41.53371923231795
test,test,306,2.7580914903226614,44.21888338855408
