split_1,split_2,pair_count,min_rms_snr,median_rms_snr
train,train,7310,1.4961261022654522,41.39695146943954
train,val,1634,1.3226585179204522,45.43678315060231
train,test,1548,1.328032745000151,46.66724317624301
val,val,342,2.21201096054173,41.4154943744249
val,test,342,2.1049051837172286,41.909188641114184
test,test,306,2.621177699314657,49.92081819387941
