split,count,min_nearest_train_rms_snr,median_nearest_train_rms_snr,p90_nearest_train_rms_snr,max_nearest_train_rms_snr
val,19,1.3226585179204522,1.390010124206772,1.448672131550368,1.4873803354457535
test,18,1.328032745000151,1.4066995278391832,1.4693321022066954,1.480897085619947
holdout_all,37,1.3226585179204522,1.3969831179874168,1.4686879264336723,1.4873803354457535
