split_1,split_2,pair_count,min_rms_snr,median_rms_snr
train,train,10506,1.404031156006627,44.9179490621385
train,val,2369,1.4076941151049076,41.7902811609881
train,test,2163,1.4141410660330878,45.936571788176394
val,val,506,1.4634817599233063,41.78959684570861
val,test,483,1.5376582606154783,42.42614936721093
test,test,420,1.7258387314716546,47.966806997969925
