selection_order,candidate_index,maximin_rms_snr_at_selection,is_forced_corner
0,0,inf,1
1,1,inf,1
2,2,inf,1
3,3,inf,1
4,4078,43.009204309357244,0
5,5800,34.67771084446993,0
6,2828,21.557737159509198,0
7,4839,21.49719964282515,0
8,744,17.36082836511198,0
9,4346,17.33890409640871,0
10,3306,11.237596667961098,0
11,1740,10.871717865242829,0
12,4023,10.864792312229763,0
13,1948,10.85104122095158,0
14,2950,10.775215298025637,0
15,1327,8.767202070907805,0
16,4857,8.675398799274642,0
17,2549,8.661273602359488,0
18,3800,8.660587686895745,0
19,5051,5.631348218720628,0
20,331,5.581019144578577,0
21,5465,5.556127547018267,0
22,4293,5.526747860058459,0
23,2291,5.486267077504319,0
24,587,5.473132944066779,0
25,3686,5.447076661789989,0
26,5489,5.444886871417542,0
27,1791,5.425768630998938,0
28,5283,5.3846892898123,0
29,4363,4.60669117855973,0
30,5313,4.530618836820595,0
31,2455,4.432240425765948,0
32,5072,4.430070391134331,0
33,1569,4.339850594687563,0
34,4482,4.339181633880661,0
35,4569,4.323068891049988,0
36,991,4.2392161572436775,0
37,5380,3.394739832220692,0
38,1884,3.3263454150290235,0
39,5247,3.123201586583234,0
40,435,3.0539256246733104,0
41,5248,3.009789387035579,0
42,5531,2.897983848299811,0
43,5848,2.8886607903530304,0
44,2244,2.8823661375328715,0
45,4479,2.874902620897253,0
46,5544,2.8717294145223935,0
47,5508,2.855858953113953,0
48,548,2.8433544200987058,0
49,2203,2.838272326641546,0
50,5666,2.834245662577198,0
51,367,2.8309820485351955,0
52,1405,2.8241633714270717,0
53,4895,2.821592609769112,0
54,5455,2.7819618785842373,0
55,468,2.752715498628744,0
56,1567,2.7023301786526863,0
57,3363,2.6975298924673003,0
58,1215,2.6964088496666045,0
59,4653,2.4790280726637848,0
60,1264,2.4762686715847324,0
61,451,2.463584804929062,0
62,260,2.4557280390029215,0
63,1726,2.402691122756385,0
64,5627,2.3325313305170337,0
65,4987,2.327738805609113,0
66,4137,2.3171279674034033,0
67,2212,2.3166839484809794,0
68,2748,2.3090434948561995,0
69,3118,2.2607975047335556,0
70,4446,2.1943397011514736,0
71,5295,2.1855458512445023,0
72,3451,2.1848701794117122,0
73,3315,2.1844285573728746,0
74,1989,2.177797469948426,0
75,2816,2.161770905671404,0
76,2125,2.151207168815762,0
77,793,2.14437509113,0
78,5956,2.1356466271321155,0
79,2574,2.1290144258123602,0
80,3812,2.118265388393367,0
81,5979,2.1181260923438217,0
82,5440,2.084936192916979,0
83,2389,2.0809787771105825,0
84,1041,2.005409069159906,0
85,2079,1.9701236851125346,0
86,3907,1.969527262885258,0
87,2124,1.9558165046103004,0
88,3577,1.9229068924475428,0
89,3712,1.9062861895741205,0
90,3398,1.8956429051804926,0
91,5495,1.8416105672323289,0
92,2402,1.7914178696506324,0
93,2901,1.7887903492373576,0
94,4290,1.777591143442265,0
95,3163,1.7624010890956014,0
96,4252,1.7507922218733456,0
97,4024,1.743059200705869,0
98,4323,1.7394464535518486,0
99,1431,1.7275281800552902,0
100,4891,1.7258387314716546,0
101,4142,1.7074258476969972,0
102,3216,1.6916392276814394,0
103,4796,1.6882646627924491,0
104,1874,1.6867673838964192,0
105,668,1.6711621542439241,0
106,4168,1.661409032003756,0
107,4093,1.6612932047340205,0
108,2682,1.6568568090984934,0
109,4861,1.6368976070846788,0
110,5887,1.6326934946585019,0
111,941,1.629357671831452,0
112,1388,1.6166641091521938,0
113,4686,1.6113022180735852,0
114,544,1.6042025221729816,0
115,2676,1.60079645340396,0
116,3007,1.593696579504568,0
117,2140,1.5877939990124437,0
118,779,1.5805520754153763,0
119,5715,1.5786992461218472,0
120,5075,1.5769108224424497,0
121,5142,1.5742084887953303,0
122,3181,1.5669373867572662,0
123,4057,1.5587506365203554,0
124,4747,1.5431168115818088,0
125,5035,1.5418797035903442,0
126,3742,1.5376582606154783,0
127,128,1.5299780730085983,0
128,4727,1.5093390105779225,0
129,794,1.5062322535637365,0
130,4003,1.5042046144904448,0
131,17,1.503774373058684,0
132,1712,1.4955844258971938,0
133,1060,1.48447858881819,0
134,1837,1.4770384830305827,0
135,633,1.471060122540989,0
136,1324,1.4705812874054645,0
137,288,1.465758348132234,0
138,375,1.4634817599233063,0
139,3864,1.4393344170810647,0
140,4894,1.4213930817276164,0
141,5688,1.4141410660330878,0
142,5068,1.4119327983903467,0
143,503,1.4116675831418706,0
144,3868,1.4076941151049076,0
145,16,1.4060073457627666,0
146,3368,1.404031156006627,0
