split,count,min_nearest_train_rms_snr,median_nearest_train_rms_snr,p90_nearest_train_rms_snr,max_nearest_train_rms_snr
val,19,1.3226585179204522,1.4066545741710894,1.4703068231305605,1.4873803354457535
test,18,1.328032745000151,1.3934966210970945,1.4635819925372506,1.4732354065031525
holdout_all,37,1.3226585179204522,1.3969831179874168,1.4686879264336723,1.4873803354457535
