candidate_id,a1,m,gamma,grid_mahalanobis,continuous_mahalanobis,continuous_rms_snr,trigger,alias_a1,alias_m,alias_gamma
25,0.02833400517702103,1.4144364409241825,0.7533994256518781,1.4614476796479345,1.228549682836434,0.07946827274586574,gamma_high,0.03063169316332499,1.4437539588382702,0.9040793107822537
67,0.14963806699961424,1.4582171820197254,0.8145592054817825,3.245911258239877,2.1003562892236207,0.13586075417817628,a1_low,0.14463806699961423,1.4433179895928205,0.7524941566547818
117,0.05681957714259625,1.2701280332077294,0.8906825792975723,2.680666657555766,2.2663268730887456,0.1465964987806518,gamma_low,0.05274053440252064,1.254775785307629,0.742235482747977
168,0.19423080682754518,0.7700545520987362,0.7822743197437376,4.163848981071609,1.6610946825460593,0.10744728286812981,a1_low,0.18923080682754517,0.778759620900076,0.7364073563680866
210,0.0860235096886754,0.5045678565371782,0.44880161148495973,2.910582849082774,1.3524744255917984,0.08748429797856747,a1_high,0.09157072363418146,0.48231309462278793,0.49353911611666057
212,0.10641881693154574,0.251717287376523,0.6696836570557206,0.5244611070642359,0.16295568577073086,0.01054072705665428,a1_high,0.11142455221675739,0.23625446774596665,0.695130829345063
234,0.05066089201718569,0.5674310887698084,0.375451613208279,2.602384619355808,2.082284019623797,0.13469175623714072,gamma_low,0.046848347435076196,0.5869183754163148,0.31287634434023254
274,0.08235302101820707,0.8169278981350362,0.3265585407987237,7.151028023098342,3.3480810343277283,0.21656935859275264,gamma_low,0.07887393317830362,0.8157478225688516,0.2721321173322698
279,0.19754328150302172,1.463921680226922,0.4143217985890806,5.3343416111880995,3.1310133767885495,0.20252841905679228,a1_low,0.19254328150302172,1.4474813994956066,0.3752463474959062
296,0.1962631616741419,0.5992489318456501,0.11061798128299415,17.495605851897885,2.7030782174714347,0.17484759472118777,a1_low,0.1912631616741419,0.6003519772155371,0.09242714237153121
302,0.022744717076420784,0.8440202748589217,0.7598535952810198,1.3491121013668923,1.039553668079232,0.0672431368328181,gamma_high,0.024601917153890242,0.8187915665082113,0.9118243143372238
314,0.07185616344213486,0.9392569253314287,0.19773622622713447,5.552267596613414,2.460890999327946,0.15918180588426073,gamma_low,0.0700416579202887,0.9324632034972388,0.16478018852261206
