state_id,a1,a2,a3,m,gamma,continuous_mahalanobis
0,0.1960261430591345,0.025,0.0,1.229329101163894,0.21919473159126937,4.40446093644653
1,0.07593559809029103,0.025,0.0,1.3379393966495992,0.7238917104434222,3.0326306745978204
2,0.0876813905313611,0.025,0.0,0.713844379298389,0.18046019960194826,3.021822779752396
3,0.11373914126306772,0.025,0.0,1.5566419192403556,0.35778680013492703,3.4196923287154606
4,0.14510893989354373,0.025,0.0,0.8648613370582462,0.4314022366050631,3.080922730711947
5,0.079970015399158,0.025,0.0,0.8410109438281507,0.5063328862190246,3.243903903043691
6,0.16582352966070177,0.025,0.0,0.6992044452484697,0.16106542960740627,3.4929771757465815
7,0.1971236286684871,0.025,0.0,1.2424042707774787,0.509770894041285,3.0163889653285527
8,0.1936690904200077,0.025,0.0,1.7677895900048315,0.2310081331152469,3.0619827020105967
9,0.14615122471004724,0.025,0.0,1.1640503065288066,0.2392568501085043,4.008025739524703
10,0.128901575691998,0.025,0.0,1.2294321334455163,0.541717148795724,3.1242914456839217
11,0.19751905854791404,0.025,0.0,0.8312181473709643,0.32620558455586435,3.2038562021010217
12,0.08472953829914331,0.025,0.0,1.3356098269950598,0.4851499961875379,3.3386012665138165
13,0.10067141223698856,0.025,0.0,1.2123844450805337,0.23164212610572577,3.0191972399257585
14,0.176309216581285,0.025,0.0,1.5185853179637343,0.3798809156939387,3.051849426799455
15,0.15194603670388462,0.025,0.0,1.7426091994531452,0.2381463672965765,3.055019326630088
16,0.11195363625884057,0.025,0.0,0.7990985781513155,0.32370030720718207,3.7257146660039235
17,0.19816512037068607,0.025,0.0,0.8689489940553904,0.130651036221534,3.3913199934274116
18,0.09664702471345664,0.025,0.0,1.1047204849682748,0.619313700851053,3.050117518193991
19,0.06960254944860936,0.025,0.0,0.8153553645312787,0.3360057205799967,3.0091848253938
20,0.15166596304625274,0.025,0.0,1.1964951002877207,0.41682304952293636,3.5306831040036277
21,0.1311491234228015,0.025,0.0,0.6673012414108962,0.1638756412640214,3.1221156563814016
22,0.11451748758554459,0.025,0.0,0.955721529526636,0.14140332761220634,3.056396191569901
23,0.11347068399190903,0.025,0.0,1.164217239841819,0.408212756421417,3.917149122876592
24,0.16970659270882607,0.025,0.0,1.0062474832776933,0.3320008604880422,3.71419702129855
25,0.11747717373073102,0.025,0.0,0.9312392687238753,0.5247783563099802,3.089184656452548
26,0.14536223001778126,0.025,0.0,1.4370619948860257,0.33169356491416696,3.6316887040888512
27,0.1980300206691027,0.025,0.0,1.2112450295872987,0.3630174587480724,3.647416035283109
28,0.17435055691748857,0.025,0.0,1.1715253612957894,0.11922264367341995,3.196420764637005
29,0.199667245708406,0.025,0.0,1.4803591720294207,0.2858531732577831,3.6227897994958167
30,0.15016109477728606,0.025,0.0,0.9538830057252199,0.13659714550711216,3.0441669615801534
31,0.07311188764870168,0.025,0.0,1.1631433433387428,0.38195903901942074,3.0314700792190528
32,0.13209578450769185,0.025,0.0,0.9738992277253419,0.323387467591092,4.103527525019839
33,0.17422990668565036,0.025,0.0,0.9221095796022564,0.21350516218692064,4.20978795869072
34,0.15265021566301584,0.025,0.0,0.7980544424522669,0.299913918171078,3.3996691795504494
35,0.09413818065077068,0.025,0.0,0.9881748856790363,0.3915379370562732,3.823241218338684
36,0.1382396697998047,0.025,0.0,1.4707427293714135,0.45624744550324975,3.0601584994477657
37,0.19654424581676722,0.025,0.0,0.9900383590348065,0.23231939452700318,4.24919591043901
38,0.09646561294794083,0.025,0.0,0.9385647558979691,0.25598220572806896,3.4063827095032115
39,0.07365848664194345,0.025,0.0,1.210316573306918,0.6095569674950093,3.156246996409862
40,0.12061178721487523,0.025,0.0,1.161229822607711,0.2894022398721427,3.910462203934687
41,0.1610231997445226,0.025,0.0,1.486010974450037,0.2522468554228544,3.7770130486400326
42,0.10564130395650864,0.025,0.0,1.44628955475986,0.45304765447042883,3.3125052400344344
43,0.19754328150302172,0.025,0.0,1.463921680226922,0.4143217985890806,3.1310133767885495
44,0.13497284259647133,0.025,0.0,1.482625567158684,0.2360790056642145,3.2444727740501422
45,0.1436112094670534,0.025,0.0,0.9376953115593643,0.23160094732418657,4.10815352201304
46,0.0979846740141511,0.025,0.0,0.7732874709460884,0.4466009365208447,3.057852161005511
47,0.1599441109225154,0.025,0.0,1.1818668292555958,0.32062214764766395,3.952853361000816
48,0.10057822596281768,0.025,0.0,1.0554668917693197,0.5106250232178718,3.48667033677867
49,0.16544179730117323,0.025,0.0,1.1795602520368993,0.22116195378825068,4.103193183993204
50,0.11223751548677684,0.025,0.0,1.4539280140958726,0.2618426907714456,3.068505866224157
51,0.10839025918394328,0.025,0.0,1.301501384275034,0.3321912996750325,3.642485804302776
52,0.19040427450090647,0.025,0.0,1.022707237303257,0.33992098533548415,3.511106861386061
53,0.18715775683522226,0.025,0.0,0.6819503198005259,0.15320938994176686,3.1651307444302987
54,0.11247024834156037,0.025,0.0,0.987534956112504,0.31622312487103044,4.047950209635909
55,0.08015440329909325,0.025,0.0,1.037652398440987,0.5115489992126823,3.60427132266277
56,0.13228819463402033,0.025,0.0,1.147911321632564,0.39069296435453,3.8428663083582406
57,0.19293610490858557,0.025,0.0,1.0909329909365624,0.4446702683065087,3.0837406550771105
58,0.1795553417876363,0.025,0.0,1.5029152890574187,0.28286092745140196,3.4743824166466712
59,0.14428265616297722,0.025,0.0,1.0562487754411995,0.47520789100788535,3.28645032658331
