state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,rms_g_relative,rms_g_gap_percent,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0,1,0.05,0.05,0.01,0.1,0.002,0.005388357196750678,0.5388357196750678,0.0003377273678779602,8.459191289864351e-05,0.0018915326758810816,0.005388357196750678,0.015699017308959153,3.139803461791831e-05,60.24366489492362,2.6941785983753386
0,2,0.05,0.05,0.01,1.0,0.002,0.04497747276417598,4.497747276417598,0.0027795135974884033,0.0006925298070675929,0.015485437250479519,0.04497747276417597,0.01539725921682253,3.0794518433645064e-05,502.8634327842142,22.488736382087986
0,3,0.05,0.06875,0.01,0.01,0.002,0.044381386165283504,4.4381386165283505,0.00273224338889122,0.0007144075860028619,0.015974639259439267,0.04438138616528351,0.01609700930345645,3.21940186069129e-05,496.19898200621316,22.19069308264175
0,4,0.05,0.06875,0.01,0.1,0.002,0.0372932641502282,3.729326415022819,0.0022678710520267487,0.0005981545446762116,0.01337514222946444,0.0372932641502282,0.016039211324239945,3.207842264847989e-05,416.95136871383085,18.6466320751141
0,5,0.05,0.06875,0.01,1.0,0.002,0.01531753454913357,1.531753454913357,0.001089584082365036,0.0002393235124323665,0.005351436424127875,0.01531753454913357,0.01562415359108191,3.124830718216382e-05,171.25524249782126,7.6587672745667845
0,6,0.05,0.08750000000000001,0.01,0.01,0.002,0.08684177148224242,8.684177148224242,0.005464490503072739,0.0014288151074647079,0.03194927707569754,0.08684177148224241,0.016453085687650613,3.2906171375301225e-05,970.9205216039835,43.42088574112121
0,7,0.05,0.08750000000000001,0.01,0.1,0.002,0.07819846835664673,7.819846835664674,0.0048734694719314575,0.0012808516513689366,0.02864071361553804,0.07819846835664675,0.01637949794012898,3.2758995880257966e-05,874.2854549091418,39.099234178323364
0,8,0.05,0.08750000000000001,0.01,1.0,0.002,0.013945763629980325,1.3945763629980326,0.0006003417074680328,0.00022105541822527145,0.004942949419463529,0.013945763629980323,0.015851080234147302,3.1702160468294606e-05,155.91837737390117,6.972881814990162
0,9,0.05,0.10625000000000001,0.01,0.01,0.002,0.1275025646845131,12.75025646845131,0.008196733891963959,0.0021432227522783427,0.047923917650185666,0.1275025646845131,0.016809252092939788,3.361850418587958e-05,1425.5220097006766,63.75128234225655
0,10,0.05,0.10625000000000001,0.01,0.1,0.002,0.11743819310690914,11.743819310690915,0.007479067891836166,0.0019635509091830254,0.043906333102147616,0.11743819310690917,0.016719866486667748,3.34397329733355e-05,1312.9989147089805,58.71909655345456
0,11,0.05,0.10625000000000001,0.01,1.0,0.002,0.04192473185882455,4.192473185882456,0.0022902712225914,0.0006740673720730585,0.015072604653700021,0.04192473185882455,0.01607803657141762,3.2156073142835235e-05,468.7327518739141,20.96236592941228
0,12,0.05,0.125,0.01,0.01,0.002,0.16647523512020782,16.647523512020783,0.010928977280855179,0.002857630329596475,0.06389855671542848,0.16647523512020782,0.01716549808464333,3.433099616928666e-05,1861.2497114952253,83.2376175601039
0,13,0.05,0.125,0.01,0.1,0.002,0.1551115392664798,15.51115392664798,0.010084662586450577,0.0026462506078355863,0.05917196244620508,0.15511153926647978,0.0170603078297699,3.41206156595398e-05,1734.199729472383,77.55576963323989
0,14,0.05,0.125,0.01,1.0,0.002,0.06921907750230404,6.921907750230404,0.003980197012424469,0.0011286184509562555,0.025236675769986998,0.06921907750230404,0.016305020114125157,3.261004022825032e-05,773.8928131748909,34.609538751152016
0,15,0.05,0.14375000000000002,0.01,0.01,0.002,0.20386232657992298,20.3862326579923,0.013661224395036697,0.003572037952127672,0.07987319679166614,0.203862326579923,0.017521814903487212,3.5043629806974425e-05,2279.25010141985,101.93116328996149
0,16,0.05,0.14375000000000002,0.01,0.1,0.002,0.1913100437153584,19.131004371535838,0.012690264731645584,0.0033289505245404374,0.07443759666606,0.19131004371535837,0.017400814196108977,3.4801628392217955e-05,2138.911312629989,95.6550218576792
0,17,0.05,0.14375000000000002,0.01,1.0,0.002,0.09577673321920309,9.57767332192031,0.005670126527547836,0.0015833837090621936,0.03540553607928815,0.09577673321920309,0.016532028769850833,3.306405753970167e-05,1070.816430705002,47.88836660960154
0,18,0.05,0.16250000000000003,0.01,0.01,0.002,0.23975829621506145,23.975829621506143,0.016393471509218216,0.004286445561065157,0.09584783656393916,0.23975829621506145,0.017878194951887073,3.5756389903774145e-05,2680.5792425320396,119.87914810753072
0,19,0.05,0.16250000000000003,0.01,0.1,0.002,0.22611830576649278,22.611830576649275,0.015295859426259995,0.0040116505257579245,0.08970323277567491,0.22611830576649275,0.01774137884219186,3.548275768438372e-05,2528.0795132548024,113.05915288324637
0,20,0.05,0.16250000000000003,0.01,1.0,0.002,0.12161897799953011,12.161897799953012,0.007360052317380905,0.002038219825506092,0.04557598082919381,0.12161897799953011,0.016759060625505064,3.351812125101013e-05,1359.7415108050038,60.80948899976506
0,21,0.05,0.18125000000000002,0.01,0.01,0.002,0.27425029541497986,27.425029541497988,0.019125718623399734,0.005000853131015532,0.11182247546443393,0.27425029541497986,0.018234631701849316,3.646926340369863e-05,3066.2115169864696,137.12514770748993
0,22,0.05,0.18125000000000002,0.01,0.1,0.002,0.25961462218975057,25.961462218975058,0.017901454120874405,0.004694350539903331,0.10496886917436689,0.25961462218975057,0.018081995922680588,3.616399184536118e-05,2902.579715846038,129.80731109487527
0,23,0.05,0.18125000000000002,0.01,1.0,0.002,0.14677212372521983,14.677212372521986,0.009049981832504272,0.0024930880159936436,0.055747142776518696,0.1467721237252198,0.016986113934421843,3.397222786884369e-05,1640.9622292580061,73.38606186260992
0,24,0.05,0.2,0.01,0.01,0.002,0.3074188604953578,30.74188604953578,0.021857958287000656,0.005715260787657251,0.12779711630340604,0.30741886049535777,0.018591119550856426,3.718223910171285e-05,3437.0473481657236,153.7094302476789
0,25,0.05,0.2,0.01,0.1,0.002,0.29187156301936407,29.187156301936408,0.020507056266069412,0.0053770506940076235,0.12023450870263469,0.29187156301936407,0.018422660427699446,3.6845320855398894e-05,3263.2232780520594,145.93578150968202
0,26,0.05,0.2,0.01,1.0,0.002,0.17126249423379758,17.126249423379758,0.01073991134762764,0.0029479733550838347,0.0659186881782558,0.17126249423379758,0.017213187091970256,3.442637418394051e-05,1914.7728955146858,85.63124711689879
1,2,0.05,0.05,0.1,1.0,0.002,0.039591582293154216,3.9591582293154213,0.002441786229610443,0.0006079383062062625,0.013593913788032852,0.03959158229315421,0.01535524146786579,3.071048293573158e-05,442.6473467213491,19.795791146577105
1,3,0.05,0.06875,0.1,0.01,0.002,0.04976435957102322,4.976435957102322,0.0030699707567691803,0.0007989663726278646,0.017865431209323324,0.04976435957102322,0.016054991554499708,3.2109983108999414e-05,556.382454287751,24.882179785511614
