split,count,min_nearest_train_rms_snr,median_nearest_train_rms_snr,p90_nearest_train_rms_snr,max_nearest_train_rms_snr
val,23,1.3030708135034117,1.4683511267646454,1.58017814711754,1.592111586079732
test,23,1.3001482308303904,1.4241743323719744,1.569739091472031,1.5969069728904397
holdout_all,46,1.3001482308303904,1.4407534745994863,1.5811784106494948,1.5969069728904397
