a1,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.05,0.01,0.015848931924611134,0.002,2.2016465663909912e-05,5.683701451243634e-06,5.683701451243635e-05,0.00035436234208847527,0.016039236612293752,3.207847322458751e-05,1.7718117104423758,0.17718117104423758
0.05,0.015848931924611134,0.025118864315095794,0.002,3.489106893539429e-05,9.00585594919867e-06,9.00585594919867e-05,0.000561744489105337,0.01603194356840395,3.20638871368079e-05,2.8087224455266853,0.2808722445526685
0.05,0.025118864315095794,0.039810717055349734,0.002,5.5283308029174805e-05,1.4264033908346736e-05,0.00014264033908346736,0.0008903674073368492,0.016020390897968126,3.2040781795936255e-05,4.451837036684245,0.4451837036684245
0.05,0.039810717055349734,0.06309573444801933,0.002,8.749216794967651e-05,2.256303038275768e-05,0.0002256303038275768,0.0014100035953832143,0.016002108403578533,3.200421680715707e-05,7.050017976916072,0.7050017976916072
0.05,0.06309573444801933,0.1,0.002,0.0001380443572998047,3.557210341171358e-05,0.00035572103411713574,0.0022269797389832652,0.01597324968387639,3.1946499367752785e-05,11.134898694916327,1.1134898694916329
0.05,0.1,0.15848931924611143,0.002,0.0002160482108592987,5.5611342297394646e-05,0.0005561134229739465,0.0034914224232191274,0.01592799024476689,3.185598048953378e-05,17.45711211609564,1.7457112116095639
0.05,0.15848931924611143,0.25118864315095807,0.002,0.00033139437437057495,8.517746649836389e-05,0.0008517746649836389,0.005371221136970293,0.015858119471582457,3.1716238943164916e-05,26.85610568485147,2.685610568485147
0.05,0.25118864315095807,0.3981071705534973,0.002,0.00048550963401794434,0.00012457127508924245,0.0012457127508924248,0.007907255466189358,0.015754047105458642,3.150809421091728e-05,39.53627733094679,3.9536277330946783
0.05,0.3981071705534973,0.6309573444801934,0.002,0.0006499327719211578,0.00016647671382241284,0.0016647671382241283,0.010664970379248316,0.015609674279671687,3.1219348559343376e-05,53.324851896241576,5.332485189624157
0.05,0.6309573444801934,1.0,0.002,0.0007589012384414673,0.00019430555128942283,0.0019430555128942286,0.012592095032241086,0.015430756422336274,3.0861512844672546e-05,62.960475161205444,6.296047516120543
0.0875,0.01,0.015848931924611134,0.002,3.8526952266693115e-05,9.946379426468044e-06,9.946379426468043e-05,0.0005684030766895295,0.01749881349059078,3.4997626981181556e-05,2.8420153834476474,0.28420153834476475
0.0875,0.015848931924611134,0.025118864315095794,0.002,6.106123328208923e-05,1.5760642933423417e-05,0.00015760642933423417,0.0009013271895298368,0.017486039605267772,3.497207921053555e-05,4.506635947649183,0.45066359476491835
0.0875,0.025118864315095794,0.039810717055349734,0.002,9.674206376075745e-05,2.4961600023804565e-05,0.00024961600023804567,0.0014291697238365095,0.01746580522066815,3.49316104413363e-05,7.145848619182548,0.7145848619182547
0.0875,0.039810717055349734,0.06309573444801933,0.002,0.00015311315655708313,3.948551418499292e-05,0.0003948551418499292,0.002264884926509767,0.017433783819578365,3.486756763915673e-05,11.324424632548837,1.1324424632548837
0.0875,0.06309573444801933,0.1,0.002,0.0002415776252746582,6.225130474162092e-05,0.0006225130474162092,0.0035811109167722586,0.01738323838283387,3.476647676566774e-05,17.905554583861292,1.7905554583861294
0.0875,0.1,0.15848931924611143,0.002,0.0003780834376811981,9.73198042005938e-05,0.0009731980420059379,0.005624132066126232,0.017303968515736748,3.4607937031473494e-05,28.120660330631164,2.8120660330631164
0.0875,0.15848931924611143,0.25118864315095807,0.002,0.0005799420177936554,0.00014906065472436352,0.0014906065472436352,0.008675600340825085,0.017181595378814696,3.4363190757629395e-05,43.37800170412543,4.337800170412543
0.0875,0.25118864315095807,0.3981071705534973,0.002,0.0008496418595314026,0.00021799959007672695,0.0021799959007672695,0.012824013160019935,0.01699932675961072,3.399865351922144e-05,64.12006580009968,6.412006580009969
0.0875,0.3981071705534973,0.6309573444801934,0.002,0.0011373795568943024,0.0002913340373558169,0.0029133403735581696,0.017396721766397037,0.01674649058988508,3.349298117977016e-05,86.9836088319852,8.698360883198518
0.0875,0.6309573444801934,1.0,0.002,0.0013280808925628662,0.0003400348541945437,0.0034003485419454365,0.020691968082142995,0.016433180876979557,3.286636175395912e-05,103.45984041071497,10.345984041071498
0.125,0.01,0.015848931924611134,0.002,5.5029988288879395e-05,1.4208524559064793e-05,0.00014208524559064794,0.0007494262532936068,0.01895920311921371,3.791840623842742e-05,3.7471312664680343,0.3747131266468034
0.125,0.015848931924611134,0.025118864315095794,0.002,8.723139762878418e-05,2.251506282531989e-05,0.0002251506282531989,0.0011886981159569788,0.0189409426355436,3.78818852710872e-05,5.943490579784894,0.5943490579784894
0.125,0.025118864315095794,0.039810717055349734,0.002,0.000138208270072937,3.566029033355227e-05,0.00035660290333552273,0.0018855890108475603,0.01891201641948645,3.78240328389729e-05,9.427945054237801,0.9427945054237802
0.125,0.039810717055349734,0.06309573444801933,0.002,0.00021873414516448975,5.640775395442323e-05,0.0005640775395442323,0.0029898778557134226,0.01886624025347137,3.773248050694274e-05,14.94938927856711,1.4949389278567111
0.125,0.06309573444801933,0.1,0.002,0.0003451108932495117,8.893034558436954e-05,0.0008893034558436955,0.004731851738615468,0.018793983940500726,3.758796788100145e-05,23.65925869307734,2.365925869307734
0.125,0.1,0.15848931924611143,0.002,0.0005401186645030975,0.00013902829612869646,0.0013902829612869646,0.007442363054909306,0.018680665684132056,3.736133136826411e-05,37.211815274546524,3.7211815274546525
