state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,relative_l2_difference,snr_sep,snr_sep_rms
0,1,0.05,0.05,0.01,0.015848931924611134,0.00035436234208847527,1.7718117104423758,0.17718117104423758
1,0,0.05,0.05,0.015848931924611134,0.01,0.00035436234208847527,1.7718117104423758,0.17718117104423758
2,1,0.05,0.05,0.025118864315095794,0.015848931924611134,0.000561744489105337,2.8087224455266853,0.2808722445526685
3,2,0.05,0.05,0.039810717055349734,0.025118864315095794,0.0008903674073368492,4.451837036684245,0.4451837036684245
4,3,0.05,0.05,0.06309573444801933,0.039810717055349734,0.0014100035953832143,7.050017976916072,0.7050017976916072
5,4,0.05,0.05,0.1,0.06309573444801933,0.0022269797389832652,11.134898694916327,1.1134898694916329
6,5,0.05,0.05,0.15848931924611143,0.1,0.0034914224232191274,17.45711211609564,1.7457112116095639
7,6,0.05,0.05,0.25118864315095807,0.15848931924611143,0.005371221136970293,26.85610568485147,2.685610568485147
8,7,0.05,0.05,0.3981071705534973,0.25118864315095807,0.007907255466189358,39.53627733094679,3.9536277330946783
9,8,0.05,0.05,0.6309573444801934,0.3981071705534973,0.010664970379248316,53.324851896241576,5.332485189624157
10,9,0.05,0.05,1.0,0.6309573444801934,0.012592095032241086,62.960475161205444,6.296047516120543
11,12,0.0875,0.0875,0.01,0.015848931924611134,0.0005684030766895295,2.8420153834476474,0.28420153834476475
12,11,0.0875,0.0875,0.015848931924611134,0.01,0.0005684030766895295,2.8420153834476474,0.28420153834476475
13,12,0.0875,0.0875,0.025118864315095794,0.015848931924611134,0.0009013271895298368,4.506635947649183,0.45066359476491835
14,13,0.0875,0.0875,0.039810717055349734,0.025118864315095794,0.0014291697238365095,7.145848619182548,0.7145848619182547
15,14,0.0875,0.0875,0.06309573444801933,0.039810717055349734,0.002264884926509767,11.324424632548837,1.1324424632548837
16,15,0.0875,0.0875,0.1,0.06309573444801933,0.0035811109167722586,17.905554583861292,1.7905554583861294
17,32,0.0875,0.125,0.15848931924611143,1.0,0.004867383561537174,24.33691780768587,2.433691780768587
18,32,0.0875,0.125,0.25118864315095807,1.0,0.005601413372175062,28.007066860875316,2.8007066860875316
19,18,0.0875,0.0875,0.3981071705534973,0.25118864315095807,0.012824013160019935,64.12006580009968,6.412006580009969
20,19,0.0875,0.0875,0.6309573444801934,0.3981071705534973,0.017396721766397037,86.9836088319852,8.698360883198518
21,0,0.0875,0.05,1.0,0.01,0.013838036178608239,69.19018089304119,6.919018089304119
22,23,0.125,0.125,0.01,0.015848931924611134,0.0007494262532936068,3.7471312664680343,0.3747131266468034
23,22,0.125,0.125,0.015848931924611134,0.01,0.0007494262532936068,3.7471312664680343,0.3747131266468034
24,23,0.125,0.125,0.025118864315095794,0.015848931924611134,0.0011886981159569788,5.943490579784894,0.5943490579784894
25,24,0.125,0.125,0.039810717055349734,0.025118864315095794,0.0018855890108475603,9.427945054237801,0.9427945054237802
26,25,0.125,0.125,0.06309573444801933,0.039810717055349734,0.0029898778557134226,14.94938927856711,1.4949389278567111
27,42,0.125,0.1625,0.1,0.6309573444801934,0.0026248675901672006,13.124337950836004,1.3124337950836003
