selection_order,candidate_index,maximin_rms_snr_at_selection,is_forced_corner
0,0,inf,1
1,1,inf,1
2,2,inf,1
3,3,inf,1
4,4078,43.009204309357244,0
5,5800,34.67771084446993,0
6,2828,21.557737159509198,0
7,4839,21.49719964282515,0
8,744,17.36082836511198,0
9,4346,17.33890409640871,0
10,3306,11.237596667961098,0
11,1740,10.871717865242829,0
12,4023,10.864792312229763,0
13,1948,10.85104122095158,0
14,2950,10.775215298025637,0
15,1327,8.767202070907805,0
16,4857,8.675398799274642,0
17,2549,8.661273602359488,0
18,3800,8.660587686895745,0
19,5051,5.631348218720628,0
20,331,5.581019144578577,0
21,5465,5.556127547018267,0
22,4293,5.526747860058459,0
23,2291,5.486267077504319,0
24,587,5.473132944066779,0
25,3686,5.447076661789989,0
26,5489,5.444886871417542,0
27,1791,5.425768630998938,0
28,5283,5.3846892898123,0
29,4363,4.60669117855973,0
30,5313,4.530618836820595,0
31,2455,4.432240425765948,0
32,5072,4.430070391134331,0
33,1569,4.339850594687563,0
34,4482,4.339181633880661,0
35,4569,4.323068891049988,0
36,991,4.2392161572436775,0
37,5380,3.394739832220692,0
38,1884,3.3263454150290235,0
39,5247,3.123201586583234,0
40,435,3.0539256246733104,0
41,5248,3.009789387035579,0
42,5531,2.897983848299811,0
43,5848,2.8886607903530304,0
44,2244,2.8823661375328715,0
45,4479,2.874902620897253,0
46,5544,2.8717294145223935,0
47,5508,2.855858953113953,0
48,548,2.8433544200987058,0
49,2203,2.838272326641546,0
50,5666,2.834245662577198,0
51,367,2.8309820485351955,0
52,1405,2.8241633714270717,0
53,4895,2.821592609769112,0
54,5455,2.7819618785842373,0
55,468,2.752715498628744,0
56,1567,2.7023301786526863,0
57,3363,2.6975298924673003,0
58,1215,2.6964088496666045,0
59,4653,2.4790280726637848,0
60,1264,2.4762686715847324,0
61,451,2.463584804929062,0
62,260,2.4557280390029215,0
63,1726,2.402691122756385,0
64,5627,2.3325313305170337,0
65,4987,2.327738805609113,0
66,4137,2.3171279674034033,0
67,2212,2.3166839484809794,0
68,2748,2.3090434948561995,0
69,3118,2.2607975047335556,0
70,4446,2.1943397011514736,0
71,5295,2.1855458512445023,0
72,3451,2.1848701794117122,0
73,3315,2.1844285573728746,0
74,1989,2.177797469948426,0
75,2816,2.161770905671404,0
76,2125,2.151207168815762,0
77,793,2.14437509113,0
78,5956,2.1356466271321155,0
79,2574,2.1290144258123602,0
80,3812,2.118265388393367,0
81,5979,2.1181260923438217,0
82,5440,2.084936192916979,0
83,2389,2.0809787771105825,0
84,1041,2.005409069159906,0
