split_1,split_2,pair_count,min_rms_snr,median_rms_snr
train,train,3422,2.0809787771105825,51.05545531511824
train,val,826,2.009446323707105,51.39730264955045
train,test,708,2.161770905671404,46.20957993906248
val,val,182,2.3352502282809064,58.69584759312191
val,test,168,2.005409069159906,51.4140642235568
test,test,132,2.4762686715847324,41.74726786078979
