m_slice,anchor_count,q2_points,fixed_m_alias_rms_p10,fixed_m_alias_rms_median,fixed_m_alias_mahalanobis_p10,fixed_m_alias_mahalanobis_median,agamma_sigma_min_p10,agamma_sigma_min_median,agamma_condition_median,agamma_condition_p90,abs_cos_a1_loggamma_median,sigma_min_3p_p10,condition_3p_median,difficulty_rank,is_target_worst_slice
0.4,40,199,0.012608756109270087,0.08077360344465973,0.17786839346547237,1.1394518979200454,0.18528179470498068,1.1821840755731317,140.74017104309118,912.5595636292016,0.9996238752901117,0.1850099988379875,304.24386765397287,1,1
0.45,40,199,0.016239710916677936,0.06508040978000262,0.22908931428767346,0.9180721582149626,0.2352093751404795,0.8985970064816854,147.5377061350893,790.8369188532201,0.9994545615369643,0.19436932364549994,265.7807954614585,2,1
0.5,40,199,0.02191024311543563,0.06988753925031779,0.3090820148797425,0.9858850644727697,0.2756185964949418,0.9925908634839131,135.7834808260852,470.58112133338716,0.999047299385766,0.17404000664048822,227.609187030493,3,1
0.55,40,199,0.025713798411015953,0.09573906453680543,0.3627377652185542,1.3505657063609073,0.38279078648603704,1.3314602489428353,107.93015523184627,370.5256292045898,0.9985268609601081,0.20457518019374313,214.9929753760453,4,1
0.6,40,199,0.029241391884325826,0.10440603843622859,0.4125005949901292,1.4728284189027252,0.38511122972755246,1.4992725292642275,94.95846796361471,316.7473949162765,0.9980111563539082,0.18559318118997403,202.08205584600591,5,1
0.65,40,199,0.03437155969512555,0.11582182851152428,0.4848705178284614,1.6338679554942115,0.5110186868211897,1.594159614227602,82.70774903039643,288.36055337719296,0.9974445905359767,0.22834761017227412,190.21238045244127,6,1
0.7,40,199,0.04138595684927288,0.1364842215798987,0.5838207665385375,1.925346879217848,0.6242238492373677,1.9156487612013617,72.51964680501901,241.6234363851872,0.9969886862641463,0.2549992597070842,164.14076930672962,7,0
0.75,40,199,0.041652181480623544,0.14372312107953786,0.5875763271242851,2.027464123242593,0.544154623249842,2.0569935899077567,65.92946997228192,224.64146364896638,0.9957028507857515,0.21080367530883415,160.1046033784278,8,0
0.8,40,199,0.04235605062431751,0.15873279919764455,0.5975056232986093,2.239201689594492,0.6294865265557441,2.1658391052447064,63.13832961151644,201.79350229142327,0.9941987603785856,0.23915418595204566,146.3353322354835,9,0
0.85,40,199,0.047418266721172074,0.17533954007859331,0.6689169692489516,2.473468598684761,0.6857927315741253,2.134639750872311,68.1885349073879,166.96376370630034,0.9924545986993818,0.25046750699370174,160.86685532293436,10,0
0.8999999999999999,40,199,0.048590967505817366,0.19025912113199647,0.6854599496010897,2.6839351895323444,0.653834545761691,2.3357782035537014,61.186185140112094,197.4915151284864,0.9901542928172887,0.2322967900566552,129.42532149246438,11,0
0.95,40,199,0.05033324180068355,0.19211942349003472,0.7100377530829255,2.71017798373954,0.700138918109104,2.372862228189109,59.14544575508525,165.54088892856004,0.9882134913571667,0.2422730499635495,130.3203127589905,12,0
1.0,40,199,0.05232170371639547,0.18082535415904444,0.7380884603334941,2.5508555295512183,0.7953437628629537,2.408509767099763,54.05262459664706,148.42650012356856,0.9853957344686126,0.26907906428628725,136.30086302660146,13,0
1.0499999999999998,40,199,0.05727417878050732,0.17983262886693335,0.807951718508799,2.5368514159550704,0.8196964306656632,2.326722521792413,59.457617319546074,150.35687122865332,0.9821160225015144,0.27369805450868245,133.54243570917765,14,0
1.1,40,199,0.06072579496201611,0.19727809069185548,0.8566427566844861,2.782949939962587,0.9140814089912895,2.7822831785888797,53.41076248177305,125.90155647704854,0.9789610094309462,0.30102905920134043,117.95228336216896,17,0
1.15,40,199,0.06048415078727332,0.1953115174229378,0.8532339461103652,2.7552080100732974,0.8284748554830575,2.6810554027669875,47.370863894924526,120.5841038277936,0.9760124557806569,0.26736580120493114,123.73253318309409,16,0
1.2,40,199,0.05866307791111869,0.19691427009088053,0.827544551846721,2.77781761880067,0.8781239885245404,2.6428277388409613,46.3420220715703,143.26392361244976,0.9735071234770638,0.2801673870654411,119.31007387039111,15,0
