split_1,split_2,pair_count,min_rms_snr,median_rms_snr
train,train,7310,1.4961261022654522,41.39695146943954
train,val,1634,1.328032745000151,42.96887550436304
train,test,1548,1.3226585179204522,48.32055633097618
val,val,342,2.21201096054173,47.06290236233466
val,test,342,2.1049051837172286,44.10036409178953
test,test,306,2.6390730765828274,41.07803600357909
