a1_count,gamma_count,state_count,a1_step,gamma_ratio,target_rms_snr,feasible,min_snr_rms,median_nearest_snr_rms,p90_nearest_snr_rms,min_snr,median_nearest_snr,min_relative_l2,median_nearest_relative_l2
3,3,9,0.07500000000000001,10.0,2.0,1,2.721722905631634,5.772662080699625,22.949582528741566,27.21722905631634,57.72662080699625,0.005443445811263267,0.01154532416139925
3,4,12,0.07500000000000001,4.641588833612778,2.0,0,1.103325911780821,3.287986165197176,16.436424660640288,11.033259117808207,32.87986165197176,0.0022066518235616416,0.006575972330394352
3,5,15,0.07500000000000001,3.1622776601683795,2.0,0,0.655135928926078,3.3352553842649826,16.72655452217852,6.55135928926078,33.352553842649826,0.0013102718578521559,0.006670510768529965
3,6,18,0.07500000000000001,2.51188643150958,2.0,0,0.4580540143663093,3.097225301888807,16.020356239038666,4.580540143663094,30.972253018888072,0.0009161080287326187,0.006194450603777614
3,7,21,0.07500000000000001,2.154434690031884,2.0,0,0.34974144296162696,3.3352553842649826,14.27197261501408,3.4974144296162697,33.352553842649826,0.0006994828859232539,0.006670510768529965
3,8,24,0.07500000000000001,1.93069772888325,2.0,0,0.2819469640011998,2.660476819595967,13.022889118686754,2.819469640011998,26.604768195959664,0.0005638939280023996,0.0053209536391919336
3,9,27,0.07500000000000001,1.7782794100389228,2.0,0,0.23576898518837705,2.315479915442986,12.326500234382218,2.3576898518837703,23.154799154429863,0.00047153797037675417,0.0046309598308859725
3,10,30,0.07500000000000001,1.6681005372000588,2.0,0,0.20238092301157123,2.2634094198700243,12.061559815826543,2.0238092301157122,22.634094198700243,0.0004047618460231425,0.0045268188397400485
3,11,33,0.07500000000000001,1.5848931924611136,2.0,0,0.17718179421474567,2.076414248758241,11.015723825376192,1.7718179421474567,20.764142487582408,0.0003543635884294914,0.004152828497516482
4,3,12,0.05000000000000001,10.0,2.0,0,1.8894485866993196,6.593749023992294,16.50842725561554,18.894485866993193,65.93749023992294,0.0037788971733986394,0.01318749804798459
4,4,16,0.05000000000000001,4.641588833612778,2.0,0,1.103325911780821,3.4660953691575607,15.636487763042933,11.033259117808207,34.66095369157561,0.0022066518235616416,0.006932190738315121
4,5,20,0.05000000000000001,3.1622776601683795,2.0,0,0.655135928926078,1.9946092106280817,14.034045308832502,6.55135928926078,19.946092106280815,0.0013102718578521559,0.003989218421256163
4,6,24,0.05000000000000001,2.51188643150958,2.0,0,0.4580540143663093,2.9040447469218225,11.878775942256656,4.580540143663094,29.040447469218226,0.0009161080287326187,0.0058080894938436455
4,7,28,0.05000000000000001,2.154434690031884,2.0,0,0.34974144296162696,2.052203059510835,10.04796534119536,3.4974144296162697,20.522030595108347,0.0006994828859232539,0.00410440611902167
