design_id,continuous_mah_min,continuous_mah_p10,continuous_mah_median,continuous_mah_p90,fraction_ge_1,fraction_ge_2,fraction_ge_3p3,gamma_trigger_fraction,m_trigger_fraction,a1_trigger_fraction
hybrid_ultranear_240,5.811455363263279e-06,0.04518917063426841,0.6398498044310232,2.344808363302878,0.4166666666666667,0.19791666666666666,0.03125,0.34375,0.3333333333333333,0.3229166666666667
near_focus_geom_220,5.575151352412066e-06,0.043793389675459024,0.6237742893432685,2.2729066863340366,0.40625,0.1875,0.03125,0.34375,0.34375,0.3125
near_linear_200,4.243600000909648e-06,0.030104003060828145,0.8927170751855453,3.1346248446519382,0.4479166666666667,0.25,0.08333333333333333,0.375,0.2916666666666667,0.3333333333333333
baseline_linear_100,1.7059958481030934e-07,0.0007427912000808579,0.03206141132750247,0.21528598074200347,0.0,0.0,0.0,0.2916666666666667,0.2916666666666667,0.4166666666666667
