design_id,q2_points,q2_min,q2_max,extends_below_original_q2_min,extends_above_original_q2_max,median_abs_q2_spacing,nonuniform,grid_alias_mah_p10,grid_alias_mah_median,jac_sigma_min_p10,jac_sigma_min_median,jac_condition_median,jac_condition_p90,abs_cos_a1_gamma_median,alias_p10_gain_vs_baseline,sigma_p10_gain_vs_baseline
hybrid_ultranear_240,239,-150.0,-0.05,1,1,0.0655721753562053,1,0.04886660853849498,1.404474221802924,0.01825393929114443,0.6517452449743981,253.55105608780332,13174.172240353504,0.9917870578941645,49.81849418564444,125.60173681682868
near_focus_geom_220,220,-40.0,-0.05,0,1,0.0431681988592143,1,0.04762000122403789,1.3608406679358556,0.017560523639420542,0.6287086654359024,250.8938717176936,13134.668286709346,0.991780014014615,48.54760387619849,120.83048120984057
near_linear_200,200,-100.0,-0.2,0,1,0.5015075376884397,0,0.04893325896763458,1.4089165414300409,0.014345029951747275,0.6991516301412408,157.31488993157876,9791.493274604525,0.9868456086685261,49.88644291619623,98.70530672264138
multiscale_240,238,-120.0,-0.05,1,1,0.02485999243042436,1,0.04239650255588739,1.311501388932293,0.01689868956568292,0.6105914339105242,272.21136999941893,14527.877278469921,0.9926733862473267,43.222355290081,116.27653217888646
hybrid_near_200,199,-150.0,-0.2,1,1,0.12491780169029609,1,0.03644276085326571,0.8785642833983733,0.010014944566602384,0.43266858910404526,298.317613081348,17007.97726019319,0.9943807537517844,37.15263907146449,68.91084776970668
near_linear_160,160,-100.0,-1.0,0,1,0.6226415094339615,0,0.011042694550000882,0.46050106256063295,0.00306382652807218,0.21515470024735067,392.96608360755505,27304.896315447768,0.9958227134474362,11.257798130183268,21.081582835000958
baseline_linear_100,100,-100.0,-6.0,0,0,0.9494949494949481,0,0.0009808929261570544,0.042320880749261144,0.00014533190188098326,0.014027014524934336,3770.3516685469895,308116.90801410074,0.9995317699045789,1.0,1.0
