split_1,split_2,pair_count,min_rms_snr,median_rms_snr
train,train,8556,1.7914178696506324,47.82369042269577
train,val,1860,1.503774373058684,43.310831591261326
train,test,1767,1.5042046144904448,45.20541491634812
val,val,380,1.6612932047340205,35.17914606225274
val,test,380,1.599187159654655,31.12020133136889
test,test,342,1.5886616192570406,26.382077296852533
