state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,source_candidate_index
0,0.05,0.01,121,0.0793323517900053,0.9771300119380912,1.5742084887953303,4.9503734565168366e-05,train,0
1,0.05,1.0,51,0.0521275044307526,0.9261603754980834,2.8309820485351955,8.527803960073387e-05,train,1
2,0.2,0.01,71,0.1979319619384267,0.0138677071211114,2.1855458512445023,9.327869638409915e-05,train,2
3,0.2,1.0,131,0.1784137801879243,0.6781696370038233,1.503774373058684,5.6129304700420925e-05,train,3
4,0.08940942100276,0.06399092250153,101,0.1154453121323676,0.6097308674292365,1.7467488856288589,5.9679505943881594e-05,train,4078
5,0.1660327074086218,0.0544582547164481,74,0.1656596464675465,0.0221187361530439,2.177797469948426,8.712922265705344e-05,train,5800
6,0.1079127071719528,0.0309074291756947,108,0.1100359864077932,0.040521559914352,1.6815599007187332,6.0148230536813815e-05,train,2828
7,0.0681522152230027,0.0115258959533426,129,0.0680955077031471,0.0482123530347623,1.5062322535637365,4.929919706970372e-05,train,4839
8,0.1452624781505939,0.0205088033581028,90,0.196501906720359,0.6151333627248814,1.8956429051804926,7.319382476588077e-05,train,744
9,0.1820718033401989,0.0232989946814281,72,0.1980787093387703,0.163378173484396,2.1848701794117122,9.048107947826181e-05,train,4346
10,0.0633501896860442,0.9623849036245168,56,0.0549708815705921,0.7359821991547137,2.7447994561547104,8.409892115244419e-05,train,3306
11,0.1440999496871517,0.851879989104603,112,0.1477054846375096,0.8769938366737888,1.6166641091521938,5.661725588507479e-05,train,1740
12,0.118684675873143,0.9304749254198744,117,0.0797552662103083,0.0854810549973456,1.6136378935361524,5.4002959575023304e-05,train,4023
13,0.1197709698003909,0.055547578705589,110,0.1425505755822138,0.3719038415254588,1.6326934946585019,5.96651999710089e-05,train,1948
14,0.0871791299332353,0.8363945054469589,125,0.0586299294557569,0.0320411630302451,1.5418797035903442,4.942100570175217e-05,train,2950
15,0.1400754878288197,0.0733842200414485,91,0.1931342181722298,0.749933248211177,1.8459317202537404,6.992798171426504e-05,train,1327
16,0.179687808326169,0.1019026152731475,73,0.1746732546107934,0.0189322852454079,2.214841996102447,9.015648665603575e-05,train,4857
17,0.1622974103953238,0.121558956046325,114,0.1963905038697353,0.5163393246883292,1.6042025221729816,6.288315840631111e-05,train,2549
18,0.1907782929015255,0.0143805741487296,80,0.1938295704872354,0.0217081625492526,2.118265388393367,8.924453576068763e-05,train,3800
19,0.0687100070605372,0.8938157508794065,52,0.0678881809801721,0.7354747583351078,2.846355773234007,8.868464307386611e-05,train,5051
20,0.1550864520656481,0.6761476984750956,126,0.1672618726329655,0.8305416029234257,1.5649725817393758,5.65877973425194e-05,train,331
21,0.1232109821316252,0.0223155495818724,119,0.1443682404501329,0.3091829289333753,1.5786992461218472,5.8334754362208856e-05,train,5465
22,0.0923545779341742,0.0173237690353571,92,0.1373470427070004,0.8790402183134378,1.7914178696506324,6.192890758362634e-05,train,4293
23,0.1017904187708822,0.0127621153735896,82,0.1580420583763331,0.951045605336538,2.092729704587291,7.39843399138774e-05,train,2291
24,0.1224900758006286,0.8525129118025891,115,0.1300873640678561,0.9700592823359212,1.60079645340396,5.429292002858663e-05,train,587
25,0.0784614876493519,0.1563589362271853,107,0.1122016189009446,0.9808183023142608,1.6855419975056802,5.580463522056407e-05,train,3686
26,0.0504183855040657,0.6669609130005246,56,0.0549708815705921,0.7359821991547137,2.7023301786526863,8.23494802303758e-05,train,5489
27,0.0685126125014334,0.160703166669368,120,0.1001496118602785,0.9741391871117342,1.5769108224424497,5.11953930663665e-05,train,1791
28,0.0791195105981252,0.7933110703798955,128,0.0556196181129216,0.0168995179781037,1.5680773246862676,4.98386206314952e-05,train,5283
29,0.1917951588369971,0.6461131196033661,105,0.13990971470309,0.0107699232786838,1.6711621542439241,6.38896547420212e-05,train,4363
30,0.1326891661729262,0.032606314666814,106,0.1986895200866678,0.889041241844021,2.2047146994586297,8.28585896255832e-05,train,5313
31,0.1859462265133021,0.4470963248797578,66,0.1513469517125963,0.0145594333841174,2.3171279674034033,9.033079226813769e-05,train,2455
32,0.1993501576664894,0.4708600146560491,69,0.1597188525306152,0.0592107141934368,2.2607975047335556,8.93136065023142e-05,train,5072
33,0.1787601954590497,0.1447657499566997,79,0.1722678600591248,0.046242858973346,2.1290144258123602,8.591129274844712e-05,train,1569
34,0.1951832769977523,0.2105742616588138,73,0.1746732546107934,0.0189322852454079,2.1844285573728746,8.93040690758292e-05,train,4482
35,0.1905707975409079,0.0625516503272649,76,0.1885777553125891,0.0162217196376468,2.1733628619046823,9.07876925968268e-05,train,4569
36,0.195357139033552,0.0130705758954803,80,0.1938295704872354,0.0217081625492526,2.1211550383678364,8.974378882546264e-05,train,991
37,0.1863466445588502,0.9776175130353164,110,0.1425505755822138,0.3719038415254588,1.8594734101325496,6.814154635830102e-05,train,5380
38,0.1628626409854423,0.982906649091139,103,0.1289017528796782,0.4052611165918742,1.6961357301806064,6.033212435796446e-05,train,1884
39,0.1360985800008017,0.9058079119590268,94,0.0915741860012198,0.0367272101763066,1.822626868142689,6.277455191120155e-05,train,5247
40,0.0799487419226652,0.0140299923499826,111,0.1180315109376044,0.8593303666568922,1.629357671831452,5.481444092137127e-05,train,435
41,0.1291706423139488,0.0693606675624443,119,0.1443682404501329,0.3091829289333753,1.6491261848210461,6.112004126612434e-05,train,5248
42,0.1698710954298545,0.9857912693415856,104,0.1609813471527552,0.8030056157915935,1.6867673838964192,6.059454877760061e-05,train,5531
43,0.1646422262645824,0.7584169538715138,126,0.1672618726329655,0.8305416029234257,1.5376582606154783,5.576997905653838e-05,train,5848
44,0.0942092830487229,0.7535942156500378,129,0.0680955077031471,0.0482123530347623,1.5568903406676562,5.082687705148426e-05,train,2244
45,0.0569419135322987,0.0188808526733308,128,0.0556196181129216,0.0168995179781037,1.5093390105779225,4.8098903995848534e-05,train,4479
46,0.0960864808526334,0.0405600072724405,130,0.1326583020876501,0.6838935409492072,1.5042046144904448,5.2377282812489746e-05,train,5544
47,0.0999693537086389,0.0293312849760473,112,0.1477054846375096,0.8769938366737888,1.8676786694970957,6.555308097646688e-05,train,5508
48,0.0524182204932144,0.392465141888883,10,0.0633501896860442,0.9623849036245168,2.8433544200987058,8.7595055762233e-05,train,548
49,0.1047926424830156,0.8569580971199765,118,0.0699704919460144,0.0246741966490509,1.5881545600802194,5.2277205911857126e-05,train,2203
50,0.1930261769723427,0.7822791721718071,106,0.1986895200866678,0.889041241844021,1.661409032003756,6.258014442748794e-05,train,5666
51,0.0521275044307526,0.9261603754980834,1,0.05,1.0,2.8309820485351955,8.527803960073387e-05,train,367
52,0.0678881809801721,0.7354747583351078,127,0.0764100858151227,0.9792003631938616,1.5299780730085983,4.787658260871256e-05,train,1405
53,0.0859074913354353,0.0431700052759949,101,0.1154453121323676,0.6097308674292365,1.7074258476969972,5.8172564543835716e-05,train,4895
54,0.076371456374503,0.0358679349438562,123,0.1175275265480116,0.9669123653168772,1.5587506365203554,5.1980560101728046e-05,train,5455
55,0.0615946675361083,0.0271409762161748,109,0.0965297670142182,0.954757696789271,2.069235595044142,6.684217561215155e-05,train,468
56,0.0549708815705921,0.7359821991547137,26,0.0504183855040657,0.6669609130005246,2.7023301786526863,8.23494802303758e-05,train,1567
57,0.053257789194118,0.0490508386279428,121,0.0793323517900053,0.9771300119380912,1.9202291575583552,6.054711926919458e-05,train,3363
58,0.1289772681702617,0.0167952105163996,131,0.1784137801879243,0.6781696370038233,1.6158532663333995,6.037449120040386e-05,train,1215
59,0.139884883518304,0.0349423668038163,105,0.13990971470309,0.0107699232786838,1.6981066220262,6.478245446003444e-05,train,4653
60,0.1103618990046997,0.0178451628258839,108,0.1100359864077932,0.040521559914352,1.6568568090984934,5.9461399535772886e-05,train,1264
61,0.1425415282106232,0.0173894245520261,86,0.1995529307899921,0.6942786386691554,1.969527262885258,7.565965239962873e-05,train,451
62,0.1923081430745307,0.9585571347512888,124,0.1889161302983747,0.8772592900621583,1.5431168115818088,5.725081594115904e-05,train,260
63,0.1944701548592502,0.865285700538599,131,0.1784137801879243,0.6781696370038233,1.527013936093937,5.7150121676977494e-05,train,1726
64,0.1202948481781734,0.0119708721941055,110,0.1425505755822138,0.3719038415254588,1.9195441637383064,7.037319762075959e-05,train,5627
65,0.1892352668972624,0.9680403589030794,21,0.1232109821316252,0.0223155495818724,2.327738805609113,8.584602110192602e-05,train,4987
66,0.1513469517125963,0.0145594333841174,114,0.1963905038697353,0.5163393246883292,1.7761050895652455,6.945984719435373e-05,train,4137
67,0.1469273758946465,0.0109830355874023,90,0.196501906720359,0.6151333627248814,2.0411913114861377,7.899525987212794e-05,train,2212
68,0.1625257868377677,0.0424676195916304,32,0.1993501576664894,0.4708600146560491,2.3090434948561995,9.157653638915569e-05,train,2748
69,0.1597188525306152,0.0592107141934368,116,0.1974556599957214,0.4925580421653694,1.593696579504568,6.277194706724738e-05,train,3118
70,0.1800168448433363,0.0270279447902303,9,0.1820718033401989,0.0232989946814281,2.1943397011514736,9.047885219681898e-05,train,4446
71,0.1979319619384267,0.0138677071211114,2,0.2,0.01,2.1855458512445023,9.327869638409915e-05,train,5295
72,0.1980787093387703,0.163378173484396,9,0.1820718033401989,0.0232989946814281,2.1848701794117122,9.048107947826181e-05,train,3451
73,0.1746732546107934,0.0189322852454079,34,0.1951832769977523,0.2105742616588138,2.1844285573728746,8.93040690758292e-05,train,3315
74,0.1656596464675465,0.0221187361530439,5,0.1660327074086218,0.0544582547164481,2.177797469948426,8.712922265705344e-05,train,1989
75,0.1136018327071109,0.0121110583847624,126,0.1672618726329655,0.8305416029234257,1.8387534386359163,6.659101450680704e-05,train,2816
76,0.1885777553125891,0.0162217196376468,18,0.1907782929015255,0.0143805741487296,2.151207168815762,9.024834874657918e-05,train,2125
77,0.197719025718373,0.7703284817393601,91,0.1931342181722298,0.749933248211177,2.0811233786574084,7.896646449745138e-05,train,793
78,0.1042828516054401,0.0218926520141266,103,0.1289017528796782,0.4052611165918742,1.989966768319771,7.072287510689714e-05,train,5956
79,0.1722678600591248,0.046242858973346,33,0.1787601954590497,0.1447657499566997,2.1290144258123602,8.591129274844712e-05,train,2574
80,0.1938295704872354,0.0217081625492526,18,0.1907782929015255,0.0143805741487296,2.118265388393367,8.924453576068763e-05,train,3812
81,0.1457395890482133,0.7893668824835292,23,0.1017904187708822,0.0127621153735896,2.1181260923438217,7.471684836163086e-05,train,5979
82,0.1580420583763331,0.951045605336538,38,0.1628626409854423,0.982906649091139,2.084936192916979,7.393203854294447e-05,train,5440
83,0.1809192393358835,0.9502730451399958,110,0.1425505755822138,0.3719038415254588,1.9036334765989613,6.95898289872551e-05,train,2389
84,0.113978320789304,0.9381479165350242,123,0.1175275265480116,0.9669123653168772,1.748589227602585,5.823825379584039e-05,train,1041
85,0.1338788355723747,0.0121440290941022,15,0.1400754878288197,0.0733842200414485,1.9701236851125346,7.451923391406346e-05,train,2079
86,0.1995529307899921,0.6942786386691554,61,0.1425415282106232,0.0173894245520261,1.969527262885258,7.565965239962873e-05,train,3907
87,0.1677628991349835,0.9988426511071246,42,0.1698710954298545,0.9857912693415856,1.9558165046103004,7.00111075119505e-05,train,2124
88,0.088777692035462,0.0104390559111284,94,0.0915741860012198,0.0367272101763066,1.777591143442265,6.115626631558666e-05,train,3577
