split,count,min_nearest_train_rms_snr,median_nearest_train_rms_snr,p90_nearest_train_rms_snr,max_nearest_train_rms_snr
val,20,1.503774373058684,1.6246788019053477,1.727560778395076,1.7507922218733456
test,19,1.5042046144904448,1.6113022180735852,1.765439099964934,1.7887903492373576
holdout_all,39,1.503774373058684,1.6166641091521938,1.7446058049393642,1.7887903492373576
