split,count,min_nearest_train_rms_snr,median_nearest_train_rms_snr,p90_nearest_train_rms_snr,max_nearest_train_rms_snr
val,20,1.3331099921111593,1.4146584915125706,1.5169329331462984,1.5449860445639
test,20,1.3107139337606164,1.4050540847337532,1.5043667025631757,1.5373805308872999
holdout_all,40,1.3107139337606164,1.4095180420972213,1.5132397499299157,1.5449860445639
