state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,rms_g_difference,l2_g_difference,relative_l2_difference,master_mean_rms_g,sigma_reference,snr_sep_rms,snr_sep
0,1,0.05,0.05,0.01,0.1,8.428965731779228e-05,0.002665473003193027,0.0053816191817788375,0.015662508711724046,3.13250174234481e-05,2.6908095908894185,85.09087057036425
1,0,0.05,0.05,0.1,0.01,8.428965731779228e-05,0.002665473003193027,0.0053816191817788375,0.015662508711724046,3.13250174234481e-05,2.6908095908894185,85.09087057036425
2,5,0.05,0.06875,1.0,1.0,0.0004535485526215348,0.014342464557567823,0.02974971883328743,0.015245473584578964,3.049094716915793e-05,14.874859416643714,470.3843563139767
3,11,0.06875,0.10625000000000001,0.01,1.0,6.286557398721101e-05,0.0019879840021341977,0.0038343437835395263,0.016395393197940922,3.279078639588185e-05,1.9171718917697629,60.62629844046272
4,11,0.06875,0.10625000000000001,0.1,1.0,8.649434633632651e-05,0.0027351913915023202,0.005294125142321241,0.016337797844046154,3.2675595688092306e-05,2.6470625711606206,83.70746833849101
5,1,0.06875,0.05,1.0,0.1,0.00015452824453191107,0.004886612155482989,0.00993996018472094,0.01554616333065819,3.109232666131638e-05,4.96998009236047,157.1645701755309
6,7,0.08750000000000001,0.08750000000000001,0.01,0.1,0.00014750699616740843,0.004664580786987384,0.008651133810609005,0.017050596996490627,3.4101193992981256e-05,4.325566905304503,136.78643592208098
7,6,0.08750000000000001,0.08750000000000001,0.1,0.01,0.00014750699616740843,0.004664580786987384,0.008651133810609005,0.017050596996490627,3.4101193992981256e-05,4.325566905304503,136.78643592208098
8,0,0.08750000000000001,0.05,1.0,0.01,0.00022074950964426576,0.006980712428411858,0.013958871299324466,0.015814280747394587,3.162856149478918e-05,6.979435649662232,220.70913435509655
9,20,0.10625000000000001,0.16250000000000003,0.01,1.0,0.0001276583780708364,0.004036912371067348,0.007178135500565473,0.017784336623456024,3.556867324691205e-05,3.5890677502827364,113.49628767549879
10,20,0.10625000000000001,0.16250000000000003,0.1,1.0,9.986155191057056e-05,0.003157899547165422,0.005643405256858301,0.01769526506876519,3.539053013753038e-05,2.821702628429151,89.230071855199
11,3,0.10625000000000001,0.06875,1.0,0.01,6.286557398721101e-05,0.0019879840021341977,0.0038343437835395263,0.016395393197940922,3.279078639588185e-05,1.9171718917697629,60.62629844046272
12,26,0.125,0.2,0.01,1.0,0.00012647448717314504,0.003999474453688888,0.006802555140297126,0.01859220315965286,3.718440631930572e-05,3.4012775701485634,107.5578407611259
13,23,0.125,0.18125000000000002,0.1,1.0,0.0001703124075122104,0.005385751215253562,0.009326569402453756,0.01826099181413933,3.652198362827866e-05,4.663284701226879,147.46601033694733
14,7,0.125,0.08750000000000001,1.0,0.1,0.0001609461650003464,0.005089564620703693,0.009521580464233277,0.01690330356445783,3.380660712891566e-05,4.760790232116639,150.5494059577028
15,16,0.14375000000000002,0.14375000000000002,0.01,0.1,0.00024233292314212852,0.007663239891756539,0.012665069767734734,0.019133958800565853,3.826791760113171e-05,6.332534883867367,200.25233595490735
16,15,0.14375000000000002,0.14375000000000002,0.1,0.01,0.00024233292314212852,0.007663239891756539,0.012665069767734734,0.019133958800565853,3.826791760113171e-05,6.332534883867367,200.25233595490735
17,6,0.14375000000000002,0.08750000000000001,1.0,0.01,0.00016633387440679725,0.0052599389516586785,0.009668909808682484,0.017202960592044493,3.4405921184088983e-05,4.834454904341243,152.87888743089772
18,19,0.16250000000000003,0.16250000000000003,0.01,0.1,0.0002739415489527632,0.008662792404452455,0.013815426200381738,0.01982867158634554,3.965734317269108e-05,6.907713100190873,218.4410681958605
19,18,0.16250000000000003,0.16250000000000003,0.1,0.01,0.0002739415489527632,0.008662792404452455,0.013815426200381738,0.01982867158634554,3.965734317269108e-05,6.907713100190873,218.4410681958605
20,10,0.16250000000000003,0.10625000000000001,1.0,0.1,9.986155191057056e-05,0.003157899547165422,0.005643405256858301,0.01769526506876519,3.539053013753038e-05,2.821702628429151,89.230071855199
21,22,0.18125000000000002,0.18125000000000002,0.01,0.1,0.00030555030572570536,0.009662349058540165,0.014887832248193135,0.020523491978678664,4.104698395735733e-05,7.443916124096567,235.39729663397765
22,21,0.18125000000000002,0.18125000000000002,0.1,0.01,0.00030555030572570536,0.009662349058540165,0.014887832248193135,0.020523491978678664,4.104698395735733e-05,7.443916124096567,235.39729663397765
23,13,0.18125000000000002,0.125,1.0,0.1,0.0001703124075122104,0.005385751215253562,0.009326569402453756,0.01826099181413933,3.652198362827866e-05,4.663284701226879,147.46601033694733
24,25,0.2,0.2,0.01,0.1,0.0003371587965596103,0.010661897302897112,0.01588991864884302,0.021218409232331696,4.243681846466339e-05,7.94495932442151,251.24167382564602
25,24,0.2,0.2,0.1,0.01,0.0003371587965596103,0.010661897302897112,0.01588991864884302,0.021218409232331696,4.243681846466339e-05,7.94495932442151,251.24167382564602
26,12,0.2,0.125,1.0,0.01,0.00012647448717314504,0.003999474453688888,0.006802555140297126,0.01859220315965286,3.718440631930572e-05,3.4012775701485634,107.5578407611259
