test_index,m,gamma,mse,image
46,0.4000000059604645,0.20000000298023224,0.0018212157301604748,picture\two_truth10_selected\prediction_m0p4_gamma0p2_index46.png
333,0.4000000059604645,0.20000000298023224,0.0015265543479472399,picture\two_truth10_selected\prediction_m0p4_gamma0p2_index333.png
1705,0.4000000059604645,0.20000000298023224,0.0016039209440350533,picture\two_truth10_selected\prediction_m0p4_gamma0p2_index1705.png
174,0.800000011920929,0.20000000298023224,0.0018001055577769876,picture\two_truth10_selected\prediction_m0p8_gamma0p2_index174.png
741,0.800000011920929,0.20000000298023224,0.0020321691408753395,picture\two_truth10_selected\prediction_m0p8_gamma0p2_index741.png
927,0.800000011920929,0.20000000298023224,0.0021033091470599174,picture\two_truth10_selected\prediction_m0p8_gamma0p2_index927.png
