gamma_1,gamma_2,delta_gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.001,0.001006938631476027,6.9386314760270205e-06,0.002,5.21540641784668e-08,1.3530565784236715e-08,1.3530565784236715e-07,7.513407757105602e-07,0.01800856045838927,3.601712091677854e-05,0.003756703878552801,0.00037567038785528005
0.001006938631476027,0.0010139254075588154,6.98677608278837e-06,0.002,5.21540641784668e-08,1.3587418663264618e-08,1.3587418663264618e-07,7.544983319317073e-07,0.01800854698840404,3.601709397680808e-05,0.0037724916596585368,0.00037724916596585366
0.0010139254075588154,0.0010209606623060466,7.035254747231193e-06,0.002,5.21540641784668e-08,1.3746475789906974e-08,1.3746475789906974e-07,7.633312204473373e-07,0.018008533414696555,3.601706682939311e-05,0.003816656102236686,0.0003816656102236686
0.0010209606623060466,0.0010280447320933097,7.084069787263074e-06,0.002,5.587935447692871e-08,1.3955706411952283e-08,1.3955706411952284e-07,7.749502275054136e-07,0.01800851966567723,3.601703933135446e-05,0.0038747511375270675,0.00038747511375270677
0.0010280447320933097,0.0010351779556301763,7.13322353686663e-06,0.002,5.21540641784668e-08,1.3597867733583192e-08,1.359786773358319e-07,7.550802794711186e-07,0.018008505987082,3.6017011974164e-05,0.0037754013973555936,0.0003775401397355594
0.0010351779556301763,0.0010423606739764012,7.182718346224843e-06,0.002,5.587935447692871e-08,1.4001854950036577e-08,1.4001854950036577e-07,7.775140044591433e-07,0.018008492284041354,3.601698456808271e-05,0.0038875700222957164,0.0003887570022295716
0.0010423606739764012,0.0010495932305582276,7.232556581826446e-06,0.002,5.21540641784668e-08,1.4051324522003086e-08,1.4051324522003086e-07,7.802616215587675e-07,0.018008478353622025,3.6016956707244055e-05,0.0039013081077938373,0.0003901308107793837
0.0010495932305582276,0.0010568759711848039,7.282740626576292e-06,0.002,5.587935447692871e-08,1.4334201132678198e-08,1.4334201132678198e-07,7.959702130075551e-07,0.018008464259631964,3.601692851926393e-05,0.003979851065037776,0.0003979851065037776
0.0010568759711848039,0.0010642092440647246,7.333272879920692e-06,0.002,5.587935447692871e-08,1.4267636913560295e-08,1.4267636913560295e-07,7.922745636664489e-07,0.01800845005995552,3.6016900119911036e-05,0.003961372818332245,0.0003961372818332245
0.0010642092440647246,0.001071593399822671,7.3841557579465075e-06,0.002,5.587935447692871e-08,1.4333293454748399e-08,1.4333293454748398e-07,7.959210657586025e-07,0.01800843585046609,3.601687170093218e-05,0.0039796053287930126,0.00039796053287930133
0.001071593399822671,0.0010790287915161836,7.435391693512558e-06,0.002,5.587935447692871e-08,1.4467684784225378e-08,1.4467684784225377e-07,8.033843915167161e-07,0.01800842154390343,3.601684308780686e-05,0.004016921957583581,0.000401692195758358
0.0010790287915161836,0.0010865157746525384,7.486983136354786e-06,0.002,5.587935447692871e-08,1.4439855435693332e-08,1.4439855435693332e-07,8.018396785300556e-07,0.01800840719452134,3.601681438904268e-05,0.004009198392650278,0.00040091983926502777
0.0010865157746525384,0.0010940547072057424,7.538932553204005e-06,0.002,5.587935447692871e-08,1.4584344997527184e-08,1.4584344997527183e-07,8.098637774474603e-07,0.018008392773775264,3.6016785547550526e-05,0.0040493188872373015,0.0004049318887237302
0.0010940547072057424,0.001101645949633657,7.591242427914483e-06,0.002,5.587935447692871e-08,1.4742648090132219e-08,1.4742648090132218e-07,8.186549572744534e-07,0.018008378205165813,3.601675641033163e-05,0.004093274786372267,0.0004093274786372267
0.001101645949633657,0.0011092898648952228,7.643915261565859e-06,0.002,5.960464477539063e-08,1.5126754446963194e-08,1.5126754446963193e-07,8.399849629153241e-07,0.018008363381247894,3.601672676249579e-05,0.00419992481457662,0.0004199924814576621
0.0011092898648952228,0.0011169868184678225,7.69695357259975e-06,0.002,5.587935447692871e-08,1.485955739731345e-08,1.485955739731345e-07,8.251482586983953e-07,0.018008348488492483,3.6016696976984965e-05,0.004125741293491976,0.0004125741293491976
0.0011169868184678225,0.001124737178364752,7.750359896929477e-06,0.002,5.960464477539063e-08,1.4962879021707576e-08,1.4962879021707575e-07,8.308863713068317e-07,0.0180083336764493,3.6016667352898605e-05,0.004154431856534158,0.0004154431856534158
0.001124737178364752,0.0011325413151528115,7.80413678805954e-06,0.002,5.960464477539063e-08,1.5319194777756186e-08,1.5319194777756185e-07,8.506732408906689e-07,0.01800831863679729,3.601663727359458e-05,0.004253366204453345,0.0004253366204453345
0.0011325413151528115,0.0011403996019700331,7.858286817221576e-06,0.002,5.960464477539063e-08,1.530056986834494e-08,1.5300569868344937e-07,8.496397192182297e-07,0.0180083034282146,3.60166068564292e-05,0.004248198596091149,0.00042481985960911495
0.0011403996019700331,0.0011483124145435111,7.912812573478015e-06,0.002,5.960464477539063e-08,1.5526155706755843e-08,1.5526155706755843e-07,8.621672199889303e-07,0.018008288121827677,3.6016576243655354e-05,0.004310836099944652,0.00043108360999446517
0.0011483124145435111,0.0011562801312073755,7.96771666386432e-06,0.002,5.960464477539063e-08,1.5350798200127394e-08,1.5350798200127395e-07,8.524303459431448e-07,0.018008272785200986,3.6016545570401974e-05,0.004262151729715723,0.0004262151729715723
0.0011562801312073755,0.0011643031329208768,8.023001713501317e-06,0.002,5.960464477539063e-08,1.550456300860592e-08,1.550456300860592e-07,8.60969644205921e-07,0.0180082574489672,3.60165148979344e-05,0.004304848221029606,0.0004304848221029606
0.0011643031329208768,0.0011723818032865986,8.078670365721822e-06,0.002,5.960464477539063e-08,1.573969593126223e-08,1.573969593126223e-07,8.740273482066463e-07,0.01800824192006964,3.601648384013928e-05,0.0043701367410332315,0.0004370136741033231
0.0011723818032865986,0.0011805165285688056,8.134725282207041e-06,0.002,6.332993507385254e-08,1.6037823623913912e-08,1.603782362391391e-07,8.905831978627211e-07,0.018008226140356687,3.601645228071337e-05,0.004452915989313607,0.0004452915989313607
0.0011805165285688056,0.0011887076977119032,8.19116914309759e-06,0.002,5.960464477539063e-08,1.5765024605357967e-08,1.5765024605357968e-07,8.754353875798454e-07,0.01800821034769981,3.601642069539962e-05,0.004377176937899228,0.0004377176937899227
0.0011887076977119032,0.0011969557023590429,8.24800464713964e-06,0.002,6.332993507385254e-08,1.6053162130187297e-08,1.6053162130187296e-07,8.914365121123711e-07,0.018008194540009702,3.6016389080019405e-05,0.004457182560561856,0.0004457182560561856
0.0011969557023590429,0.0012052609368708425,8.305234511799637e-06,0.002,6.332993507385254e-08,1.619209491556882e-08,1.6192094915568821e-07,8.991522873433706e-07,0.01800817852936779,3.601635705873558e-05,0.004495761436716852,0.00044957614367168515
0.0012052609368708425,0.0012136237983442406,8.362861473398082e-06,0.002,5.960464477539063e-08,1.5983039369177865e-08,1.5983039369177866e-07,8.875441527536908e-07,0.018008162545591625,3.601632509118325e-05,0.004437720763768454,0.0004437720763768453
0.0012136237983442406,0.0012220446866314887,8.420888287248096e-06,0.002,6.332993507385254e-08,1.6499990021940773e-08,1.6499990021940773e-07,9.162514371704567e-07,0.018008146402362653,3.6016292804725306e-05,0.004581257185852284,0.0004581257185852284
