split,count,min_nearest_train_rms_snr,median_nearest_train_rms_snr,p90_nearest_train_rms_snr,max_nearest_train_rms_snr
val,6,1.3366249799728394,1.6154749393463135,1.8144348859786987,1.9176924228668213
test,5,1.3270703554153442,1.5269430875778198,1.8019992351531982,1.854905605316162
holdout_all,11,1.3270703554153442,1.5563348531723022,1.854905605316162,1.9176924228668213
