selection_order,candidate_local_index,maximin_rms_snr_at_selection,alias_score
0,2,inf,1.9760453701019287
1,1,184.0965835645364,1.3766435384750366
2,34,92.75073307479641,0.428350031375885
3,48,46.07263836965372,0.6297058463096619
4,11,45.96855064762242,0.5005043745040894
5,60,23.062718104796954,0.4401922821998596
6,13,22.983843773303935,0.41200530529022217
7,28,22.870874389466415,0.43089720606803894
8,95,20.74967488475473,0.4401611387729645
9,3,13.13461638414681,0.5328138470649719
10,69,11.646643489736018,0.6594834327697754
11,25,11.401051694956665,0.4625633656978607
12,7,11.318909602459255,0.444081574678421
13,82,10.64506027579482,0.610198438167572
14,67,9.541198027974968,0.4024069309234619
15,57,8.575433452035044,0.406017005443573
16,49,7.349690960680766,0.5286808609962463
17,81,7.114703248982031,0.400799423456192
18,91,6.97500690204104,0.5273945927619934
19,33,6.7571237563847495,0.44254255294799805
20,64,6.741985120766468,0.5255428552627563
21,85,6.679491849468884,0.43457964062690735
22,99,6.321055227680055,0.4216260015964508
23,24,6.01530314525156,0.6974795460700989
24,76,5.705170659517349,0.5372642278671265
25,105,5.6610481705146825,0.42066651582717896
26,45,5.6075097563090575,0.6227941513061523
27,71,5.5028279944161245,0.43741342425346375
28,102,5.42315147789819,0.44943881034851074
29,32,5.358074459137591,0.44346460700035095
30,97,4.794785860650806,0.40758445858955383
31,80,4.490055955878392,0.6699414253234863
32,58,4.151998098481922,0.459393709897995
33,17,4.057865975934598,0.417723685503006
34,61,4.021702482500993,0.4142817556858063
35,77,4.020162688663802,0.4156997501850128
36,88,3.875573494327473,0.40028271079063416
37,36,3.840465643030909,0.5517346262931824
38,51,3.5141348764172986,0.5232449769973755
39,6,3.3222632263941474,0.4458021819591522
40,68,3.2827499223517624,0.43689435720443726
41,42,3.271929417132678,0.5660403966903687
42,78,3.210207707482325,0.40587669610977173
43,18,3.065613238823497,0.5419326424598694
44,5,2.889167306366539,0.4325800836086273
45,41,2.643783459739913,0.4100032150745392
46,35,2.543263408834234,0.43187758326530457
47,40,2.540799913030573,0.4183739721775055
48,63,2.3978766037057166,0.4328062832355499
49,26,2.3896629690215834,0.5748635530471802
50,72,2.3641811033315463,0.4393758475780487
51,10,2.2514423797585694,0.40568000078201294
52,0,2.150423574632899,1.0467736721038818
53,70,2.1501288006198824,0.649253249168396
54,31,2.0221327448867568,0.44690555334091187
55,104,2.0103241522213398,0.43561404943466187
56,9,2.0002871763215215,0.4062584340572357
57,47,1.9176924121448984,0.4203225374221802
58,83,1.8549055737116418,0.5929617285728455
59,37,1.7226396432314102,0.4291231334209442
60,93,1.711177293601902,0.44362708926200867
61,30,1.6746150605372294,0.4024432599544525
62,56,1.5563348330633182,0.47814464569091797
63,4,1.5269431033081995,0.5038559436798096
64,43,1.3976181386598128,0.43608054518699646
65,103,1.3766435491775435,0.7549551725387573
66,73,1.3366249372031025,0.4244994819164276
67,44,1.3270703551449559,0.4018830955028534
