state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,relative_l2_difference,snr_sep,snr_sep_rms,rms_g_difference,mean_rms_g,rms_g_relative,rms_g_gap_percent,sigma_reference
0,1,0.05,0.05,0.01,0.1,0.0053816191817788375,85.09087057036425,2.6908095908894185,8.428965731779228e-05,0.015662508711724046,0.005381619181778838,0.5381619181778837,3.13250174234481e-05
1,0,0.05,0.05,0.1,0.01,0.0053816191817788375,85.09087057036425,2.6908095908894185,8.428965731779228e-05,0.015662508711724046,0.005381619181778838,0.5381619181778837,3.13250174234481e-05
2,5,0.05,0.06875,1.0,1.0,0.02974971883328743,470.3843563139767,14.874859416643714,0.0004535485526215348,0.015245473584578964,0.02974971883328743,2.9749718833287426,3.049094716915793e-05
3,11,0.06875,0.10625000000000001,0.01,1.0,0.0038343437835395263,60.62629844046272,1.9171718917697629,6.286557398721101e-05,0.016395393197940922,0.0038343437835395263,0.38343437835395267,3.279078639588185e-05
4,11,0.06875,0.10625000000000001,0.1,1.0,0.005294125142321241,83.70746833849101,2.6470625711606206,8.649434633632651e-05,0.016337797844046154,0.005294125142321241,0.5294125142321241,3.2675595688092306e-05
5,1,0.06875,0.05,1.0,0.1,0.00993996018472094,157.1645701755309,4.96998009236047,0.00015452824453191107,0.01554616333065819,0.00993996018472094,0.9939960184720938,3.109232666131638e-05
6,7,0.08750000000000001,0.08750000000000001,0.01,0.1,0.008651133810609005,136.78643592208098,4.325566905304503,0.00014750699616740843,0.017050596996490627,0.008651133810609005,0.8651133810609006,3.4101193992981256e-05
7,6,0.08750000000000001,0.08750000000000001,0.1,0.01,0.008651133810609005,136.78643592208098,4.325566905304503,0.00014750699616740843,0.017050596996490627,0.008651133810609005,0.8651133810609006,3.4101193992981256e-05
8,0,0.08750000000000001,0.05,1.0,0.01,0.013958871299324466,220.70913435509655,6.979435649662232,0.00022074950964426576,0.015814280747394587,0.013958871299324466,1.3958871299324465,3.162856149478918e-05
9,20,0.10625000000000001,0.16250000000000003,0.01,1.0,0.007178135500565473,113.49628767549879,3.5890677502827364,0.0001276583780708364,0.017784336623456024,0.007178135500565473,0.7178135500565473,3.556867324691205e-05
10,20,0.10625000000000001,0.16250000000000003,0.1,1.0,0.005643405256858301,89.230071855199,2.821702628429151,9.986155191057056e-05,0.01769526506876519,0.005643405256858303,0.5643405256858303,3.539053013753038e-05
11,3,0.10625000000000001,0.06875,1.0,0.01,0.0038343437835395263,60.62629844046272,1.9171718917697629,6.286557398721101e-05,0.016395393197940922,0.0038343437835395263,0.38343437835395267,3.279078639588185e-05
12,26,0.125,0.2,0.01,1.0,0.006802555140297126,107.5578407611259,3.4012775701485634,0.00012647448717314504,0.01859220315965286,0.006802555140297127,0.6802555140297127,3.718440631930572e-05
13,23,0.125,0.18125000000000002,0.1,1.0,0.009326569402453756,147.46601033694733,4.663284701226879,0.0001703124075122104,0.01826099181413933,0.009326569402453758,0.9326569402453757,3.652198362827866e-05
14,7,0.125,0.08750000000000001,1.0,0.1,0.009521580464233277,150.5494059577028,4.760790232116639,0.0001609461650003464,0.01690330356445783,0.009521580464233279,0.9521580464233277,3.380660712891566e-05
15,16,0.14375000000000002,0.14375000000000002,0.01,0.1,0.012665069767734734,200.25233595490735,6.332534883867367,0.00024233292314212852,0.019133958800565853,0.012665069767734733,1.2665069767734731,3.826791760113171e-05
16,15,0.14375000000000002,0.14375000000000002,0.1,0.01,0.012665069767734734,200.25233595490735,6.332534883867367,0.00024233292314212852,0.019133958800565853,0.012665069767734733,1.2665069767734731,3.826791760113171e-05
17,6,0.14375000000000002,0.08750000000000001,1.0,0.01,0.009668909808682484,152.87888743089772,4.834454904341243,0.00016633387440679725,0.017202960592044493,0.009668909808682485,0.9668909808682485,3.4405921184088983e-05
18,19,0.16250000000000003,0.16250000000000003,0.01,0.1,0.013815426200381738,218.4410681958605,6.907713100190873,0.0002739415489527632,0.01982867158634554,0.013815426200381745,1.3815426200381744,3.965734317269108e-05
19,18,0.16250000000000003,0.16250000000000003,0.1,0.01,0.013815426200381738,218.4410681958605,6.907713100190873,0.0002739415489527632,0.01982867158634554,0.013815426200381745,1.3815426200381744,3.965734317269108e-05
20,10,0.16250000000000003,0.10625000000000001,1.0,0.1,0.005643405256858301,89.230071855199,2.821702628429151,9.986155191057056e-05,0.01769526506876519,0.005643405256858303,0.5643405256858303,3.539053013753038e-05
21,22,0.18125000000000002,0.18125000000000002,0.01,0.1,0.014887832248193135,235.39729663397765,7.443916124096567,0.00030555030572570536,0.020523491978678664,0.014887832248193136,1.4887832248193136,4.104698395735733e-05
22,21,0.18125000000000002,0.18125000000000002,0.1,0.01,0.014887832248193135,235.39729663397765,7.443916124096567,0.00030555030572570536,0.020523491978678664,0.014887832248193136,1.4887832248193136,4.104698395735733e-05
23,13,0.18125000000000002,0.125,1.0,0.1,0.009326569402453756,147.46601033694733,4.663284701226879,0.0001703124075122104,0.01826099181413933,0.009326569402453758,0.9326569402453757,3.652198362827866e-05
24,25,0.2,0.2,0.01,0.1,0.01588991864884302,251.24167382564602,7.94495932442151,0.0003371587965596103,0.021218409232331696,0.01588991864884302,1.588991864884302,4.243681846466339e-05
25,24,0.2,0.2,0.1,0.01,0.01588991864884302,251.24167382564602,7.94495932442151,0.0003371587965596103,0.021218409232331696,0.01588991864884302,1.588991864884302,4.243681846466339e-05
26,12,0.2,0.125,1.0,0.01,0.006802555140297126,107.5578407611259,3.4012775701485634,0.00012647448717314504,0.01859220315965286,0.006802555140297127,0.6802555140297127,3.718440631930572e-05
