state_index,a1_index,gamma_index,a1,gamma
0,0,0,0.05,0.01
1,0,1,0.05,1.0
2,1,0,0.1,0.01
3,1,1,0.1,1.0
4,2,0,0.15000000000000002,0.01
5,2,1,0.15000000000000002,1.0
6,3,0,0.2,0.01
7,3,1,0.2,1.0
