state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,rms_g_relative,rms_g_gap_percent,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0,1,0.05,0.05,0.01,1.0,0.002,0.04546274410676249,4.546274410676249,0.0027795135974884033,0.0007132301352362946,0.007132301352362947,0.045462744106762494,0.01568823328308955,3.13764665661791e-05,227.31372053381244,22.731372053381243
0,2,0.05,0.1,0.01,0.01,0.002,0.11494461310686198,11.494461310686198,0.007285986095666885,0.0019559686818383546,0.019559686818383545,0.11494461310686199,0.017016618952120227,3.4033237904240454e-05,574.7230655343099,57.47230655343099
0,3,0.05,0.1,0.01,1.0,0.002,0.032651790746272356,3.2651790746272353,0.0017269626259803772,0.0005324953573381821,0.005324953573381821,0.032651790746272356,0.016308304848455323,3.261660969691065e-05,163.25895373136174,16.325895373136174
0,4,0.05,0.15000000000000002,0.01,0.01,0.002,0.2174282927123549,21.74282927123549,0.01457197591662407,0.0039119371895186385,0.03911937189518639,0.21742829271235492,0.017991849821926836,3.598369964385367e-05,1087.1414635617746,108.71414635617745
0,5,0.05,0.15000000000000002,0.01,1.0,0.002,0.1048479828018094,10.48479828018094,0.006233435124158859,0.0017749297341526733,0.017749297341526735,0.10484798280180942,0.01692860164518151,3.385720329036302e-05,524.239914009047,52.4239914009047
0,6,0.05,0.2,0.01,0.01,0.002,0.3093651479540557,30.936514795405568,0.021857958287000656,0.005867905722615184,0.05867905722615184,0.3093651479540557,0.01896757201456525,3.79351440291305e-05,1546.8257397702782,154.68257397702783
0,7,0.05,0.2,0.01,1.0,0.002,0.1719828085280793,17.19828085280793,0.01073991134762764,0.0030181400285559505,0.030181400285559504,0.17198280852807932,0.01754907978528089,3.509815957056178e-05,859.9140426403965,85.99140426403964
1,2,0.05,0.1,1.0,0.01,0.002,0.1601713228994413,16.01713228994413,0.010065499693155289,0.002668901716567937,0.026689017165679372,0.1601713228994413,0.016662793740197336,3.332558748039467e-05,800.8566144972067,80.08566144972066
1,3,0.05,0.1,1.0,1.0,0.002,0.07793276585092253,7.793276585092253,0.0045064762234687805,0.0012433767257871938,0.01243376725787194,0.07793276585092254,0.015954479636532435,3.190895927306487e-05,389.66382925461266,38.96638292546126
1,4,0.05,0.15000000000000002,1.0,0.01,0.002,0.26220761787850855,26.220761787850854,0.017351489514112473,0.004624824417071645,0.04624824417071645,0.26220761787850855,0.01763802461000395,3.52760492200079e-05,1311.0380893925426,131.10380893925426
1,5,0.05,0.15000000000000002,1.0,1.0,0.002,0.15003237724907537,15.003237724907535,0.009012948721647263,0.0024867531106537413,0.024867531106537413,0.15003237724907534,0.016574776433258623,3.314955286651725e-05,750.1618862453768,75.01618862453768
