selection_order,candidate_local_index,maximin_rms_snr_at_selection,alias_score
0,2988,inf,8.737868309020996
1,4620,175.29864268567374,0.8874795436859131
2,2519,88.3182462893139,0.86440110206604
3,4280,44.24889737981764,0.2873857915401459
4,3301,44.22451027977988,0.46511974930763245
5,3008,22.137443856547222,0.27423515915870667
6,676,22.12156781443665,0.3364725112915039
7,1820,22.1207993665872,1.015643835067749
8,3273,22.04604097864678,0.3102574050426483
9,1660,11.175168064788883,0.2764606773853302
10,3726,11.087010639341091,0.3216544985771179
11,2887,11.083746031785237,0.7125462889671326
12,112,11.071793618552219,0.290663480758667
13,1114,11.066905706894243,0.5201219916343689
14,2641,11.043525424375815,0.44607013463974
15,1508,11.001715877068195,0.6700945496559143
16,655,6.525770056482211,0.2602190375328064
17,3580,5.653684716312075,1.0516307353973389
18,2701,5.636618349092163,0.9373888969421387
19,3387,5.6184127963983395,0.8813965320587158
20,1192,5.617412667066158,0.9964060187339783
21,133,5.560501323684308,0.2601923644542694
22,3083,5.557443310716048,0.4124237895011902
23,347,5.555461213915939,3.5242905616760254
24,4505,5.550705258858893,0.9037281274795532
25,922,5.547049332605506,0.5406169295310974
26,5350,5.546459675099255,0.3176388442516327
27,2572,5.5436107981923115,0.3290198743343353
28,1569,5.537813581981644,0.3793262839317322
29,222,5.507886520206378,0.3817252814769745
30,3167,5.388258706849507,0.4707769453525543
31,614,3.258446867380294,0.2645322382450104
32,344,3.105751302111367,0.26619410514831543
33,4616,3.0775266235353915,0.3226906657218933
34,1714,3.0393666559943435,0.998071551322937
35,4231,3.0260426787482024,0.25609278678894043
36,3774,3.015685744478723,1.0363519191741943
37,4314,2.943676678807282,0.8280764222145081
38,5421,2.9190714417957406,0.8953376412391663
39,3506,2.8889564853491607,0.2609928548336029
40,5820,2.8858684377955686,0.3080158829689026
41,3583,2.8675826765889516,0.28439363837242126
42,4996,2.858865268791118,0.9829038977622986
43,1818,2.8355810759893614,0.8687998652458191
44,2018,2.833730661390295,0.8627009391784668
45,5251,2.824311018241398,0.2983799874782562
46,1130,2.8153118334037064,0.2922075688838959
47,2399,2.80810851733929,0.5189570188522339
48,4112,2.8045837609316937,0.26873156428337097
49,2834,2.78941230879841,0.4334658086299896
50,4312,2.7884783323773057,0.314620703458786
51,4887,2.786089964900858,7.908329486846924
52,4300,2.775112611283911,2.766458749771118
53,5040,2.7693244313516026,0.39217662811279297
54,5773,2.7675841662401326,0.38568902015686035
55,5590,2.763274191311506,0.29723086953163147
56,3208,2.7615185849976416,0.36852335929870605
57,2052,2.7321054841569032,0.41214385628700256
58,5400,2.727461953201118,0.25290122628211975
59,2190,2.719583977656111,0.3281688690185547
60,1896,2.1441204475404314,0.3102226257324219
61,3663,2.113029057051877,1.0449442863464355
62,2591,2.0390685737178837,1.0228782892227173
63,2682,1.9835078538701827,1.024773120880127
64,3310,1.9029160233364333,1.0086393356323242
65,5652,1.8337553939240103,0.25404679775238037
