split_1,split_2,pair_count,min_rms_snr,median_rms_snr
train,train,9900,1.5448595597651915,41.2826902305862
train,val,2100,1.338153313556582,49.441698933227315
train,test,2100,1.3027765360745498,48.14658653502204
val,val,420,2.6419860539253444,52.77475932159908
val,test,441,1.425243672158789,47.07406699980464
test,test,420,2.644956514425841,46.40853803331186
