state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,rms_g_difference,l2_g_difference,relative_l2_difference,master_mean_rms_g,sigma_reference,snr_sep_rms,snr_sep
0,1,0.05,0.05,0.01,0.1,0.002,8.46246209854976e-05,0.0018922640509372785,0.0053885879305052295,0.015662508711724046,3.13250174234481e-05,2.701502758691285,60.407438098369234
0,2,0.05,0.05,0.01,1.0,0.002,0.0006927983874563547,0.015491442890546466,0.04497949262521484,0.015361818965644822,3.0723637931289645e-05,22.54936049584132,504.21902917849553
0,3,0.05,0.06875,0.01,0.01,0.002,0.0007146765270078125,0.01598065296312933,0.04438279535525497,0.016059215840489652,3.2118431680979306e-05,22.251289667765676,497.55396284162754
0,4,0.05,0.06875,0.01,0.1,0.002,0.0005983785326522612,0.013380150752870336,0.037294380100168036,0.016001620486594884,3.2003240973189765e-05,18.69743546141292,418.08736696634435
0,5,0.05,0.06875,0.01,1.0,0.002,0.00023942359449852308,0.005353674327160423,0.015318681108888598,0.015588033976977611,3.117606795395522e-05,7.679723910408915,171.7238471210484
0,6,0.05,0.08750000000000001,0.01,0.01,0.002,0.0014293531225854656,0.03196130745952691,0.08684447471773823,0.016414152931173407,3.2828305862346814e-05,43.54026456859887,973.5899133371263
0,7,0.05,0.08750000000000001,0.01,0.1,0.002,0.0012813323324871227,0.028651461972095688,0.07820081923285432,0.016340823423360688,3.2681646846721376e-05,39.20647997013853,876.6835437171369
0,8,0.05,0.08750000000000001,0.01,1.0,0.002,0.00022112356781440486,0.004944473290602939,0.013945269982529027,0.015814280747394587,3.162856149478918e-05,6.991262244121823,156.32937626384125
0,9,0.05,0.10625000000000001,0.01,0.01,0.002,0.0021440296936646496,0.047941961408122076,0.12750644203357184,0.01676917860657097,3.353835721314194e-05,63.92768972072715,1429.4665986006048
0,10,0.05,0.10625000000000001,0.01,0.1,0.002,0.0019642883088533294,0.04392282186004146,0.11744167809736697,0.01668010705188014,3.336021410376028e-05,58.88116613232167,1316.6229006632962
0,11,0.05,0.10625000000000001,0.01,1.0,0.002,0.000674303606303103,0.015077887011669941,0.041924999252353566,0.016040556715494737,3.2081113430989475e-05,21.018709582933123,469.9926342676472
0,12,0.05,0.125,0.01,0.01,0.002,0.002858706246225969,0.06392261494264517,0.16648018873557285,0.017124282643591934,3.424856528718387e-05,83.46937228625232,1866.431904712972
0,13,0.05,0.125,0.01,0.1,0.002,0.0026472446475288352,0.05919418984946946,0.15511606111180978,0.017019462346670487,3.4038924693340977e-05,77.7711009198453,1739.014683417705
0,14,0.05,0.125,0.01,1.0,0.002,0.001129022914044314,0.025245719839579878,0.0692200407342741,0.016266859499140612,3.253371899828122e-05,34.70316179050913,775.9862879775172
0,15,0.05,0.14375000000000002,0.01,0.01,0.002,0.0035733828433739626,0.07990326947415664,0.2038682652079512,0.017479456476127482,3.4958912952254966e-05,102.21664638869922,2285.633697571898
0,16,0.05,0.14375000000000002,0.01,0.1,0.002,0.003330201298378533,0.0744655648193246,0.19131552294910875,0.017358881682481835,3.471776336496367e-05,95.92211524027184,2144.8837022281646
0,17,0.05,0.14375000000000002,0.01,1.0,0.002,0.0015839563733195717,0.03541834124136596,0.09577834787276962,0.016493187018914557,3.298637403782912e-05,48.018505201665214,1073.7264180885065
0,18,0.05,0.16250000000000003,0.01,0.01,0.002,0.004288059403176695,0.09588392317060267,0.23976513566535188,0.017834692540928197,3.56693850818564e-05,120.21680198119985,2688.1294126759426
0,19,0.05,0.16250000000000003,0.01,0.1,0.002,0.004013158025177963,0.08973694148746737,0.2261246646502477,0.01769835840346081,3.5396716806921624e-05,113.37656108244518,2535.176976355045
0,20,0.05,0.16250000000000003,0.01,1.0,0.002,0.0020389607950633526,0.04559254941218674,0.12162121265649892,0.016719537374928522,3.3439074749857044e-05,60.97539511233245,1363.4512842608378
0,21,0.05,0.18125000000000002,0.01,0.01,0.002,0.00500273604186607,0.11186457863100767,0.27425796598619634,0.018189984541192812,3.6379969082385625e-05,137.51347700535248,3074.894824063224
0,22,0.05,0.18125000000000002,0.01,0.1,0.002,0.0046961147520957845,0.10500831815825748,0.25962178957016163,0.01803788679552932,3.607577359105864e-05,130.1736396654766,2910.771071705687
0,23,0.05,0.18125000000000002,0.01,1.0,0.002,0.00249399710886605,0.05576747071112431,0.14677493389547405,0.01694590882551231,3.3891817651024624e-05,73.58699773928032,1645.4552920515416
0,24,0.05,0.2,0.01,0.01,0.002,0.005717412469352561,0.1278452293687726,0.3074272793445409,0.01854532672939903,3.7090653458798064e-05,154.1469868063585,3446.831410257809
0,25,0.05,0.2,0.01,0.1,0.002,0.005379071551135466,0.1202796964417414,0.29187947122015745,0.018377461860976132,3.675492372195226e-05,146.34968614892702,3272.4784671476027
0,26,0.05,0.2,0.01,1.0,0.002,0.002949050697240299,0.0659427782812246,0.17126585497256983,0.017172299874104388,3.434459974820878e-05,85.86650358020563,1920.033389955689
1,2,0.05,0.05,0.1,1.0,0.002,0.000608174178735599,0.013599188058129066,0.03959337174297543,0.015319948319325403,3.063989663865081e-05,19.84909368031012,443.83922760934905
1,3,0.05,0.06875,0.1,0.01,0.002,0.000799268025162074,0.0178721763650441,0.049766000225199364,0.01601734519417023,3.203469038834046e-05,24.950078039554906,557.9007054036946
1,4,0.05,0.06875,0.1,0.1,0.002,0.0006829568521705032,0.015271379471525199,0.042677592814167366,0.015959749840275463,3.191949968055093e-05,21.396226726781684,478.43417423081667
1,5,0.05,0.06875,0.1,1.0,0.002,0.00015545020729466696,0.0034759723062730897,0.009972758485118745,0.01554616333065819,3.109232666131638e-05,4.9996325134481125,111.7951816258811
1,6,0.05,0.08750000000000001,0.1,0.01,0.002,0.0015139427696877347,0.03385278947066083,0.092219482547145,0.016372282284853986,3.274456456970797e-05,46.234933631955656,1033.844545362441
1,7,0.05,0.08750000000000001,0.1,0.1,0.002,0.0013659137091337076,0.030542759050218454,0.08357730107717692,0.016298952777041267,3.259790555408253e-05,41.901885594077434,936.9546457377629
1,8,0.05,0.08750000000000001,0.1,1.0,0.002,0.00030442009657733116,0.006807040296639636,0.019249436199818035,0.015772410101075166,3.154482020215033e-05,9.650398849208834,215.78947836816698
1,9,0.05,0.10625000000000001,0.1,0.01,0.002,0.0022286186768984205,0.04983342857470508,0.1328691328102159,0.01672730796025155,3.34546159205031e-05,66.61617883147127,1489.5830426845228
1,10,0.05,0.10625000000000001,0.1,0.1,0.002,0.0020488706167784425,0.04581413976218519,0.12280735354835498,0.016638236405560718,3.3276472811121436e-05,61.571147531407924,1376.772713328965
1,11,0.05,0.10625000000000001,0.1,1.0,0.002,0.0007585487310171223,0.016961665268004886,0.04728654393613812,0.01599868606917532,3.199737213835064e-05,23.706594645875914,530.0955714321109
1,12,0.05,0.125,0.1,0.01,0.002,0.0029432948879085084,0.06581407447191048,0.1718269260627959,0.017082411997272517,3.4164823994545034e-05,86.1498624543903,1926.369487002736
1,13,0.05,0.125,0.1,0.1,0.002,0.002731827406151759,0.0610855178295226,0.16046744356948833,0.016977591700351066,3.395518340070213e-05,80.45391402878624,1799.0042082429
1,14,0.05,0.125,0.1,1.0,0.002,0.0012133995293710878,0.027132438315400048,0.07458535832348633,0.01622498885282119,3.2449977705642386e-05,37.39292335970087,836.1311850973098
1,15,0.05,0.14375000000000002,0.1,0.01,0.002,0.003657971277078685,0.08179472435289657,0.2091958736530493,0.017437585829808065,3.487517165961613e-05,104.88754902142747,2345.3568960525336
1,16,0.05,0.14375000000000002,0.1,0.1,0.002,0.003414784322918873,0.07635689874547194,0.19664957215438447,0.017317011036162417,3.463402207232484e-05,98.59623914854348,2204.6789306196924
1,17,0.05,0.14375000000000002,0.1,1.0,0.002,0.0016683819476025746,0.03730615447272849,0.10114044576809947,0.016451316372595136,3.290263274519027e-05,50.706639815820196,1133.8349353877138
1,18,0.05,0.16250000000000003,0.1,0.01,0.002,0.004372647696830351,0.09777537491770555,0.24507085146089178,0.017792821894608776,3.558564378921755e-05,122.87673430135504,2747.6073075101
1,19,0.05,0.16250000000000003,0.1,0.1,0.002,0.004097741225102049,0.09162827933531449,0.23143872421963788,0.017656487757141393,3.531297551428279e-05,116.04066679242776,2594.7481910227093
1,20,0.05,0.16250000000000003,0.1,1.0,0.002,0.0021234115316441644,0.04748092528963297,0.12697694952600405,0.0166776667286091,3.33553334572182e-05,63.66032989499769,1423.4882511527687
1,21,0.05,0.18125000000000002,0.1,0.01,0.002,0.005087324234858847,0.11375602812726485,0.27953938965528313,0.018148113894873395,3.629622778974679e-05,140.16123836141313,3134.1005678667093
1,22,0.05,0.18125000000000002,0.1,0.1,0.002,0.004780698076386303,0.10689965878702257,0.26491354005518564,0.017996016149209898,3.5992032298419795e-05,132.8265666341991,2970.0923221197463
1,23,0.05,0.18125000000000002,0.1,1.0,0.002,0.0025784630766947096,0.05765618716962624,0.15212217855312196,0.01690403817919289,3.380807635838578e-05,76.26766602635011,1705.396857201701
1,24,0.05,0.2,0.1,0.01,0.002,0.005802000586387404,0.12973667716655876,0.3126823332197648,0.01850345608307961,3.700691216615922e-05,156.78153746891138,3505.7417539741614
1,25,0.05,0.2,0.1,0.1,0.002,0.005463654968192073,0.12217103914481926,0.29714689071992545,0.01833559121465671,3.6671182429313424e-05,148.99042262200558,3331.5271297922695
1,26,0.05,0.2,0.1,1.0,0.002,0.0030335268474411736,0.06783172242449098,0.17660290995074238,0.01713042922778497,3.426085845556994e-05,88.54205598423934,1979.860560483512
2,3,0.05,0.06875,1.0,0.01,0.002,0.0014072895969848781,0.0314679520288647,0.08930268807834221,0.015716655448091005,3.143331089618201e-05,44.77064479885293,1001.1020516673253
2,4,0.05,0.06875,1.0,0.1,0.002,0.001290942526316734,0.02886635243889528,0.0822213065055961,0.015659060094196237,3.1318120188392476e-05,41.220306919800365,921.7140832607857
2,5,0.05,0.06875,1.0,1.0,0.002,0.00045509229580733516,0.010176173094616438,0.029772601410067524,0.015245473584578964,3.049094716915793e-05,14.925488974893772,333.74407945286123
