a1_count,gamma_count,state_count,a1_step,gamma_ratio,target_rms_snr,target_g_gap_percent,feasible,min_snr_rms,median_nearest_snr_rms,p90_nearest_snr_rms,min_snr,median_nearest_snr,min_relative_l2,median_nearest_relative_l2,min_rms_g_relative,median_nearest_rms_g_relative,min_rms_g_gap_percent,median_nearest_rms_g_gap_percent
2,2,4,0.15000000000000002,100.0,2.0,0.4,1,22.731372053381243,46.200567672003075,69.6697632906249,227.31372053381244,462.0056767200307,0.045462744106762494,0.09240113534400614,0.04546274410676249,0.09240113534400614,4.546274410676249,9.240113534400614
2,3,6,0.15000000000000002,10.0,2.0,0.4,1,2.721722905631634,8.019332251219339,40.848024772213925,27.21722905631634,80.19332251219339,0.005443445811263267,0.01603866450243868,0.005443445811263268,0.01603866450243868,0.5443445811263268,1.6038664502438678
2,4,8,0.15000000000000002,4.641588833612778,2.0,0.4,0,1.103325911780821,4.134634873032843,27.085902533072343,11.033259117808207,41.34634873032842,0.0022066518235616416,0.008269269746065686,0.002206651823561642,0.008269269746065684,0.2206651823561642,0.8269269746065684
2,5,10,0.15000000000000002,3.1622776601683795,2.0,0.4,0,0.655135928926078,4.081695424346657,21.12656079089684,6.55135928926078,40.81695424346657,0.0013102718578521559,0.008163390848693313,0.001310271857852156,0.008163390848693313,0.1310271857852156,0.8163390848693313
2,6,12,0.15000000000000002,2.51188643150958,2.0,0.4,0,0.4580540143663093,3.121926443874913,19.220634445846365,4.580540143663094,31.219264438749132,0.0009161080287326187,0.006243852887749826,0.0009161080287326186,0.006243852887749826,0.09161080287326186,0.6243852887749826
2,7,14,0.15000000000000002,2.154434690031884,2.0,0.4,0,0.34974144296162696,2.8125686810264785,17.12112274340952,3.4974144296162697,28.12568681026479,0.0006994828859232539,0.005625137362052957,0.0006994828859232539,0.005625137362052957,0.0699482885923254,0.5625137362052957
2,8,16,0.15000000000000002,1.93069772888325,2.0,0.4,0,0.2819469640011998,2.5524833366336215,15.350482596644,2.819469640011998,25.524833366336217,0.0005638939280023996,0.005104966673267243,0.0005638939280023996,0.005104966673267243,0.05638939280023996,0.5104966673267243
2,9,18,0.15000000000000002,1.7782794100389228,2.0,0.4,0,0.23576898518837705,2.254568754094004,13.827115927344813,2.3576898518837703,22.54568754094004,0.00047153797037675417,0.004509137508188008,0.0004715379703767541,0.004509137508188009,0.04715379703767541,0.4509137508188009
2,10,20,0.15000000000000002,1.6681005372000588,2.0,0.4,0,0.20238092301157123,2.0962232263404235,12.577730494682049,2.0238092301157122,20.962232263404232,0.0004047618460231425,0.004192446452680847,0.0004047618460231424,0.004192446452680847,0.04047618460231424,0.4192446452680847
2,11,22,0.15000000000000002,1.5848931924611136,2.0,0.4,0,0.17718179421474567,1.9110627301839025,11.617565023399376,1.7718179421474567,19.110627301839024,0.0003543635884294914,0.0038221254603678046,0.00035436358842949134,0.0038221254603678046,0.035436358842949135,0.38221254603678045
3,2,6,0.07500000000000001,100.0,2.0,0.4,1,3.3352553842649826,22.731372053381243,52.186985108866885,33.352553842649826,227.31372053381244,0.006670510768529965,0.045462744106762494,0.0066705107685299655,0.04546274410676249,0.6670510768529966,4.546274410676249
3,3,9,0.07500000000000001,10.0,2.0,0.4,1,2.721722905631634,5.772662080699625,22.949582528741566,27.21722905631634,57.72662080699625,0.005443445811263267,0.01154532416139925,0.005443445811263268,0.011545324161399249,0.5443445811263268,1.1545324161399249
3,4,12,0.07500000000000001,4.641588833612778,2.0,0.4,0,1.103325911780821,3.287986165197176,16.436424660640288,11.033259117808207,32.87986165197176,0.0022066518235616416,0.006575972330394352,0.002206651823561642,0.006575972330394352,0.2206651823561642,0.6575972330394352
3,5,15,0.07500000000000001,3.1622776601683795,2.0,0.4,0,0.655135928926078,3.3352553842649826,16.72655452217852,6.55135928926078,33.352553842649826,0.0013102718578521559,0.006670510768529965,0.001310271857852156,0.0066705107685299655,0.1310271857852156,0.6670510768529966
3,6,18,0.07500000000000001,2.51188643150958,2.0,0.4,0,0.4580540143663093,3.097225301888807,16.020356239038666,4.580540143663094,30.972253018888072,0.0009161080287326187,0.006194450603777614,0.0009161080287326186,0.006194450603777615,0.09161080287326186,0.6194450603777615
3,7,21,0.07500000000000001,2.154434690031884,2.0,0.4,0,0.34974144296162696,3.3352553842649826,14.27197261501408,3.4974144296162697,33.352553842649826,0.0006994828859232539,0.006670510768529965,0.0006994828859232539,0.0066705107685299655,0.0699482885923254,0.6670510768529966
3,8,24,0.07500000000000001,1.93069772888325,2.0,0.4,0,0.2819469640011998,2.660476819595967,13.022889118686754,2.819469640011998,26.604768195959664,0.0005638939280023996,0.0053209536391919336,0.0005638939280023996,0.0053209536391919336,0.05638939280023996,0.5320953639191933
3,9,27,0.07500000000000001,1.7782794100389228,2.0,0.4,0,0.23576898518837705,2.315479915442986,12.326500234382218,2.3576898518837703,23.154799154429863,0.00047153797037675417,0.0046309598308859725,0.0004715379703767541,0.004630959830885973,0.04715379703767541,0.46309598308859734
3,10,30,0.07500000000000001,1.6681005372000588,2.0,0.4,0,0.20238092301157123,2.2634094198700243,12.061559815826543,2.0238092301157122,22.634094198700243,0.0004047618460231425,0.0045268188397400485,0.0004047618460231424,0.0045268188397400485,0.04047618460231424,0.45268188397400483
3,11,33,0.07500000000000001,1.5848931924611136,2.0,0.4,0,0.17718179421474567,2.076414248758241,11.015723825376192,1.7718179421474567,20.764142487582408,0.0003543635884294914,0.004152828497516482,0.00035436358842949134,0.004152828497516482,0.035436358842949135,0.4152828497516482
4,2,8,0.05000000000000001,100.0,2.0,0.4,1,5.480685782659387,19.528633713258706,30.189812837736056,54.80685782659387,195.2863371325871,0.010961371565318774,0.039057267426517425,0.010961371565318775,0.039057267426517425,1.0961371565318776,3.9057267426517424
4,3,12,0.05000000000000001,10.0,2.0,0.4,0,1.8894485866993196,6.593749023992294,16.50842725561554,18.894485866993193,65.93749023992294,0.0037788971733986394,0.01318749804798459,0.0037788971733986394,0.013187498047984587,0.37788971733986393,1.3187498047984587
4,4,16,0.05000000000000001,4.641588833612778,2.0,0.4,0,1.103325911780821,3.4660953691575607,15.636487763042933,11.033259117808207,34.66095369157561,0.0022066518235616416,0.006932190738315121,0.002206651823561642,0.006932190738315122,0.2206651823561642,0.6932190738315123
4,5,20,0.05000000000000001,3.1622776601683795,2.0,0.4,0,0.655135928926078,1.9946092106280817,14.034045308832502,6.55135928926078,19.946092106280815,0.0013102718578521559,0.003989218421256163,0.001310271857852156,0.003989218421256163,0.1310271857852156,0.39892184212561627
4,6,24,0.05000000000000001,2.51188643150958,2.0,0.4,0,0.4580540143663093,2.9040447469218225,11.878775942256656,4.580540143663094,29.040447469218226,0.0009161080287326187,0.0058080894938436455,0.0009161080287326186,0.0058080894938436455,0.09161080287326186,0.5808089493843646
4,7,28,0.05000000000000001,2.154434690031884,2.0,0.4,0,0.34974144296162696,2.052203059510835,10.04796534119536,3.4974144296162697,20.522030595108347,0.0006994828859232539,0.00410440611902167,0.0006994828859232539,0.004104406119021671,0.0699482885923254,0.4104406119021671
4,8,32,0.05000000000000001,1.93069772888325,2.0,0.4,0,0.2819469640011998,2.5678660012887873,10.980474719566653,2.819469640011998,25.678660012887875,0.0005638939280023996,0.005135732002577574,0.0005638939280023996,0.005135732002577575,0.05638939280023996,0.5135732002577575
