threshold_mahalanobis,samples,a1_recovery,m_recovery,gamma_recovery,joint_recovery,min_recovery,stage90_pass,target95_pass
0.5,768,0.9388020833333334,0.91796875,0.89453125,0.81640625,0.89453125,0,0
1.0,768,0.9609375,0.95703125,0.9479166666666666,0.8958333333333334,0.9479166666666666,1,0
1.5,768,0.9817708333333334,0.98828125,0.9739583333333334,0.953125,0.9739583333333334,1,1
