state_id,candidate_id,a1,a2,a3,m,gamma,continuous_mahalanobis
0,10711,0.1960261430591345,0.025,0.0,1.229329101163894,0.21919473159126937,4.40446093644653
1,32597,0.05313770733773709,0.025,0.0,1.4378282327298075,0.9938068041950464,1.927523059932599
2,37750,0.04571787714958191,0.025,0.0,0.5727339551225304,0.2964340262301266,1.9284390016955906
3,27816,0.19437180142849686,0.025,0.0,0.9382969327550381,0.9412027345132082,1.568769772371106
4,18253,0.08105461206287146,0.025,0.0,1.8086867282539607,0.28718153056688606,1.9161885339959668
5,39807,0.15820295698940756,0.025,0.0,1.7534210782684385,0.6493776642996818,1.6940817106120352
6,1060,0.12445825077593327,0.025,0.0,0.7917343100067228,0.5852176125720143,2.389788074408353
7,29164,0.13088603764772416,0.025,0.0,0.5241241816338151,0.0745791944116354,1.6985927104470757
8,41173,0.05565506108105183,0.025,0.0,1.269467034963891,0.5667050211224705,2.472946225431317
9,4692,0.10798683501780033,0.025,0.0,0.8083664090745151,0.9824371381103992,1.8696738060826699
10,35551,0.15353109464049342,0.025,0.0,1.8986424725037068,0.14948782275430858,1.9943378114901136
11,47259,0.1204497316852212,0.025,0.0,1.1961703613214194,0.23751380710862577,3.886773798646937
12,33768,0.1984132032841444,0.025,0.0,0.862362235719338,0.5503027882892638,2.420402404233246
13,32467,0.1261882044374943,0.025,0.0,1.4802181538566948,0.9698207070119679,1.8000288044547783
14,296,0.1962631616741419,0.025,0.0,0.5992489318456501,0.11061798128299415,2.7030782174714347
15,36041,0.04870159700512886,0.025,0.0,1.2126226501259953,0.20264674475416541,1.5942569206265047
16,26294,0.04813524372875691,0.025,0.0,0.8472379574645311,0.8103651979379356,1.907191228729129
17,5111,0.19318661093711853,0.025,0.0,1.753193361228332,0.3909959144983441,2.309875115101341
18,40895,0.15946771353483202,0.025,0.0,1.2779962667822837,0.4553781511168927,3.243856256228087
19,45440,0.15893671307712795,0.025,0.0,0.7809534707944841,0.30356152914464474,3.22312314999085
20,7019,0.10983929205685855,0.025,0.0,1.4490557397622614,0.5801785502675921,2.775367045522187
21,37951,0.16191478986293079,0.025,0.0,1.2369900580961257,0.7613111906405539,2.2005907889714904
