prebank_rank,state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
0,26755,0.06384230726398528,0.025,0.0,0.46441737413406375,0.012233506071591427,0.001832086597774294,0.001758185877313454,-7.390072046083987e-05,continuous_direct_verified,gamma_high,0.06424377787373364,0.46020868828293376,0.023624688667649593,0.0004014706097483639,0.00420868585112999,1.931146192219637
1,31955,0.05901586534455419,0.025,0.0,0.4562122836709023,0.010757900347810575,0.0017659763382002988,0.0017659756236556438,-7.145446549988027e-10,continuous_direct_verified,gamma_high,0.059872292370512274,0.4479999994774486,0.03630780547560534,0.0008564270259580828,0.008212284193453656,3.374989942437478
2,20579,0.06544212633743883,0.025,0.0,0.44815705344080925,0.011740370809365833,0.0016749476464467084,0.0016749475367436378,-1.0970307062936613e-10,continuous_direct_verified,gamma_high,0.06636374501640971,0.4400000002023039,0.03630780547731905,0.0009216186789708786,0.008157053238505352,3.092560368566438
3,22595,0.05992193440906704,0.025,0.0,0.4878655783832073,0.010961702348406863,0.0016278133252483132,0.0016278132285133346,-9.673497853440738e-11,continuous_direct_verified,gamma_high,0.060698240622811574,0.479999999814984,0.03467368504469219,0.0007763062137445334,0.007865578568223341,3.163166079740484
4,43235,0.06508896141313017,0.025,0.0,0.400128448009491,0.01965680558318335,0.004510798278619541,0.0037391980635967273,-0.0007716002150228141,continuous_direct_verified,gamma_low,0.06495451664079595,0.400128450979821,0.01638067131931946,0.0001344447723342218,2.9703300374883668e-09,1.2
5,14451,0.05363400080241263,0.025,0.0,0.40077267885208134,0.023775827733501956,0.0026115261283707765,0.0026115261283707765,0.0,verified_grid,gamma_high,0.053803598802020666,0.4,0.028840315031266057,0.00016959799960803573,0.000772678852081321,1.2130099256493119
6,42195,0.05897159981541336,0.025,0.0,0.43246923163533213,0.01892273418988333,0.0018119726708464396,0.0008521339805519837,-0.0009598386902944559,continuous_direct_verified,gamma_high,0.05940325652121954,0.42823461610880836,0.03148346816357408,0.0004316567058061799,0.004234615526523766,1.663790647146864
7,25539,0.06112956297583878,0.025,0.0,0.4807653285562992,0.018043700042857005,0.001724318396184873,0.0017243143302319436,-4.06595292937878e-09,continuous_direct_verified,gamma_high,0.06125963552852423,0.4799999987630635,0.021877616238410693,0.00013007255268544793,0.0007653297932357361,1.2124794907057561
8,5507,0.0634743650443852,0.025,0.0,0.4217993624508381,0.04450650362638651,0.0018582934400082861,0.0018582889457298656,-4.494278420556427e-09,continuous_direct_verified,gamma_low,0.06316295891123631,0.4240000013550155,0.03630780548026498,0.000311406133148881,0.0022006389041773766,1.2258108976202902
9,1811,0.05567373372614384,0.025,0.0,0.46344196796417236,0.03186262486971358,0.001823717302636782,0.0018237156844850733,-1.6181517087637126e-09,continuous_direct_verified,gamma_high,0.05640833615084128,0.4559999992093432,0.05495408738103731,0.0007346024246974378,0.007441968754829165,1.7247194041842073
10,30019,0.060301939304918055,0.025,0.0,0.45763226523995404,0.02803701922892945,0.0018026127243867126,0.0018026102819673692,-2.4424193433795344e-09,continuous_direct_verified,gamma_low,0.059703242900033114,0.46399999902233835,0.01,0.0005986964048849408,0.0063677337823843105,2.803701922892945
11,9091,0.06297079217620194,0.025,0.0,0.48022695556283,0.03248449945650865,0.0017954389427357691,0.0017954379124672543,-1.0302685148153717e-09,continuous_direct_verified,gamma_low,0.06220957109944826,0.4879999993627185,0.01,0.0007612210767536792,0.007773043799888468,3.248449945650865
12,30131,0.050078460760414605,0.025,0.0,0.4839288339018822,0.06464686364845894,0.002666627515637294,0.0026666253944705736,-2.121166720568668e-09,continuous_direct_verified,gamma_high,0.05109550735762401,0.4719999989259346,0.09999999997780963,0.0010170465972094075,0.0119288349759476,1.546865452307112
13,99,0.06538097113370896,0.025,0.0,0.46056020557880406,0.07164131088564671,0.0023049886730820714,0.0023049883551416288,-3.1794044263663834e-10,continuous_direct_verified,gamma_low,0.06414698245206918,0.47200000040218776,0.038018939633392465,0.0012339886816397777,0.011439794823383698,1.8843584691331932
14,43715,0.06164658390916884,0.025,0.0,0.4200228698551655,0.0718829765856131,0.0020796338347296404,0.0020796338347296404,0.0,verified_grid,gamma_low,0.060345033457941684,0.43200000000000005,0.03630780547701014,0.0013015504512271583,0.011977130144834536,1.9798215739348093
15,33379,0.06575205028057099,0.025,0.0,0.405862108618021,0.06772063774360003,0.0019223336063452917,0.0019223328426657715,-7.636795202291269e-10,continuous_direct_verified,gamma_low,0.06456209991888263,0.41599999943023563,0.038018939630769084,0.001189950361688355,0.010137890812214612,1.7812342585376337
16,38067,0.05059056878089905,0.025,0.0,0.46980252861976624,0.11926738531902532,0.00290691007109292,0.0010023270653214968,-0.0019045830057714233,continuous_direct_verified,gamma_low,0.050011986582622535,0.4770640269301966,0.09938948776585442,0.0005785821982765144,0.007261498310430381,1.2000000000000002
17,3715,0.06368040535598994,0.025,0.0,0.47423094436526303,0.09503570273171874,0.002865678881723187,0.002865676992016473,-1.889706714025552e-09,continuous_direct_verified,gamma_low,0.06234990587944974,0.48799999891451235,0.057543993727529774,0.001330499476540202,0.013769054549249315,1.651531229857139
18,47107,0.06185570247471333,0.025,0.0,0.42739060893654823,0.10977737392899595,0.0027404815981877067,0.002740479055095528,-2.543092178682038e-09,continuous_direct_verified,gamma_low,0.06046783307418338,0.4400000012242107,0.0724435960203515,0.0013878694005299494,0.012609392287662446,1.515349595541286
19,19395,0.06098684598691762,0.025,0.0,0.4340459875762463,0.10684800733524309,0.002649371237174552,0.002649369900481449,-1.3366931029927531e-09,continuous_direct_verified,gamma_low,0.059515192027530986,0.44800000087139985,0.06606934480860154,0.001471653959386636,0.013954013295153556,1.617210033560566
20,39907,0.06426591803319753,0.025,0.0,0.4064323455095291,0.209622650623434,0.004275555270337168,0.0042755479578420125,-7.312495155405163e-09,continuous_direct_verified,gamma_low,0.062452682468427646,0.42399999743640837,0.16595869060460436,0.001813235564769887,0.017567651926879257,1.263101376973736
21,21715,0.059003586415201426,0.025,0.0,0.40861428380012516,0.20326347059895614,0.004160082820153079,0.004160079164264022,-3.65588905676395e-09,continuous_direct_verified,gamma_low,0.056579120663975156,0.43200000177270365,0.13803842653069195,0.0024244657512262693,0.02338571797257849,1.4725136739642697
22,8371,0.050870137242600325,0.025,0.0,0.48597312346100807,0.1697515145057453,0.0038613452975052144,0.0014108848648135702,-0.0024504604326916445,continuous_direct_verified,gamma_low,0.05003417332034913,0.4969910281588748,0.14091549497084133,0.0008359639222511941,0.011017904697866732,1.2046334190634664
23,3507,0.05001404387876392,0.025,0.0,0.4685320667922497,0.18186505095666888,0.0038583456784827648,0.0038583456617753164,-1.6707448358826982e-11,continuous_direct_verified,m_low,0.05296972272234425,0.4319999998947801,0.27542287030480606,0.002955678843580334,0.03653206689746957,1.5144353951239826
