split,state_count,sigma_min_3p_median,sigma_min_3p_p10,sigma_min_3p_p90,condition_3p_median,condition_3p_p10,condition_3p_p90,sigma_min_2p_a1_gamma_median,sigma_min_2p_a1_gamma_p10,sigma_min_2p_a1_gamma_p90,condition_2p_a1_gamma_median,condition_2p_a1_gamma_p10,condition_2p_a1_gamma_p90,cos_a1_m_median,cos_a1_m_p10,cos_a1_m_p90,cos_a1_loggamma_median,cos_a1_loggamma_p10,cos_a1_loggamma_p90,cos_m_loggamma_median,cos_m_loggamma_p10,cos_m_loggamma_p90
all,260,0.0027460011969174707,0.0005974203879075392,0.005274750138695531,2238.824908159174,1029.152453976004,8414.625801804821,0.06078017898959676,0.005424354128556964,0.1376792248359462,83.50760593491188,47.369062503886006,839.2708611462758,-0.8977521175805984,-0.9402149127264259,0.11149418407512401,-0.9994505087095259,-0.9996395663700657,-0.9989589980096235,0.9110859949407473,-0.07613720291284048,0.9545903511123427
train,200,0.0027081142658157992,0.0006233805403433473,0.0053183892389010575,2219.484634439904,1016.418661929563,8296.563622134057,0.055573711558303124,0.00554337469988813,0.1389550783218534,89.70156854555091,47.58098079169135,821.0033122757079,-0.8989066384957926,-0.9345198946799941,-0.12606355747493717,-0.9994520093760628,-0.9996410890490567,-0.9989589980096235,0.9118602682043835,0.16635719683131195,0.9484242077694427
val,30,0.0027433806123110575,0.0004887261144225749,0.005284999385488129,2358.1850278070087,1041.7539858096054,9680.625317460255,0.09077674342961728,0.007460281649298407,0.138028307363244,65.19301593414053,45.436548734213844,676.0283302997667,-0.8829330046427916,-0.9672917139167856,-0.4132576942754959,-0.9993210335354394,-0.9996234848885134,-0.9988768117497738,0.8963905542061462,0.4554096829888313,0.9775125520197049
test,30,0.002823100376856873,0.0004840317776058433,0.004465581886806197,2324.247065927835,1208.6557838587921,9546.715984961407,0.05689447200178466,0.005107634354822893,0.13671577047414038,86.26188318941092,52.82055490624039,883.1808335351177,-0.8977770560397005,-0.9350291545935091,0.8048891668453556,-0.9995109172493182,-0.9996104870936704,-0.9990306780318058,0.9109874774281983,-0.7842132897427246,0.9477257262575498
