state_id,split,a1,m,gamma,sigma_max_3p,sigma_mid_3p,sigma_min_3p,condition_3p,sigma_min_2p_a1_gamma,condition_2p_a1_gamma,cos_a1_m,cos_a1_loggamma,cos_m_loggamma,null_a1_tol_units,null_m_tol_units,null_loggamma_tol_units,null_da1_actual,null_dm_actual,null_dloggamma_actual,null_gamma_factor_signed
36954,train,0.1639588685706258,0.9388482108712196,0.3151905524741272,5.89436083287829,0.19681160209378193,0.0059101955361785495,997.3207818246741,0.11385598873582556,51.67974690900319,-0.8998805965255146,-0.9992503156289615,0.9160591418057819,0.5411249121406603,-0.5769719727807074,0.6117901372908042,0.0027056245607033013,-0.017309159183421224,0.11154253026204664,1.118001291882324
43235,train,0.06508896141313017,0.400128448009491,0.01965680558318335,6.033904151790282,0.10723941815780584,0.00021755405082608267,27735.195593365042,0.004097895787488271,1471.8347037825185,-0.849896189221724,-0.9997338961530545,0.8618085971833986,0.028343438865131534,-0.03814310206363092,0.998870238438538,0.00014171719432565767,-0.0011442930619089274,0.18211557690726285,1.1997528495908503
27020,train,0.05396774569526315,1.1285501889884473,0.023378830652006848,5.859742864710152,0.07594895480159244,0.0005532377180809858,10591.72697956283,0.003557248270218867,1646.6455328310858,-0.9046508929820778,-0.9996394410823335,0.9156279250798095,0.02131857845791123,-0.04625117519800037,0.998702331530941,0.00010659289228955615,-0.001387535255940011,0.18208496385847334,1.1997161220605042
20403,train,0.05036928723566234,0.5713280975818634,0.981863911527326,4.790409162882025,0.13240222609978433,0.0010203751671712124,4694.752789959092,0.11750996315524609,40.76500056659532,-0.4660072214352034,-0.9984060768622743,0.5151914290728634,0.22602428502652502,-0.8874940707101469,0.4015809968519189,0.001130121425132625,-0.026624822121304403,0.07321687252491003,1.0759638586119853
23933,train,0.19995604250580074,0.6002859130501748,0.011183724204797874,4.547161341864288,0.23660220136364243,0.0004239130465867861,10726.636932919602,0.005567154900768603,812.2065833901007,-0.896009710701415,-0.9995850324065619,0.9083914302736686,0.04027722059743708,-0.023329850653917517,0.9989161444132391,0.00020138610298718542,-0.0006998955196175255,0.1821239465560365,1.1997628911428386
47612,train,0.062211250374093655,1.1932418413460253,0.9933856554309576,5.111341834344898,0.1217528007747327,0.0012615380431948654,4051.674748864761,0.1139394179178974,44.816533574241035,-0.9783299627542159,-0.9989945523920292,0.9866250531834712,0.20574308407994887,-0.9349083974551411,0.2891644371653104,0.0010287154203997445,-0.02804725192365423,0.05272091035342705,1.0541354057838495
14890,train,0.17241411898285153,1.190443619340658,0.01144663497045597,4.608422188129395,0.18791253528702556,0.0007223235987947999,6379.99671590208,0.004065718859872131,1129.1978765343204,-0.9045003253827345,-0.9996833864887543,0.9147740971723992,0.03335108302593158,-0.021211698837402038,0.9992185792375101,0.0001667554151296579,-0.0006363509651220611,0.18217908694402632,1.1998290483581027
15581,train,0.19528155736625197,0.40606362000107765,0.623369877122705,7.872011021827208,0.28425969021668757,0.002327496900206192,3382.1789498967028,0.13963673548003233,55.839042412275475,0.9814210424926884,-0.9990588700550636,-0.9721773231858019,0.801978287557768,-0.4865086696663004,0.3466123780614827,0.00400989143778884,-0.014595260089989012,0.06319490837222427,1.0652344421100275
26351,train,0.11607323680073024,0.7837131291627883,0.010364736088823092,5.269059165493554,0.15542733937936132,0.0003423787144300418,15389.56408042177,0.003440864267046971,1528.4471866838853,-0.9004891794026788,-0.9995513500198343,0.9130458120213933,0.020486548593415723,-0.021986970770080105,0.9995483352210063,0.00010243274296707862,-0.0006596091231024032,0.18223920856829945,1.1999011861978404
47023,train,0.1186610320582986,0.5228163331747055,0.18860471785136818,5.432892139666429,0.17113388853155173,0.002889522635740709,1880.2040421717427,0.06568697680271596,82.70288874991819,-0.37525880152770347,-0.9994952876216299,0.40448201020223473,0.3828478119888135,-0.3834894688381259,0.8404542701097009,0.0019142390599440676,-0.011504684065143777,0.15323293094052748,1.1655964508019736
