state_id,recovery_alias_margin_grid_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
36954,0.014603286289623823,0.009256084156773382,-0.005347202132850441,continuous_direct_verified,gamma_low,0.15994338684265694,0.9642841046432064,0.26265879372843937,0.004015481727968867,0.02543589377198674,1.1999999999999997
43235,0.004510798278619541,0.0037391980635967273,-0.0007716002150228141,continuous_direct_verified,gamma_low,0.06495451664079595,0.400128450979821,0.01638067131931946,0.0001344447723342218,2.9703300374883668e-09,1.2
27020,0.0032180527968161524,0.003218048730399147,-4.066417005638839e-09,continuous_direct_verified,gamma_high,0.05411051258875282,1.1279999983514626,0.028840315028718703,0.0001427668934896667,0.0005501906369846932,1.2336081071806317
20403,0.05388157794318805,0.053881514066630345,-6.387655770295764e-08,continuous_direct_verified,m_high,0.05,0.6079999821093295,0.9549926257750336,0.00036928723566233973,0.03667188452746606,1.0281376892627676
23933,0.09699321128840599,0.07158181487098918,-0.025411396417416812,continuous_direct_verified,gamma_high,0.2,0.5914347231662525,0.01342046904575745,4.395749419927597e-05,0.008851189883922306,1.2000000000000002
47612,0.04750654125113612,0.047506517405316584,-2.3845819534240587e-08,continuous_direct_verified,m_low,0.0620483979355337,1.1600000147851564,1.0,0.00016285243855995724,0.03324182656086894,1.0066583854245137
14890,0.006923688595766442,0.003793263988848228,-0.003130424606918214,continuous_direct_verified,gamma_high,0.17316362940314495,1.1872218139241897,0.020841527216212814,0.00074951042029342,0.0032218054164683263,1.8207558177582563
15581,0.01265331325781952,0.0031037124914238823,-0.009549600766395638,continuous_direct_verified,a1_low,0.19021439611227214,0.4249364644346416,0.5733606470522816,0.005067161253979824,0.018872844433563962,1.087221246047365
26351,0.0038858537611476717,0.0032120236376288903,-0.0006738301235187814,continuous_direct_verified,gamma_high,0.11658372835809408,0.7798565685156933,0.01983214765861941,0.0005104915573638374,0.003856560647095053,1.9134252419611135
47023,0.00814560889204649,0.003228799389991425,-0.004916809502055065,continuous_direct_verified,gamma_low,0.1166134101405126,0.5352195647301105,0.1571705982094735,0.0020476219177859994,0.012403231555404903,1.2
44908,0.004014072172902826,0.00401407152225184,-6.506509862141963e-10,continuous_direct_verified,gamma_low,0.05585217708721799,0.824000000736379,0.08317637712383356,0.001137362187727864,0.016288514963054057,1.503973452677883
43296,0.0076182989329225265,0.005022222765756169,-0.0025960761671663573,continuous_direct_verified,gamma_high,0.11107275676419526,1.1881833376069824,0.14702790822772918,0.0012935945714780545,0.00976094066302391,1.1999999999999997
13149,0.00778299373655609,0.003190091845214398,-0.004592901891341691,continuous_direct_verified,gamma_low,0.19236874134764353,0.656897962848305,0.08015304692809655,0.0015481410406502083,0.006135508427976943,1.2000000000000002
17054,0.04875857894246385,0.0359845831160697,-0.012773995826394144,continuous_direct_verified,m_low,0.13222702619429044,1.1641224232316016,1.0,0.0011941237262945437,0.030000000000000027,1.0355337944637404
15282,0.012519280933160503,0.005618754699017004,-0.006900526234143499,continuous_direct_verified,gamma_high,0.18762277907483713,1.1909789797057906,0.10489245827358819,0.0015526448169393692,0.006474005789538273,1.2
29137,0.0037602603641133433,0.003760254996511105,-5.3676022381161925e-09,continuous_direct_verified,gamma_high,0.14563915422588353,0.4719999974899892,0.05495408736921148,0.0021904707926488354,0.009132465875804019,1.988090813388287
21704,0.007426855194378592,0.0032554094996790424,-0.004171445694699549,continuous_direct_verified,m_low,0.0970753650194085,0.8397895437479019,0.6969394316440224,0.0022131051415628378,0.030000000000000027,1.092773613057773
25858,0.1178083899400303,0.0707777071073291,-0.047030682832701204,continuous_direct_verified,m_low,0.2,1.1562529709935188,0.8821571293412902,0.0013538816012442223,0.030000000000000027,1.0305459882712584
10890,0.006335146189942208,0.006107933271354168,-0.0002272129185880399,continuous_direct_verified,gamma_high,0.17872609570252387,0.884040324945319,0.0403795006580505,0.0011132263075807336,0.004040348719489217,1.4894306995952258
46985,0.017096297349091565,0.0031069765302237508,-0.013989320818867813,continuous_direct_verified,m_high,0.14103827861602786,0.6675678606331349,0.8702097172931395,0.0033936026180219625,0.030000000000000027,1.083459120051752
39456,0.005688018069503171,0.0032652560460826293,-0.0024227620234205417,continuous_direct_verified,gamma_high,0.11083681528150544,1.1916495142571506,0.013856929577918932,0.00012531639702124953,3.904861323178466e-09,1.2000000000000002
17728,0.00544310762624569,0.0054430796215472355,-2.800469845430642e-08,continuous_direct_verified,gamma_low,0.11032815669829883,0.872000006371718,0.052480746061995924,0.0006459530798818974,0.0035394599377923663,1.2326587581910258
39907,0.004275555270337168,0.0042755479578420125,-7.312495155405163e-09,continuous_direct_verified,gamma_low,0.062452682468427646,0.42399999743640837,0.16595869060460436,0.001813235564769887,0.017567651926879257,1.263101376973736
38397,0.018139005411876703,0.004424747578300776,-0.013714257833575928,continuous_direct_verified,m_high,0.19356455127597405,0.8000512483716011,0.7977886033724987,0.00431451080478179,0.030000000000000027,1.0803426571746853
39660,0.004944439836980139,0.004944438739589725,-1.0973904137831503e-09,continuous_direct_verified,gamma_high,0.05633272521721043,1.1839999989629915,0.16595869066356905,0.0010533072292975357,0.01503824656594488,1.3100512080574858
1831,0.0033472754651115324,0.003134393936211221,-0.0002128815289003114,continuous_direct_verified,gamma_high,0.09787951051629525,0.5961871557268222,0.04364112492486431,0.0006611416619215355,0.0041871621874253195,1.4430630581603945
31222,0.006170233204398927,0.005654774426915978,-0.0005154587774829494,continuous_direct_verified,gamma_high,0.1467856979798778,1.0756664016808466,0.04851767006903777,0.0008840896990402747,0.0036664171551270552,1.3591935611466317
40777,0.006413961617261142,0.0037629385103466187,-0.002651023106914523,continuous_direct_verified,gamma_low,0.14601607183612184,0.754265354014379,0.10537515809511457,0.0015089873162727196,0.008484502322417709,1.1999999999999997
38655,0.00712286777230489,0.0029189771587893633,-0.004203890613515527,continuous_direct_verified,m_high,0.10940486896688402,0.449959694892168,0.6641618519231053,0.004172063005172616,0.02999999999999997,1.1230928656606547
8075,0.007886996550005668,0.0038072230148025587,-0.004079773535203109,continuous_direct_verified,gamma_low,0.07640242999522791,0.6664031698018686,0.2565095513762269,0.002003387230347542,0.022788278630413217,1.1999999999999997
47845,0.009031423151236184,0.00400147584224862,-0.005029947308987564,continuous_direct_verified,gamma_low,0.16398190822479153,0.4919352937664646,0.16573302182854324,0.0031929995023755042,0.012890506180729289,1.1999999999999997
588,0.038658783737255877,0.03860098780521563,-5.779593204024991e-05,continuous_direct_verified,m_low,0.05011702127615197,0.8480346922576427,1.0,6.6941360479425e-05,0.030000000000000027,1.0144771156214518
3974,0.022783926699349012,0.010845576300610532,-0.01193835039873848,continuous_direct_verified,gamma_high,0.15809648917479815,1.1708599273737406,0.33353106149586503,0.004098955266684301,0.027476015252258845,1.2
33858,0.00997918311161992,0.0050435272788167205,-0.0049356558328032,continuous_direct_verified,gamma_low,0.19366710398166526,0.9048113356823164,0.09818327549121617,0.0018170202355171639,0.007893839805765746,1.2000000000000002
10708,0.005796028454730588,0.005796026053773884,-2.4009567042848623e-09,continuous_direct_verified,gamma_low,0.08160483990172411,1.024000001792812,0.09120108397557895,0.0014116325943682173,0.013780625258588364,1.3960940141585
3926,0.005114586531941373,0.004081821652345911,-0.0010327648795954618,continuous_direct_verified,gamma_high,0.14993002588179083,0.984004656817007,0.012067997050266614,0.00014745757233469714,7.604074481193379e-09,1.2000000000000002
28968,0.003952655754546217,0.002772883754627163,-0.0011797719999190543,continuous_direct_verified,gamma_high,0.0880268023660778,0.9799160141109904,0.02095315157470566,0.00039697129599738923,0.003916009926847597,1.8964084921572395
35033,0.004854968217776839,0.0037924482967282786,-0.0010625199210485608,continuous_direct_verified,gamma_high,0.15878498142754516,0.699972596664293,0.020054371384003636,0.000743420917371701,0.003972582619325871,1.9814001564671417
5080,0.004780204907887813,0.004780204028292909,-8.795949038575834e-10,continuous_direct_verified,gamma_high,0.09862647111293332,1.0799999989742803,0.06309573443503384,0.0010836731525923349,0.008100052160544324,1.59747304525791
27632,0.013680423517916224,0.007477053227027681,-0.006203370290888543,continuous_direct_verified,m_low,0.12694916724111366,0.9704294075071811,0.40498545758311205,0.0033636122837238103,0.030000000000000027,1.1687205262920828
13160,0.010532230729962297,0.00582566576020403,-0.0047065649697582675,continuous_direct_verified,m_low,0.09235225876994926,1.126170129776001,0.43513536955474524,0.002350553481062223,0.030000000000000027,1.1493004846851678
6407,0.003102332115739476,0.0031023321157364514,-3.024490380365563e-15,continuous_direct_verified,gamma_low,0.10103529387577909,0.41600000000000004,0.03311311214825911,0.002258725990955668,0.011967394113540641,2.0851362651292495
27889,0.004495598889541992,0.004495587900557766,-1.0988984226051324e-08,continuous_direct_verified,gamma_high,0.13850979611658032,0.7039999961460012,0.05248074600047932,0.0014584044218855508,0.0076294593906027774,1.7162611927842077
22652,0.002793432447712568,0.0027934315968270226,-8.50885545616159e-10,continuous_direct_verified,gamma_high,0.06370090384686411,0.9199999992833454,0.06606934479277929,0.0006370130339455604,0.007568315686194205,1.4786650950687097
5189,0.01335687670472559,0.007299723558742554,-0.0060571531459830364,continuous_direct_verified,a1_high,0.17581990682009052,0.675916670876226,0.4234866008912497,0.005004499521585215,0.02827078042677922,1.166224093712887
40175,0.010424710519128251,0.00583674901239548,-0.004587961506732771,continuous_direct_verified,gamma_low,0.11283603845271539,0.7477372618081585,0.26415907003465067,0.002948200105547208,0.024327230608703232,1.2000000000000002
5762,0.02032070827777388,0.010755904976078269,-0.009564803301695611,continuous_direct_verified,a1_low,0.19474835225333215,1.0540471337230473,0.31431126285186317,0.005003022337809804,0.027590767243650616,1.173608333268743
29241,0.011174540565778875,0.0029388021862352563,-0.008235738379543618,continuous_direct_verified,a1_low,0.15106165252515305,0.42710913085007046,0.7542340743221128,0.005003189091745741,0.02606437095069264,1.1007815479529381
4846,0.008539043322846527,0.004110214935057578,-0.004428828387788949,continuous_direct_verified,gamma_low,0.13801942550071628,0.9676395426345485,0.09539347040144898,0.001252470086728047,0.007609366144003316,1.2000000000000002
