stage,domain,formula_version,anchor_count,noise_level,old_vs_correct_g_relL2_median,grid_alias_margin_p10,grid_alias_margin_median,continuous_alias_margin_p10,continuous_alias_margin_median,jac_sigma_min_median,jac_condition_median,a1_recovery,m_recovery,gamma_recovery,joint_recovery,a1_mae,m_mae,gamma_factor_p90
2p,development,rho-m2-center-v1,96,0.0,0.008150666697503976,0.05974278501339625,0.1805033980655114,0.05217921224797213,0.18089441651818472,1.4185012534858519,47.03943184479334,1.0,1.0,1.0,1.0,0.00017420379991925795,0.0,1.0237768190397563
2p,development,rho-m2-center-v1,96,0.002,0.008150666697503976,0.05974278501339625,0.1805033980655114,0.05217921224797213,0.18089441651818472,1.4185012534858519,47.03943184479334,0.9479166666666666,1.0,0.828125,0.8203125,0.002018492040884374,0.0,1.361567604286792
2p,full,rho-m2-center-v1,96,0.0,0.006156854667555046,0.024681464169037243,0.14880607707426985,0.019728203871049996,0.13682719995671228,1.1693685911259544,50.84674658581239,1.0,1.0,1.0,1.0,0.0001277247270644478,0.0,1.0179670993566377
2p,full,rho-m2-center-v1,96,0.002,0.006156854667555046,0.024681464169037243,0.14880607707426985,0.019728203871049996,0.13682719995671228,1.1693685911259544,50.84674658581239,0.96875,1.0,0.6979166666666666,0.6901041666666666,0.0019044048153267084,0.0,1.9776811774507503
3p,development,rho-m2-center-v1,96,0.0,0.005831005119499458,0.002465613166616849,0.00648016998157229,0.003242595646574959,0.0069312634563854225,0.029491644937675844,2147.9006786168666,0.8854166666666666,0.9479166666666666,0.9375,0.8333333333333334,0.002946594871034738,0.010730211585760104,1.1726641581807775
3p,development,rho-m2-center-v1,96,0.002,0.005831005119499458,0.002465613166616849,0.00648016998157229,0.003242595646574959,0.0069312634563854225,0.029491644937675844,2147.9006786168666,0.1875,0.20833333333333334,0.23177083333333334,0.11197916666666667,0.023999808746979934,0.1109334985508273,15.89378806767053
3p,full,rho-m2-center-v1,96,0.0,0.006942575116771064,6.871406722180778e-05,0.005900243992534137,3.749353349504274e-05,0.0045181885125371735,0.02387538503236046,2207.981866334144,0.84375,0.9583333333333334,0.875,0.75,0.0037779399204651305,0.00800074233363072,1.33154305933903
3p,full,rho-m2-center-v1,96,0.002,0.006942575116771064,6.871406722180778e-05,0.005900243992534137,3.749353349504274e-05,0.0045181885125371735,0.02387538503236046,2207.981866334144,0.2552083333333333,0.3229166666666667,0.18229166666666666,0.08854166666666667,0.026206191752143875,0.15590385722670666,54.140802082046825
