row_i,row_j,g_relative_difference,f_relative_difference,m_difference,gamma_difference,width_i,width_j,a1_i,a1_j
8279,8862,0.01395332533866167,35.21349334716797,0.3778373599052429,0.7815113067626953,0.4366503059864044,0.001107721240259707,0.17373470962047577,0.17896613478660583
1773,8862,0.00957206916064024,34.150604248046875,0.5492420196533203,0.411030113697052,0.3028312921524048,0.001107721240259707,0.14920338988304138,0.17896613478660583
7177,8862,0.01269500982016325,34.0880241394043,1.116527795791626,0.08456497639417648,0.1174570620059967,0.001107721240259707,0.1141032725572586,0.17896613478660583
2319,8862,0.005742094945162535,29.575321197509766,0.049179673194885254,0.2937311828136444,0.06768666207790375,0.001107721240259707,0.16003620624542236,0.17896613478660583
4909,5190,0.011930447071790695,8.597270965576172,0.8834006786346436,0.10858424007892609,0.15357160568237305,0.00638566305860877,0.18389827013015747,0.17028528451919556
2645,3695,0.04563984274864197,6.7946248054504395,0.3737785816192627,0.2516953647136688,0.1296609789133072,0.004800664260983467,0.17059478163719177,0.1798010766506195
4921,5190,0.03625055029988289,6.719310760498047,0.47899213433265686,0.02881690487265587,0.04273375868797302,0.00638566305860877,0.12815241515636444,0.17028528451919556
3778,5190,0.016715973615646362,6.570180416107178,1.2875109910964966,0.004652857780456543,0.060259751975536346,0.00638566305860877,0.15849757194519043,0.17028528451919556
2832,3695,0.03562557324767113,6.281249523162842,0.5499860644340515,0.41973331570625305,0.13946159183979034,0.004800664260983467,0.19060592353343964,0.1798010766506195
3661,3695,0.0067062946036458015,5.60286283493042,0.3679736256599426,0.17110589146614075,0.09005299210548401,0.004800664260983467,0.1889391541481018,0.1798010766506195
5755,6412,0.02010410651564598,5.391564846038818,0.3431602716445923,0.33109426498413086,0.3606891334056854,0.00930639635771513,0.16350607573986053,0.17947503924369812
6184,6412,0.02103930339217186,5.254392623901367,0.23855918645858765,0.6795122623443604,0.32271549105644226,0.00930639635771513,0.19148729741573334,0.17947503924369812
