split,count,min_nearest_train_rms_snr,median_nearest_train_rms_snr,p90_nearest_train_rms_snr,max_nearest_train_rms_snr
val,26,1.3197761968889508,1.4597342417032737,1.604429849655423,1.6144758518718818
test,26,1.3352898206324342,1.4697332628702933,1.5778926457110531,1.6153060060336464
holdout_all,52,1.3197761968889508,1.4688516404950027,1.5941785560958717,1.6153060060336464
