state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,pool_candidate_index,remote_alias_rms_snr,remote_alias_a1,remote_alias_gamma
0,0.050318215042352676,0.9688354134559631,64,0.05059172958135605,0.8058421611785889,2.8045126133321734,8.459556223339588e-05,train,9891,8.737868309020996,0.05000000074505806,0.48417237401008606
1,0.19995014369487762,0.01053173653781414,166,0.19954131543636322,0.02187761664390564,1.3657837518854083,5.8328366562291224e-05,train,15320,0.8874795436859131,0.20000000298023224,0.021074146032333374
2,0.11126109957695007,0.05463865399360657,134,0.15577548742294312,0.7563973665237427,1.5400780525297824,5.523030370963985e-05,train,11719,0.0474061444401741,0.10974449664354324,0.027305491268634796
3,0.06928878277540207,0.02089296095073223,152,0.06801764667034149,0.020067811012268066,1.4371615499380819,4.7130076698007304e-05,train,4449,0.012089372612535954,0.06893005222082138,0.010441189631819725
4,0.16994507610797882,0.223872110247612,170,0.15426413714885712,0.018674543127417564,1.3197761968889508,5.174800533020305e-05,train,14141,0.2873857915401459,0.16039501130580902,0.111879363656044
5,0.19570310413837433,0.881048858165741,156,0.16377557814121246,0.4466835856437683,1.6124014905767414,6.050546404616122e-05,train,16804,1.0181360244750977,0.16570310294628143,0.4897788166999817
6,0.05454977601766586,0.1712971031665802,139,0.07081256806850433,0.7695733308792114,1.5109990541233187,4.7428378607119946e-05,train,11165,0.08702456951141357,0.0521976575255394,0.08560517430305481
7,0.09143427759408951,0.07673615217208862,141,0.09961265325546265,0.213181734085083,1.5392837589469925,5.290631929379627e-05,train,18717,0.05781502649188042,0.08967795222997665,0.038348641246557236
8,0.1757502555847168,0.011782840825617313,150,0.19846220314502716,0.233749121427536,1.4417543378414865,5.907993727641155e-05,train,174,0.027979884296655655,0.1767837554216385,0.023577621206641197
9,0.14215031266212463,0.026607250794768333,113,0.19395548105239868,0.6456542015075684,1.802327832930762,6.909101322038864e-05,train,8905,0.027174601331353188,0.1412118673324585,0.013296887278556824
10,0.12008801847696304,0.021195808425545692,121,0.13847716152668,0.3226636052131653,1.6153060060336464,5.914260976286556e-05,train,8106,0.01904016174376011,0.11945722997188568,0.010592537000775337
11,0.1148306131362915,0.8058421611785889,122,0.07802055031061172,0.017478331923484802,1.6144758518718818,5.415464963961765e-05,train,9558,0.7125462889671326,0.09596559405326843,0.4027170240879059
12,0.13747751712799072,0.6918309926986694,117,0.09945187717676163,0.01118793711066246,1.65574857567932,5.814912165533754e-05,train,5669,0.7363442778587341,0.11697830259799957,0.34574028849601746
13,0.09264887124300003,0.9772372245788574,126,0.05879424884915352,0.014919353649020195,1.594747310852593,5.1188262664485e-05,train,5018,0.6700945496559143,0.0757279098033905,0.4883711636066437
14,0.16847684979438782,0.06569011509418488,120,0.19800153374671936,0.3630780577659607,1.6280218120652048,6.526826219755205e-05,train,13975,0.0777582898736,0.16571088135242462,0.03282842040061951
15,0.18818973004817963,0.016078665852546692,164,0.19060330092906952,0.025336697697639465,1.3945696410177701,5.842205807852117e-05,train,4326,0.040287066251039505,0.18970592319965363,0.032173626124858856
16,0.05475623533129692,0.5804302096366882,161,0.05209380015730858,0.5324146747589111,1.4051228724146645,4.314125087252143e-05,train,3469,2.6386148929595947,0.05000000074505806,0.290068119764328
17,0.17337214946746826,0.906775951385498,135,0.14006054401397705,0.39582207798957825,1.5342575066071407,5.5705690994034076e-05,train,11846,1.0516307353973389,0.14337214827537537,0.4610520899295807
18,0.13591329753398895,0.019275249913334846,128,0.1469143033027649,0.19386526942253113,1.587744763198918,6.0034707476579593e-05,train,5360,0.03873702138662338,0.1372298300266266,0.03857003152370453
19,0.1980680376291275,0.6165950298309326,144,0.1982283741235733,0.6419482231140137,1.4859841718990812,5.747875470101538e-05,train,11238,0.8813965320587158,0.1708189994096756,0.3081413507461548
