selection_order,candidate_local_index,maximin_rms_snr_at_selection,alias_score
0,9891,inf,8.737868309020996
1,15320,175.29864268567374,0.8874795436859131
2,11719,88.31932406655588,0.0474061444401741
3,4449,44.25939618794627,0.012089372612535954
4,14141,44.24393434548582,0.2873857915401459
5,16804,22.19565574632992,1.0181360244750977
6,11165,22.14089169881008,0.08702456951141357
7,18717,22.139708535763393,0.05781502649188042
8,174,22.13675313688809,0.027979884296655655
9,8905,11.184390622439716,0.027174601331353188
10,8106,11.149318862821763,0.01904016174376011
11,9558,11.136870379087034,0.7125462889671326
12,5669,11.126659276205743,0.7363442778587341
13,5018,11.103812930424732,0.6700945496559143
14,13975,11.069188957869384,0.0777582898736
15,4326,11.06038661602081,0.040287066251039505
16,3469,11.04223613982235,2.6386148929595947
17,11846,5.882091593210476,1.0516307353973389
18,5360,5.697177481337861,0.03873702138662338
19,11238,5.695851055733925,0.8813965320587158
20,7946,5.676083701485527,0.019178355112671852
21,11583,5.662871572251916,1.0514365434646606
22,1451,5.642428803544995,0.9547045230865479
23,4021,5.61003252667975,0.761637270450592
24,12108,5.608456360818258,0.7020323872566223
25,8768,5.596299344559995,0.015099361538887024
26,5039,5.595937441299483,0.013814259320497513
27,9024,5.578614663330186,0.467631459236145
28,11586,5.57090514020833,0.47750088572502136
29,7205,5.555852478305763,0.6550903916358948
30,8691,5.537858926557653,0.28042981028556824
31,17320,5.517957159789966,0.029343852773308754
32,12643,5.474226579026981,5.386814594268799
33,1731,3.617106614354142,1.0354070663452148
34,8312,3.3763292617301586,0.9956915378570557
35,4778,3.3251184254658024,0.019916774705052376
36,341,3.2547949441462816,0.023239741101861
37,17174,3.1724774497414847,0.02031908743083477
38,14882,3.127629321233953,0.02511717565357685
39,13686,3.1267151610947446,0.7500301003456116
40,6906,3.1192991407158894,0.024156874045729637
41,18508,3.083387703602852,0.02610258013010025
42,17202,3.076467028090548,0.028186580166220665
43,4072,3.063651526591582,0.023370295763015747
44,17003,3.035948345791702,0.9465876221656799
45,7132,3.0300481945908775,0.021831469610333443
46,16864,3.026742139716654,0.016578026115894318
47,17400,2.9656410788738734,0.027528906241059303
48,19053,2.951166717885678,0.8847212195396423
49,1470,2.93335257068794,0.030893446877598763
50,5923,2.8898112437187895,0.45958638191223145
51,17117,2.881660953554594,0.011860937811434269
52,18045,2.8763274180687195,0.015801329165697098
53,17322,2.8677396958158403,0.010700301267206669
54,15529,2.839697838264807,0.02425740286707878
55,7057,2.8282976686898063,0.031237279996275902
56,5169,2.816366229015556,0.09390908479690552
57,5566,2.814203024611587,0.04254140704870224
58,16790,2.8007935568441407,0.030836885794997215
59,1324,2.7983462134253982,0.46978628635406494
60,2503,2.7743057004610434,1.4654368162155151
61,5751,2.7712841702951274,0.22776611149311066
62,3239,2.765740480676711,0.05049006640911102
63,3120,2.7584508226391753,0.03316468745470047
64,16223,2.6709281575411787,7.908329486846924
65,15621,2.6020894402488097,1.0260894298553467
66,12070,2.587893938531303,1.0449442863464355
67,3884,2.5449051814342734,1.060621738433838
68,10983,2.5361774588603745,1.0086393356323242
69,8725,2.506351077513286,1.0674971342086792
70,15569,2.3034746403114594,0.01863071136176586
71,16452,2.2705915681857793,0.031039463356137276
72,5764,2.257378981558093,1.0310558080673218
