split_1,split_2,pair_count,min_rms_snr,median_rms_snr
train,train,14520,1.6280218120652048,43.70691590906378
train,val,3146,1.3197761968889508,45.95329101262416
train,test,3146,1.3352898206324342,56.91905226881101
val,val,650,1.3071482284806042,51.51053959528834
val,test,676,1.5592459612531748,55.536018069551375
test,test,650,1.3082138606504439,66.91427789641365
