m,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.4,0.01,0.015848931924611134,0.002,5.877763032913208e-05,1.4896646729263289e-05,0.0001489664672926329,0.0008222264278240372,0.018117450650043186,3.6234901300086376e-05,4.111132139120185,0.41111321391201855
0.4,0.015848931924611134,0.025118864315095794,0.002,9.308755397796631e-05,2.3591691275084848e-05,0.0002359169127508485,0.0013035283720483012,0.01809833355450025,3.61966671090005e-05,6.517641860241505,0.6517641860241504
0.4,0.025118864315095794,0.039810717055349734,0.002,0.00014727935194969177,3.732102755954902e-05,0.00037321027559549024,0.0020655780518001334,0.018068079067273236,3.6136158134546474e-05,10.327890259000666,1.0327890259000667
0.4,0.039810717055349734,0.06309573444801933,0.002,0.00023235008120536804,5.8869340128489015e-05,0.0005886934012848901,0.0032668337912194747,0.018020304640755443,3.6040609281510885e-05,16.33416895609738,1.633416895609738
0.4,0.06309573444801933,0.1,0.002,0.00036401674151420593,9.219966283633414e-05,0.0009219966283633413,0.005137822759970505,0.017945278991458133,3.5890557982916264e-05,25.68911379985252,2.5689113799852525
0.4,0.1,0.15848931924611143,0.002,0.0005606375634670258,0.00014191926108910705,0.0014191926108910705,0.007960014020087041,0.017829021498074596,3.565804299614919e-05,39.80007010043521,3.9800070100435208
0.4,0.15848931924611143,0.25118864315095807,0.002,0.0008301436901092529,0.00020989924581215198,0.00209899245812152,0.011889377005942482,0.017654351923338064,3.530870384667613e-05,59.446885029712405,5.94468850297124
0.4,0.25118864315095807,0.3981071705534973,0.002,0.0011334717273712158,0.00028592815964533007,0.002859281596453301,0.016424846793322484,0.017408269510408712,3.481653902081743e-05,82.12423396661241,8.21242339666124
0.4,0.3981071705534973,0.6309573444801934,0.002,0.0013522878289222717,0.0003395787932973808,0.003395787932973808,0.019860724049929484,0.017098006721390724,3.419601344278145e-05,99.30362024964744,9.930362024964744
0.4,0.6309573444801934,1.0,0.002,0.0013753287494182587,0.00034270986579701315,0.0034270986579701315,0.020448208490773383,0.016759896885423987,3.3519793770847976e-05,102.24104245386691,10.224104245386691
0.6,0.01,0.015848931924611134,0.002,4.793331027030945e-05,1.2223019200926181e-05,0.00012223019200926182,0.0006771012172973762,0.018051982316194762,3.6103964632389527e-05,3.3855060864868807,0.3385506086486881
0.6,0.015848931924611134,0.025118864315095794,0.002,7.594749331474304e-05,1.936468458755173e-05,0.0001936468458755173,0.0010736511144569217,0.018036291609818567,3.607258321963713e-05,5.368255572284609,0.5368255572284608
0.6,0.025118864315095794,0.039810717055349734,0.002,0.00012027472257614136,3.066002955134106e-05,0.0003066002955134106,0.0017022527878939216,0.01801144328820549,3.602288657641098e-05,8.511263939469607,0.8511263939469608
0.6,0.039810717055349734,0.06309573444801933,0.002,0.00019016116857528687,4.8461219228305406e-05,0.00048461219228305405,0.002696462910991054,0.01797214381505957,3.5944287630119145e-05,13.482314554955272,1.3482314554955273
0.6,0.06309573444801933,0.1,0.002,0.0002994351089000702,7.627003819029964e-05,0.0007627003819029964,0.004258470766906671,0.017910194143636628,3.582038828727326e-05,21.292353834533355,2.1292353834533353
0.6,0.1,0.15848931924611143,0.002,0.00046661123633384705,0.00011876556267968435,0.0011876556267968435,0.006667226940413377,0.017813337350163865,3.562667470032773e-05,33.33613470206688,3.333613470206688
0.6,0.15848931924611143,0.25118864315095807,0.002,0.0007091648876667023,0.00018029877145087268,0.0018029877145087267,0.01020664350582766,0.017664844603216323,3.532968920643265e-05,51.0332175291383,5.10332175291383
0.6,0.25118864315095807,0.3981071705534973,0.002,0.0010197721421718597,0.00025882537948755565,0.002588253794875557,0.01483506204748265,0.01744686868576162,3.4893737371523235e-05,74.17531023741326,7.417531023741325
0.6,0.3981071705534973,0.6309573444801934,0.002,0.001321796327829361,0.0003346311220216063,0.0033463112202160626,0.019509279730353712,0.0171524078103697,3.43048156207394e-05,97.54639865176856,9.754639865176857
0.6,0.6309573444801934,1.0,0.002,0.0014792196452617645,0.00037331724394515934,0.003733172439451593,0.0222194882128104,0.01680134305388399,3.360268610776798e-05,111.09744106405203,11.109744106405204
0.8,0.01,0.015848931924611134,0.002,4.402920603752136e-05,1.1367247407239276e-05,0.00011367247407239276,0.0006320218365003176,0.017985529535154858,3.597105907030972e-05,3.1601091825015875,0.31601091825015876
0.8,0.015848931924611134,0.025118864315095794,0.002,6.978213787078857e-05,1.8011838127784624e-05,0.00018011838127784624,0.001002276494144008,0.01797092741675798,3.594185483351596e-05,5.011382470720041,0.501138247072004
0.8,0.025118864315095794,0.039810717055349734,0.002,0.00011056661605834961,2.852826814888666e-05,0.00028528268148886657,0.0015895136760979073,0.01794779659834109,3.589559319668218e-05,7.947568380489535,0.7947568380489536
0.8,0.039810717055349734,0.06309573444801933,0.002,0.00017498433589935303,4.512599913070738e-05,0.00045125999130707383,0.002519430308835807,0.01791119165806951,3.582238331613902e-05,12.597151544179031,1.259715154417903
0.8,0.06309573444801933,0.1,0.002,0.0002760887145996094,7.114429039533558e-05,0.0007114429039533558,0.003984912884560854,0.017853411719733453,3.570682343946691e-05,19.924564422804266,1.9924564422804265
0.8,0.1,0.15848931924611143,0.002,0.0004320964217185974,0.0001112228196841095,0.0011122281968410951,0.006261560403937283,0.017762795934088946,3.552559186817789e-05,31.307802019686417,3.1307802019686415
0.8,0.15848931924611143,0.25118864315095807,0.002,0.0006627887487411499,0.0001703547550588674,0.001703547550588674,0.009666665270721346,0.01762290824063624,3.5245816481272483e-05,48.333326353606736,4.833332635360674
0.8,0.25118864315095807,0.3981071705534973,0.002,0.0009710192680358887,0.0002491423407810993,0.002491423407810993,0.014306558584849713,0.017414554262192364,3.482910852438473e-05,71.53279292424854,7.153279292424855
0.8,0.3981071705534973,0.6309573444801934,0.002,0.0012998655438423157,0.00033295358334869875,0.0033295358334869875,0.019441935555429234,0.017125536827310398,3.4251073654620795e-05,97.20967777714617,9.720967777714616
0.8,0.6309573444801934,1.0,0.002,0.0015178024768829346,0.00038861077308870905,0.0038861077308870906,0.023176567840067393,0.01676739954640234,3.353479909280468e-05,115.88283920033697,11.588283920033698
1.0,0.01,0.015848931924611134,0.002,4.1913241147994995e-05,1.0993809793988684e-05,0.00010993809793988685,0.0006134658491450597,0.0179208179384556,3.58416358769112e-05,3.0673292457252987,0.3067329245725299
1.0,0.015848931924611134,0.025118864315095794,0.002,6.645172834396362e-05,1.742318623074896e-05,0.00017423186230748958,0.0009729991230805615,0.01790668235710873,3.581336471421746e-05,4.864995615402807,0.48649956154028084
1.0,0.025118864315095794,0.039810717055349734,0.002,0.00010532885789871216,2.7602340638412792e-05,0.0002760234063841279,0.0015433851091905993,0.01788428595950906,3.576857191901812e-05,7.716925545952996,0.7716925545952996
1.0,0.039810717055349734,0.06309573444801933,0.002,0.00016682595014572144,4.3683638392497755e-05,0.00043683638392497755,0.0024474231836371816,0.017848829203120614,3.569765840624123e-05,12.237115918185907,1.2237115918185908
1.0,0.06309573444801933,0.1,0.002,0.00026357918977737427,6.894124566300101e-05,0.0006894124566300101,0.0038746675264878894,0.017792815820120534,3.5585631640241066e-05,19.373337632439444,1.9373337632439447
1.0,0.1,0.15848931924611143,0.002,0.0004136301577091217,0.00010801810927405678,0.0010801810927405678,0.006101057555358289,0.01770481728683075,3.54096345736615e-05,30.50528777679144,3.050528777679144
1.0,0.15848931924611143,0.25118864315095807,0.002,0.0006378665566444397,0.00016624650626406175,0.0016624650626406176,0.009462784383788739,0.0175684554906343,3.51369109812686e-05,47.31392191894369,4.731392191894368
1.0,0.25118864315095807,0.3981071705534973,0.002,0.0009442456066608429,0.0002455828792333597,0.0024558287923335973,0.014143426613757436,0.01736374684438063,3.472749368876126e-05,70.71713306878719,7.071713306878719
1.0,0.3981071705534973,0.6309573444801934,0.002,0.0012869834899902344,0.00033427018065314425,0.0033427018065314423,0.019575900533014227,0.017075596603558882,3.4151193207117764e-05,97.87950266507113,9.787950266507114
1.0,0.6309573444801934,1.0,0.002,0.0015403740108013153,0.0004006375967943972,0.004006375967943972,0.023975248110473486,0.01671046718467036,3.342093436934072e-05,119.87624055236742,11.987624055236742
1.2,0.01,0.015848931924611134,0.002,4.051625728607178e-05,1.0820376698848753e-05,0.00010820376698848753,0.0006059025490505128,0.017858278886274632,3.5716557772549266e-05,3.029512745252564,0.3029512745252564
1.2,0.015848931924611134,0.025118864315095794,0.002,6.425008177757263e-05,1.7150288825518606e-05,0.00017150288825518604,0.000961104571280455,0.01784435256890904,3.568870513781808e-05,4.805522856402274,0.48055228564022745
1.2,0.025118864315095794,0.039810717055349734,0.002,0.00010188296437263489,2.7175772158048415e-05,0.00027175772158048413,0.0015248198401940469,0.017822283945748016,3.5644567891496035e-05,7.624099200970233,0.7624099200970234
1.2,0.039810717055349734,0.06309573444801933,0.002,0.00016147270798683167,4.302594781778298e-05,0.00043025947817782985,0.0024189092068314967,0.017787334760754503,3.557466952150901e-05,12.094546034157483,1.209454603415748
1.2,0.06309573444801933,0.1,0.002,0.0002554357051849365,6.795592260720322e-05,0.0006795592260720322,0.0038323698587157877,0.017732088789043702,3.5464177578087405e-05,19.16184929357894,1.916184929357894
1.2,0.1,0.15848931924611143,0.002,0.0004016980528831482,0.00010664200611581807,0.0010664200611581807,0.00604368802869457,0.017645187112487772,3.529037422497555e-05,30.21844014347285,3.021844014347285
1.2,0.15848931924611143,0.25118864315095807,0.002,0.0006218887865543365,0.00016466251999574277,0.0016466251999574279,0.009403817740111486,0.01751017773275034,3.502035546550068e-05,47.01908870055743,4.7019088700557425
1.2,0.25118864315095807,0.3981071705534973,0.002,0.000927213579416275,0.0002448555453384409,0.0024485554533844084,0.014148235404888786,0.01730643704541652,3.461287409083304e-05,70.74117702444391,7.0741177024443935
1.2,0.3981071705534973,0.6309573444801934,0.002,0.0012791529297828674,0.0003373336279495909,0.0033733362794959093,0.019823497085199086,0.01701685764624527,3.403371529249054e-05,99.11748542599544,9.911748542599543
1.2,0.6309573444801934,1.0,0.002,0.0015566423535346985,0.00041155932024928676,0.004115593202492868,0.024726599016600494,0.016644396585756966,3.328879317151393e-05,123.63299508300246,12.363299508300246
