state_1,state_2,m_1,m_2,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0,1,0.4,0.4,0.01,0.015848931924611134,0.002,5.877763032913208e-05,1.4896646729263289e-05,0.0001489664672926329,0.0008222264278240372,0.018117450650043186,3.6234901300086376e-05,4.111132139120185,0.41111321391201855
0,2,0.4,0.4,0.01,0.025118864315095794,0.002,0.0001518651843070984,3.8488337992836655e-05,0.0003848833799283666,0.002125754229261517,0.01810573276206414,3.621146552412828e-05,10.628771146307585,1.0628771146307585
0,3,0.4,0.4,0.01,0.039810717055349734,0.002,0.00029914453625679016,7.580936547548182e-05,0.0007580936547548182,0.004191327654826426,0.01808719616281617,3.617439232563234e-05,20.95663827413213,2.0956638274132127
0,4,0.4,0.4,0.01,0.06309573444801933,0.002,0.0005314946174621582,0.0001346787052513555,0.001346787052513555,0.007458135784168135,0.01805795833554635,3.61159166710927e-05,37.29067892084068,3.729067892084068
0,5,0.4,0.4,0.01,0.1,0.002,0.0008955113589763641,0.00022687836570522456,0.002268783657052246,0.012595837105525023,0.01801217051351886,3.6024341027037724e-05,62.97918552762511,6.297918552762511
0,6,0.4,0.4,0.01,0.15848931924611143,0.002,0.00145614892244339,0.0003687976119902989,0.0036879761199029894,0.020555331695400265,0.017941700842162817,3.5883401684325635e-05,102.7766584770013,10.27766584770013
0,7,0.4,0.4,0.01,0.25118864315095807,0.002,0.002286292612552643,0.0005786967609057684,0.005786967609057684,0.03244270387941872,0.017837500938782325,3.567500187756465e-05,162.2135193970936,16.221351939709358
0,8,0.4,0.4,0.01,0.3981071705534973,0.002,0.0034197643399238586,0.0008646243052401368,0.008646243052401368,0.048860926149479046,0.017695618429233465,3.539123685846693e-05,244.30463074739524,24.430463074739524
0,9,0.4,0.4,0.01,0.6309573444801934,0.002,0.00477205216884613,0.0012041997338754218,0.012041997338754218,0.0687044772020521,0.01752723814976434,3.505447629952868e-05,343.52238601026045,34.352238601026045
0,10,0.4,0.4,0.01,1.0,0.002,0.006147380918264389,0.0015468962339232656,0.015468962339232657,0.08911971586310108,0.017357508593266725,3.471501718653345e-05,445.5985793155054,44.55985793155053
0,11,0.4,0.6,0.01,0.01,0.002,0.00046906620264053345,7.887440442467259e-05,0.0007887440442467258,0.0043597608846265515,0.018091451919484986,3.618290383896997e-05,21.798804423132758,2.179880442313276
0,12,0.4,0.6,0.01,0.015848931924611134,0.002,0.0005169995129108429,9.004562509599822e-05,0.0009004562509599823,0.004978917989546003,0.018085380254316854,3.617076050863371e-05,24.894589947730008,2.4894589947730004
0,13,0.4,0.6,0.01,0.025118864315095794,0.002,0.0005929470062255859,0.00010821083647006872,0.0010821083647006872,0.005986516152447993,0.01807576121310879,3.615152242621758e-05,29.93258076223997,2.993258076223997
0,14,0.4,0.6,0.01,0.039810717055349734,0.002,0.0007132217288017273,0.0001376432605947911,0.001376432605947911,0.007621218528206717,0.018060531932703773,3.6121063865407546e-05,38.10609264103359,3.810609264103359
0,15,0.4,0.6,0.01,0.06309573444801933,0.002,0.0009033828973770142,0.0001849808872510243,0.001849808872510243,0.010255940988756537,0.018036461739962872,3.6072923479925745e-05,51.27970494378269,5.127970494378269
0,16,0.4,0.6,0.01,0.1,0.002,0.0012028180062770844,0.0002603244518960938,0.0026032445189609382,0.014463608750791042,0.01799858226128083,3.599716452256166e-05,72.31804375395521,7.231804375395521
0,17,0.4,0.6,0.01,0.15848931924611143,0.002,0.0016694292426109314,0.0003783921556024688,0.003783921556024688,0.02109255787577983,0.017939604946490113,3.587920989298023e-05,105.46278937889915,10.546278937889914
0,18,0.4,0.6,0.01,0.25118864315095807,0.002,0.0023785941302776337,0.0005582059725659148,0.0055820597256591485,0.03127188645847887,0.017850089514333284,3.5700179028666566e-05,156.35943229239442,15.63594322923944
0,19,0.4,0.6,0.01,0.3981071705534973,0.002,0.0033983662724494934,0.000816722010505911,0.00816722010505911,0.04608617013524998,0.017721629029035412,3.544325805807082e-05,230.43085067624995,23.043085067624993
0,20,0.4,0.6,0.01,0.6309573444801934,0.002,0.004720162600278854,0.0011511775884772602,0.011511775884772603,0.06557313395908551,0.017555628638941365,3.511125727788273e-05,327.86566979542755,32.786566979542755
0,21,0.4,0.6,0.01,1.0,0.002,0.006199382245540619,0.0015244090942918853,0.01524409094291885,0.08775817931838133,0.017370564272549703,3.474112854509941e-05,438.79089659190663,43.87908965919067
0,22,0.4,0.8,0.01,0.01,0.002,0.0009213052690029144,0.00015660333446418934,0.0015660333446418935,0.008672234331585076,0.018058014633417545,3.611602926683509e-05,43.36117165792539,4.336117165792539
0,23,0.4,0.8,0.01,0.015848931924611134,0.002,0.0009653344750404358,0.00016694903018270478,0.0016694903018270478,0.00924804214895378,0.018052364759344387,3.6104729518688777e-05,46.2402107447689,4.62402107447689
0,24,0.4,0.8,0.01,0.025118864315095794,0.002,0.0010351166129112244,0.00018359050818945332,0.0018359050818945331,0.010174932709464965,0.018043412515020667,3.6086825030041335e-05,50.87466354732483,5.087466354732483
0,25,0.4,0.8,0.01,0.039810717055349734,0.002,0.001145683228969574,0.00021041260249015997,0.0021041260249016,0.011670634658109911,0.0180292339409275,3.6058467881855004e-05,58.35317329054954,5.835317329054954
0,26,0.4,0.8,0.01,0.06309573444801933,0.002,0.001320667564868927,0.0002536049830758668,0.002536049830758668,0.014083839238194371,0.018006807574749085,3.601361514949817e-05,70.41919619097186,7.041919619097186
0,27,0.4,0.8,0.01,0.1,0.002,0.0015967562794685364,0.0003227839589820061,0.0032278395898200614,0.017960926196370165,0.017971454002591446,3.594290800518289e-05,89.80463098185082,8.98046309818508
0,28,0.4,0.8,0.01,0.15848931924611143,0.002,0.002028852701187134,0.0004322259885647931,0.004322259885647931,0.02412488064721677,0.01791619178910458,3.583238357820916e-05,120.62440323608386,12.062440323608387
0,29,0.4,0.8,0.01,0.25118864315095807,0.002,0.0026916414499282837,0.0006011388225543103,0.006011388225543104,0.03371205939694846,0.01783156630913874,3.566313261827748e-05,168.56029698474234,16.856029698474234
0,30,0.4,0.8,0.01,0.3981071705534973,0.002,0.0036626607179641724,0.0008492320064311445,0.008492320064311444,0.047957972933311985,0.017707837810660702,3.541567562132141e-05,239.78986466655988,23.97898646665599
