state,nearest_state,m,nearest_m,gamma,nearest_gamma,relative_l2_difference,snr_sep,snr_sep_rms
0,1,0.4,0.4,0.01,0.015848931924611134,0.0008222264278240372,4.111132139120185,0.41111321391201855
1,0,0.4,0.4,0.015848931924611134,0.01,0.0008222264278240372,4.111132139120185,0.41111321391201855
2,1,0.4,0.4,0.025118864315095794,0.015848931924611134,0.0013035283720483012,6.517641860241505,0.6517641860241504
3,11,0.4,0.6,0.039810717055349734,0.01,0.001898465379150928,9.492326895754642,0.9492326895754643
4,14,0.4,0.6,0.06309573444801933,0.039810717055349734,0.0018776984013637171,9.388492006818588,0.938849200681859
5,16,0.4,0.6,0.1,0.1,0.002559100553512892,12.79550276756446,1.2795502767564462
6,17,0.4,0.6,0.15848931924611143,0.15848931924611143,0.001917545595831372,9.587727979156861,0.9587727979156859
7,18,0.4,0.6,0.25118864315095807,0.25118864315095807,0.0022178492585515843,11.089246292757922,1.1089246292757922
8,19,0.4,0.6,0.3981071705534973,0.3981071705534973,0.003348777157396945,16.743885786984723,1.6743885786984725
9,31,0.4,0.8,0.6309573444801934,0.6309573444801934,0.0034849111729225095,17.42455586461255,1.7424555864612548
10,21,0.4,0.6,1.0,1.0,0.002134353380146362,10.671766900731813,1.0671766900731812
11,12,0.6,0.6,0.01,0.015848931924611134,0.0006771012172973762,3.3855060864868807,0.3385506086486881
12,11,0.6,0.6,0.015848931924611134,0.01,0.0006771012172973762,3.3855060864868807,0.3385506086486881
13,12,0.6,0.6,0.025118864315095794,0.015848931924611134,0.0010736511144569217,5.368255572284609,0.5368255572284608
14,13,0.6,0.6,0.039810717055349734,0.025118864315095794,0.0017022527878939216,8.511263939469607,0.8511263939469608
15,24,0.6,0.8,0.06309573444801933,0.025118864315095794,0.0018455032763431728,9.227516381715862,0.9227516381715863
16,26,0.6,0.8,0.1,0.06309573444801933,0.0018744629813370304,9.372314906685151,0.9372314906685151
17,6,0.6,0.4,0.15848931924611143,0.15848931924611143,0.001917545595831372,9.587727979156861,0.9587727979156859
18,7,0.6,0.4,0.25118864315095807,0.25118864315095807,0.0022178492585515843,11.089246292757922,1.1089246292757922
19,30,0.6,0.8,0.3981071705534973,0.3981071705534973,0.002365200129232473,11.826000646162361,1.1826000646162362
20,31,0.6,0.8,0.6309573444801934,0.6309573444801934,0.0022382656823963327,11.191328411981665,1.1191328411981667
21,10,0.6,0.4,1.0,1.0,0.002134353380146362,10.671766900731813,1.0671766900731812
22,23,0.8,0.8,0.01,0.015848931924611134,0.0006320218365003176,3.1601091825015875,0.31601091825015876
23,22,0.8,0.8,0.015848931924611134,0.01,0.0006320218365003176,3.1601091825015875,0.31601091825015876
24,23,0.8,0.8,0.025118864315095794,0.015848931924611134,0.001002276494144008,5.011382470720041,0.501138247072004
25,24,0.8,0.8,0.039810717055349734,0.025118864315095794,0.0015895136760979073,7.947568380489535,0.7947568380489536
26,35,0.8,1.0,0.06309573444801933,0.025118864315095794,0.0016936846585655007,8.468423292827504,0.8468423292827505
