m_1,m_2,gamma,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.4,0.6,0.01,0.002,0.00046906620264053345,7.887440442467259e-05,0.0007887440442467258,0.0043597608846265515,0.018091451919484986,3.618290383896997e-05,21.798804423132758,2.179880442313276
0.4,0.6,0.015848931924611134,0.002,0.0004582218825817108,7.645308118825743e-05,0.0007645308118825743,0.004229071874261611,0.018077981046752963,3.6155962093505926e-05,21.145359371308054,2.1145359371308055
0.4,0.6,0.025118864315095794,0.002,0.00044108182191848755,7.26615488152113e-05,0.000726615488152113,0.004024089323692475,0.018056644117565857,3.611328823513172e-05,20.120446618462374,2.0120446618462373
0.4,0.6,0.039810717055349734,0.002,0.00041407719254493713,6.679346802550741e-05,0.0006679346802550742,0.0037060378006106088,0.01802287823791287,3.604575647582574e-05,18.530189003053046,1.8530189003053044
0.4,0.6,0.06309573444801933,0.002,0.00037188827991485596,5.796958662851561e-05,0.0005796958662851561,0.003225986260415039,0.017969570217902145,3.593914043580429e-05,16.129931302075196,1.6129931302075198
0.4,0.6,0.1,0.002,0.0003073066473007202,4.577182405546546e-05,0.00045771824055465456,0.002559100553512892,0.01788590291719261,3.5771805834385216e-05,12.79550276756446,1.2795502767564462
0.4,0.6,0.15848931924611143,0.002,0.0002132803201675415,3.404881386815081e-05,0.00034048813868150813,0.001917545595831372,0.01775645593104585,3.5512911862091696e-05,9.587727979156861,0.9587727979156859
0.4,0.6,0.25118864315095807,0.002,9.230151772499084e-05,3.895151120788241e-05,0.0003895151120788241,0.0022178492585515843,0.01756274059550853,3.5125481191017065e-05,11.089246292757922,1.1089246292757922
0.4,0.6,0.3981071705534973,0.002,0.00010593980550765991,5.790838608172197e-05,0.0005790838608172197,0.003348777157396945,0.0172923976006618,3.45847952013236e-05,16.743885786984723,1.6743885786984725
0.4,0.6,0.6309573444801934,0.002,0.00011473894119262695,6.126820431697582e-05,0.0006126820431697582,0.003612934493809739,0.016958016931098628,3.391603386219726e-05,18.0646724690487,1.80646724690487
0.4,0.6,1.0,0.002,5.741044878959656e-05,3.5437145148895486e-05,0.00035437145148895486,0.002134353380146362,0.01660322300820935,3.3206446016418704e-05,10.671766900731813,1.0671766900731812
0.6,0.8,0.01,0.002,0.000452239066362381,7.774514287775533e-05,0.0007774514287775533,0.004313275793434616,0.018024616695295453,3.6049233390590904e-05,21.566378967173083,2.1566378967173083
0.6,0.8,0.015848931924611134,0.002,0.0004483349621295929,7.692883911889552e-05,0.0007692883911889552,0.004270764829996781,0.018012895156054164,3.6025790312108327e-05,21.35382414998391,2.135382414998391
0.6,0.8,0.025118864315095794,0.002,0.00044216960668563843,7.56406544301199e-05,0.000756406544301199,0.004203584139887109,0.017994323870522383,3.598864774104477e-05,21.017920699435543,2.101792069943554
0.6,0.8,0.039810717055349734,0.002,0.0004324615001678467,7.361646505928452e-05,0.0007361646505928452,0.004097790660063243,0.017964916016024197,3.5929832032048397e-05,20.488953300316215,2.0488953300316215
0.6,0.8,0.06309573444801933,0.002,0.00041728466749191284,7.046439464317072e-05,0.0007046439464317071,0.003932511726933074,0.01791841945710488,3.583683891420976e-05,19.66255863466537,1.9662558634665372
0.6,0.8,0.1,0.002,0.000393938273191452,6.565745435259225e-05,0.0006565745435259226,0.0036792809476924736,0.017845186406265194,3.569037281253039e-05,18.39640473846237,1.8396404738462366
0.6,0.8,0.15848931924611143,0.002,0.0003594234585762024,5.867648946294598e-05,0.0005867648946294599,0.0033092699372863675,0.017730946877987618,3.546189375597523e-05,16.546349686431835,1.6546349686431834
0.6,0.8,0.25118864315095807,0.002,0.00031304731965065,4.9659928117768214e-05,0.0004965992811776822,0.002828528618150716,0.017556805965864945,3.511361193172989e-05,14.142643090753579,1.4142643090753577
0.6,0.8,0.3981071705534973,0.002,0.00026429444551467896,4.092888232235543e-05,0.00040928882322355427,0.002365200129232473,0.017304616982089037,3.4609233964178076e-05,11.826000646162361,1.1826000646162362
0.6,0.8,0.6309573444801934,0.002,0.00024236366152763367,3.7990816807578084e-05,0.0003799081680757808,0.0022382656823963327,0.016973327655591064,3.3946655311182126e-05,11.191328411981665,1.1191328411981667
0.6,0.8,1.0,0.002,0.0002809464931488037,4.9079143139725207e-05,0.0004907914313972521,0.0029573917436402143,0.01659541494469527,3.319082988939054e-05,14.78695871820107,1.478695871820107
0.8,1.0,0.01,0.002,0.00042905285954475403,7.487068012264151e-05,0.000748706801226415,0.004169040200401551,0.01795873307132662,3.591746614265324e-05,20.845201002007755,2.084520100200776
0.8,1.0,0.015848931924611134,0.002,0.00042693689465522766,7.448348570355229e-05,0.0007448348570355228,0.004150049362219094,0.01794761440228384,3.589522880456768e-05,20.750246811095472,2.0750246811095474
0.8,1.0,0.025118864315095794,0.002,0.0004236064851284027,7.387357870695245e-05,0.0007387357870695245,0.004120111420889387,0.017929995371582873,3.585999074316575e-05,20.600557104446935,2.0600557104446935
0.8,1.0,0.039810717055349734,0.002,0.00041836872696876526,7.291444430094357e-05,0.0007291444430094357,0.004072957725112432,0.017902087186267276,3.580417437253455e-05,20.364788625562156,2.0364788625562156
0.8,1.0,0.06309573444801933,0.002,0.00041021034121513367,7.142054161785882e-05,0.0007142054161785882,0.0039993732151750415,0.017857933674922843,3.5715867349845686e-05,19.99686607587521,1.9996866075875208
0.8,1.0,0.1,0.002,0.00039770081639289856,6.913649168741631e-05,0.0006913649168741632,0.00388662860038061,0.017788293864931144,3.557658772986229e-05,19.433143001903048,1.9433143001903046
0.8,1.0,0.15848931924611143,0.002,0.00037923455238342285,6.579669742164259e-05,0.0006579669742164259,0.003721675936543062,0.017679319355988557,3.5358638711977116e-05,18.608379682715306,1.8608379682715308
0.8,1.0,0.25118864315095807,0.002,0.00035431236028671265,6.14272518811757e-05,0.000614272518811757,0.003507714494367056,0.017512044375281987,3.5024088750563975e-05,17.53857247183528,1.7538572471835279
0.8,1.0,0.3981071705534973,0.002,0.00032753869891166687,5.726631548988539e-05,0.0005726631548988539,0.003316660720450411,0.017266256731291008,3.453251346258202e-05,16.583303602252055,1.6583303602252055
0.8,1.0,0.6309573444801934,0.002,0.00031465664505958557,5.727260919389543e-05,0.0005727260919389544,0.003381932458671027,0.016934876699578272,3.386975339915654e-05,16.909662293355137,1.6909662293355137
0.8,1.0,1.0,0.002,0.0003372281789779663,6.747240844446727e-05,0.0006747240844446726,0.0040786102340637205,0.016542990031494426,3.308598006298885e-05,20.3930511703186,2.0393051170318603
1.0,1.2,0.01,0.002,0.00040621310472488403,7.182826884238663e-05,0.0007182826884238663,0.0040138789051792695,0.017894976539950855,3.578995307990171e-05,20.069394525896342,2.0069394525896342
1.0,1.2,0.015848931924611134,0.002,0.0004048161208629608,7.161836189930587e-05,0.0007161836189930586,0.00400457840580831,0.017884120284779377,3.5768240569558754e-05,20.022892029041554,2.0022892029041555
1.0,1.2,0.025118864315095794,0.002,0.0004026144742965698,7.128793890341843e-05,0.0007128793890341842,0.003989941203327836,0.017866914641238386,3.573382928247677e-05,19.94970601663918,1.9949706016639184
1.0,1.2,0.039810717055349734,0.002,0.00039916858077049255,7.077109883675801e-05,0.0007077109883675801,0.003967066503773662,0.017839655264018685,3.567931052803737e-05,19.835332518868313,1.9835332518868312
1.0,1.2,0.06309573444801933,0.002,0.0003938153386116028,6.997232591604514e-05,0.0006997232591604513,0.003931800731039431,0.017796508699856432,3.5593017399712865e-05,19.65900365519716,1.9659003655197163
1.0,1.2,0.1,0.002,0.00038567185401916504,6.87674572935696e-05,0.000687674572935696,0.0038789441326423195,0.017728395909307804,3.5456791818615606e-05,19.394720663211597,1.9394720663211598
1.0,1.2,0.15848931924611143,0.002,0.00037373974919319153,6.704982877549334e-05,0.0006704982877549334,0.0038049777813133428,0.017621608490010716,3.5243216980021435e-05,19.024888906566712,1.9024888906566713
1.0,1.2,0.25118864315095807,0.002,0.0003577619791030884,6.493116785217006e-05,0.0006493116785217007,0.0037194865015019547,0.017457024733373926,3.4914049466747855e-05,18.59743250750977,1.8597432507509768
1.0,1.2,0.3981071705534973,0.002,0.0003407299518585205,6.336513638963663e-05,0.0006336513638963663,0.003681203189595295,0.017213159156423224,3.442631831284645e-05,18.406015947976474,1.8406015947976475
1.0,1.2,0.6309573444801934,0.002,0.00033289939165115356,6.521281077782725e-05,0.0006521281077782725,0.00386347951244717,0.016879295093380927,3.375859018676185e-05,19.31739756223585,1.9317397562235852
1.0,1.2,1.0,0.002,0.00034916773438453674,7.480210852738842e-05,0.0007480210852738843,0.004540183710417352,0.016475568677046398,3.29511373540928e-05,22.700918552086762,2.2700918552086757
