state_id,a1,m,gamma,q2_points,recovery_alias_margin_rms_snr,recovery_alias_mahalanobis,recovery_alias_margin_grid_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
0,0.06466064001433552,0.6326172806322574,0.07733619818896668,160,0.04288622777440744,0.5424726400796053,0.12174988902413211,0.04288622777440744,-0.07886366124972467,continuous_direct_verified,gamma_low,0.06411292345321744,0.6309791973446713,0.06444683182413889,0.0005477165611180862,0.0016380832875860785,1.2000000000000002
1,0.183238539332524,1.096612663567066,0.7542486461191015,160,0.10520822330804441,1.3307904569321403,0.14676713749485853,0.10520822330804441,-0.04155891418681412,continuous_direct_verified,a1_high,0.188238539332524,1.0869830183600158,0.8122781564711812,0.0050000000000000044,0.009629645207050341,1.0769368439050753
2,0.13296035141684115,0.5540925443172455,0.024712087113405768,160,0.022433751744241934,0.28376700789831877,0.2482112569141716,0.022433751744241934,-0.22577750516992967,continuous_direct_verified,gamma_low,0.13260263322923568,0.5537061357444453,0.020593405927838135,0.0003577181876054658,0.0003864085728002564,1.2000000000000004
3,0.12028607758693398,0.9182343237102032,0.2533695405041544,160,0.17400122035380716,2.2009606878675196,0.2290215911619812,0.17400122035380716,-0.05502037080817404,continuous_direct_verified,gamma_low,0.11704328473742844,0.9106552078386928,0.211141283753462,0.0032427928495055436,0.007579115871510389,1.2
4,0.10190509981475772,0.47041622772812847,0.4025825436068211,160,0.14270798510324312,1.8051290928785104,0.18017708363810614,0.14270798510324312,-0.03746909853486302,continuous_direct_verified,gamma_low,0.09777392159805708,0.4800489756488175,0.3354854530056843,0.004131178216700643,0.009632747920689022,1.2
5,0.14548082654364408,0.8064817801117896,0.039638215947339545,160,0.04267522975646422,0.5398037028056787,0.12186148356479505,0.04267522975646422,-0.07918625380833083,continuous_direct_verified,gamma_low,0.14483910540967326,0.8044490574358675,0.033031846622782954,0.0006417211339708184,0.0020327226759221384,1.2
6,0.16954288897104564,0.7428617596626281,0.13001872830719002,160,0.12488436109924073,1.5796761008341198,0.15967993997524513,0.12488436109924073,-0.0347955788760044,continuous_direct_verified,gamma_low,0.1671444228357233,0.7392119654533755,0.10834894025599169,0.0023984661353223247,0.0036497942092525992,1.2
7,0.08187078773044051,1.1786834649741649,0.013204077568612629,160,0.011664504026232573,0.14754560199639752,0.053796960674224896,0.011664504026232573,-0.042132456647992325,continuous_direct_verified,gamma_low,0.08174107019135637,1.1770751723572412,0.011003397973843856,0.00012971753908413985,0.0016082926169236345,1.2000000000000002
8,0.07010393580421806,0.5038916245102882,0.15998651953197396,160,0.07291969895530508,0.922369339970259,0.1468144727550682,0.07291969895530508,-0.07389477379976313,continuous_direct_verified,gamma_low,0.06885871810669852,0.5043157132211512,0.13332209960997832,0.001245217697519535,0.00042408871086296873,1.1999999999999997
9,0.1766679432243109,0.9676307119429112,0.016542965562122564,160,0.022116270466283276,0.27975115208707724,0.08559303219332805,0.022116270466283276,-0.06347676172704478,continuous_direct_verified,gamma_low,0.17633459311498603,0.9662897588049361,0.013785804635102135,0.00033335010932486475,0.0013409531379751094,1.2000000000000002
10,0.15715147629380227,0.6812689952552319,0.5037871469235119,160,0.14425234042060425,1.8246638141563238,0.19985060291780543,0.14425234042060425,-0.05559826249720118,continuous_direct_verified,a1_high,0.16215147629380228,0.6722185589334124,0.5635110007885918,0.0050000000000000044,0.009050436321819455,1.1185497768845374
11,0.0949676568619907,1.0456427454948425,0.04872362396022719,160,0.04350646978557874,0.550318149902905,0.05204249792327377,0.04350646978557874,-0.00853602813769503,continuous_direct_verified,gamma_low,0.09442685284593155,1.041243139412533,0.04060301996685599,0.000540804016059146,0.004399606082309493,1.2000000000000002
12,0.10851922789588572,0.7930505707859993,0.02008147864261391,160,0.01892124322781806,0.23933689904776517,0.11315733913651847,0.01892124322781806,-0.09423609590870041,continuous_direct_verified,gamma_low,0.10827887716097642,0.7920233111941382,0.01673456553551159,0.00024035073490930037,0.0010272595918611183,1.2000000000000002
13,0.14008540790528062,1.1292503573000432,0.20224317671781672,160,0.17855259841897514,2.258531572581364,0.24354017968072816,0.17855259841897514,-0.06498758126175302,continuous_direct_verified,gamma_low,0.13687242553323994,1.1153952958184088,0.16853598059818062,0.003212982372040679,0.013855061481634401,1.2
14,0.19490918684750796,0.42180104181170464,0.06179677729234557,160,0.052255499147333274,0.6609855902982392,0.5118654775865034,0.052255499147333274,-0.45960997843917006,continuous_direct_verified,gamma_low,0.1934876749566602,0.4219495298629079,0.051497314410287966,0.0014215118908477709,0.00014848805120326602,1.2000000000000002
15,0.057723194826394326,0.8574639976024627,0.613656365264753,160,0.11743172576529376,1.4854068919304317,0.14438952541369984,0.11743172576529376,-0.026957799648406083,continuous_direct_verified,gamma_high,0.0611708273501788,0.8359340497944712,0.7363876383177035,0.003447632523784473,0.021529947807991556,1.2
16,0.05272119157016278,0.4390532478690148,0.014173957737660135,160,0.006633521973320815,0.08390815337787391,0.04294790390181587,0.006633521973320815,-0.03631438192849505,continuous_direct_verified,gamma_low,0.052634936552486855,0.4389975806771729,0.011811631448050112,8.625501767592358e-05,5.56671918418572e-05,1.2
17,0.19928004732355475,0.8778044886887073,0.1394953137686598,160,0.15334719412556141,1.9397056249310665,0.2399504945547538,0.15334719412556141,-0.0866033004291924,continuous_direct_verified,gamma_low,0.19620994923479584,0.8715549166149368,0.11624609480721651,0.00307009808875891,0.006249572073770526,1.2
18,0.13449475867673755,0.7726623021066188,0.042623454627787855,160,0.042943731500068014,0.5432000110677369,0.13641712539467124,0.042943731500068014,-0.09347339389460323,continuous_direct_verified,gamma_low,0.13385820837661905,0.7707007221092946,0.03551954552315654,0.0006365503001184991,0.0019615799973241588,1.2000000000000002
19,0.11230571493506433,1.1120482176542281,0.43312962335050903,160,0.18832800804094696,2.38218181044759,0.2774745080447965,0.18832800804094696,-0.08914650000384955,continuous_direct_verified,a1_high,0.11730571493506434,1.1167264374351478,0.5061748865290633,0.0050000000000000044,0.004678219780919646,1.168645272086233
20,0.09054888319224119,0.6516511604189873,0.2359641056289227,160,0.12358453794561429,1.5632344939505898,0.190098602226915,0.12358453794561429,-0.0665140642813007,continuous_direct_verified,gamma_low,0.08831052445171424,0.6508098966720659,0.19663675469076894,0.002238358740526955,0.0008412637469213946,1.2
21,0.16210984000936152,1.0128631956875322,0.02302657658402748,160,0.029485853921260477,0.37296982858476085,0.12017010777475229,0.029485853921260477,-0.09068425385349181,continuous_direct_verified,gamma_low,0.16167640378721942,1.0108052062063844,0.019188813820022896,0.00043343622214209176,0.0020579894811478816,1.2000000000000002
22,0.17283781664446,0.5366211079061032,0.7012327623810976,160,0.09914454263702631,1.2540902892347188,0.21148834527812008,0.09914454263702631,-0.11234380264109377,continuous_direct_verified,a1_high,0.17783781664446,0.5228061616654417,0.7657957343170929,0.0050000000000000044,0.013814946240661485,1.0920706723923823
23,0.0756466718390584,0.9972963243722915,0.07186230164907534,160,0.05192703217415741,0.6568307752127306,0.09541611259309772,0.05192703217415741,-0.04348908041894031,continuous_direct_verified,gamma_low,0.07502211449603892,0.9918011767582775,0.05988525137422944,0.0006245573430194856,0.00549514761401404,1.2000000000000002
24,0.0874593006912619,0.7224846489727497,0.8785866579158811,160,0.09276743789184913,1.1734255857458085,0.17358949593372006,0.09276743789184913,-0.08082205804187093,continuous_direct_verified,m_low,0.0913716130902014,0.6924846489727496,1.0,0.0039123123989395076,0.030000000000000027,1.1381916524570572
25,0.1657585381995887,1.1614678785204888,0.08842301266200493,160,0.1070472635264495,1.3540526801273944,0.13902850171379674,0.1070472635264495,-0.031981238187347244,continuous_direct_verified,gamma_low,0.1640188084821898,1.152506488601996,0.0736858438850041,0.0017397297173988857,0.008961389918492824,1.2000000000000002
26,0.1504849660675973,0.48767940104007723,0.29003753246756736,160,0.15598677687601176,1.9730939991867262,0.1941393872059613,0.15598677687601176,-0.03815261032994954,continuous_direct_verified,a1_high,0.1554849660675973,0.481721663297501,0.34138667137152107,0.0050000000000000044,0.005957737742576241,1.177043082897196
27,0.09753210307098925,0.8268090151250362,0.028816081905474532,160,0.025227554125935556,0.31910612333253857,0.07266005161642311,0.025227554125935556,-0.04743249749048756,continuous_direct_verified,gamma_low,0.09721658406594491,0.8251662383621204,0.02401340158789544,0.00031551900504434016,0.0016427767629157985,1.2000000000000002
28,0.12411834155209364,0.5868354745209217,0.03402160742803717,160,0.02934198875082181,0.37115006212654283,0.05918949830761962,0.02934198875082181,-0.029847509556797807,continuous_direct_verified,gamma_low,0.12364988199576218,0.5861048398393528,0.028351339523364303,0.00046845955633145753,0.0007306346815688647,1.2000000000000002
29,0.12741547799669206,0.9478887781500817,0.3519826492480744,160,0.20653567197769857,2.6124925660917624,0.2515273611943731,0.20653567197769857,-0.04499168921667451,continuous_direct_verified,a1_high,0.13241547799669207,0.9514882191839129,0.4151565707213043,0.0050000000000000044,0.003599441033831252,1.1794802147440668
30,0.1876551756169647,0.6030127018690109,0.01153228186568194,160,0.01579635021732656,0.19980978161779084,0.2705061223978594,0.01579635021732656,-0.25470977218053287,continuous_direct_verified,gamma_high,0.18795417208543666,0.6034378558213117,0.01383873823881833,0.0002989964684719515,0.0004251539523008052,1.2000000000000002
31,0.059704413684085016,1.0638221465051174,0.111461632860155,160,0.06362873949807972,0.8048469658378036,0.0697708705269418,0.06362873949807972,-0.0061421310288620745,continuous_direct_verified,gamma_low,0.058935539203656996,1.0549958593670914,0.09288469405012915,0.0007688744804280195,0.008826287138026023,1.2000000000000002
32,0.06190462987869978,0.5643273644149304,0.541464449789435,160,0.1137522763014049,1.4388651285649348,0.16821756647183878,0.1137522763014049,-0.054465290170433875,continuous_direct_verified,gamma_low,0.058960989563773096,0.5791119174486143,0.45122037482452915,0.0029436403149266863,0.014784553033683978,1.2
33,0.18956453362479808,0.9001854419708252,0.05233538399434479,160,0.06597141214997652,0.8344796914065262,0.11953462461614066,0.06597141214997652,-0.053563212466164134,continuous_direct_verified,gamma_low,0.18844161920010333,0.8968155447062527,0.04361281999528732,0.0011229144246947542,0.0033698972645724856,1.2000000000000002
34,0.12544300006702544,0.6489617124199867,0.1718545940013881,160,0.12306815020209694,1.5567026482493511,0.21977390317398476,0.12306815020209694,-0.09670575297188783,continuous_direct_verified,gamma_low,0.12313236217442963,0.6470736032881338,0.14321216166782344,0.002310637892595807,0.0018881091318528886,1.2
35,0.12185078430920841,1.0849663771688938,0.017779206329477784,160,0.019913939520628424,0.2518936242881099,0.04971969460000371,0.019913939520628424,-0.029805755079375284,continuous_direct_verified,gamma_low,0.12159553162844439,1.0831272680903652,0.014816005274564819,0.00025525268076402596,0.001839109078528578,1.2000000000000002
36,0.10024826787412167,0.7263403050601482,0.057484593125984015,160,0.04645471957435286,0.5876108876774512,0.12104602530152055,0.04645471957435286,-0.07459130572716768,continuous_direct_verified,gamma_low,0.09961370424706356,0.7242327323386093,0.047903827604986675,0.0006345636270581045,0.0021075727215389417,1.2000000000000002
37,0.15290605267509821,1.190518933534622,0.5711062005445429,160,0.13925160480364696,1.7614089560526742,0.1673651157685234,0.13925160480364696,-0.028113510964876437,continuous_direct_verified,a1_high,0.15790605267509822,1.189510956440541,0.6292931438973994,0.0050000000000000044,0.0010079770940809585,1.1018846289838493
38,0.16327239824458958,0.46038280278444293,0.018690735931886016,160,0.018346120394509422,0.23206210669726657,0.5031139788874072,0.018346120394509422,-0.4847678584928977,continuous_direct_verified,gamma_low,0.16293447857725113,0.4603240752031612,0.015575613276571679,0.00033791966733845435,5.8727581281725616e-05,1.2000000000000002
39,0.08468230143189431,0.8243170119822025,0.18811451553302924,160,0.11232544299066932,1.420816956151642,0.1816576060953949,0.11232544299066932,-0.06933216310472559,continuous_direct_verified,gamma_low,0.08296582186588496,0.81880250101079,0.1567620962775244,0.0017164795660093574,0.005514510971412534,1.1999999999999997
40,0.07760294978506864,0.6995543539524078,0.026558856084735072,160,0.019094821069384864,0.24153250437051296,0.11648397665917652,0.019094821069384864,-0.09738915558979166,continuous_direct_verified,gamma_low,0.07737773902567846,0.6985911082160812,0.022132380070612558,0.0002252107593901792,0.0009632457363266678,1.2000000000000002
41,0.1750849527772516,1.0351805560290814,0.27216550897413744,160,0.2078164091941559,2.6286927528443593,0.3508399754305675,0.2078164091941559,-0.1430235662364116,continuous_direct_verified,a1_high,0.18008495277725162,1.0445529100658573,0.31507305920437684,0.0050000000000000044,0.009372354036775832,1.1576524166929494
42,0.15988920270465318,0.5152861215174198,0.08306874490840549,160,0.06991819187132624,0.8844029447762454,0.3329389609284536,0.06991819187132624,-0.26302076905712735,continuous_direct_verified,gamma_low,0.1584069381719831,0.514775531842336,0.06922395409033791,0.0014822645326700856,0.0005105896750837724,1.2
43,0.08862332520075143,0.9515471771359444,0.8106556138109376,160,0.11574129502325045,1.4640244464439303,0.1326973990776396,0.11574129502325045,-0.01695610405438916,continuous_direct_verified,m_low,0.09318283357080101,0.9215471771359444,0.9360885697252832,0.004559508370049578,0.030000000000000027,1.1547302624904776
44,0.11477143489755691,0.4098022699356079,0.12093537742783868,160,0.07105086188193448,0.8987302130598018,0.20832927545770116,0.07105086188193448,-0.1372784135757667,continuous_direct_verified,gamma_low,0.1131039734522065,0.4108089084800865,0.10077948118986559,0.0016674614453504044,0.0010066385444785775,1.1999999999999997
45,0.13725555683486165,0.8741395525634288,0.0122896017234731,160,0.014043602475848743,0.1776390815106473,0.09002780962879664,0.014043602475848743,-0.0759842071529479,continuous_direct_verified,gamma_low,0.13706850134462,0.8733497508639432,0.010241334769560914,0.00018705549024164436,0.000789801699485615,1.2000000000000002
46,0.1965476814191789,0.7753450192511082,0.37466874817260654,160,0.17278573464536298,2.185585874659252,0.26597107335449155,0.17278573464536298,-0.09318533870912857,continuous_direct_verified,a1_low,0.191529737603247,0.7756986017028632,0.3316978222965041,0.0050179438159318746,0.0003535824517549857,1.1295484111972578
47,0.050279684970155364,1.1391448989510535,0.036872334858102526,160,0.021346167869326093,0.27001003913349586,0.03739884378565619,0.021346167869326093,-0.016052675916330094,continuous_direct_verified,gamma_low,0.050058248553790714,1.1350884650177342,0.030726945715085434,0.00022143641636464956,0.004056433933319337,1.2000000000000002
48,0.05582399345003069,0.7581366807222366,0.31179461877202336,160,0.10533732939456936,1.3324235341049786,0.14759684909156748,0.10533732939456936,-0.04225951969699812,continuous_direct_verified,gamma_low,0.05406024811051001,0.7567508183809575,0.2598288489766862,0.0017637453395206795,0.0013858623412791315,1.1999999999999997
49,0.19271483574993908,1.1187506221234798,0.030963022887274764,160,0.0443823515620217,0.5613972754012816,0.150504466983141,0.0443823515620217,-0.1061221154211193,continuous_direct_verified,gamma_low,0.1920067421286412,1.1154376064288565,0.025802519072728965,0.000708093621297895,0.003313015694623278,1.2000000000000002
50,0.14221234587021175,0.43014895990490915,0.943960688740367,160,0.08598991324375398,1.087695926602161,0.23682162992972192,0.08598991324375398,-0.15083171668596795,continuous_direct_verified,a1_low,0.13721234587021175,0.4501252686414676,0.8506936553802765,0.0050000000000000044,0.01997630873655848,1.1096364511128254
51,0.11035537808202209,0.8913977667689323,0.095064179384701,160,0.08214280573830292,1.039033438119145,0.16182383588925545,0.08214280573830292,-0.07968103015095253,continuous_direct_verified,gamma_low,0.10917982080054923,0.8861710031239864,0.07922014948725083,0.0011755572814728527,0.005226763644945898,1.2000000000000002
52,0.09240823979489507,0.5449577420949936,0.010729820080377142,160,0.00960408462391143,0.12148312901024699,0.05601551024092117,0.00960408462391143,-0.04641142561700974,continuous_direct_verified,gamma_high,0.09254471013287367,0.5452340126280419,0.012875784096452571,0.00013647033797860308,0.0002762705330483506,1.2000000000000002
53,0.15430127256549897,0.9842828594148159,0.10376947442777083,160,0.11125869172546882,1.4073235013720422,0.16081531906376068,0.11125869172546882,-0.04955662733829186,continuous_direct_verified,gamma_low,0.15247905475358273,0.9772484226073813,0.08647456202314235,0.0018222178119162435,0.007034436807434541,1.2000000000000002
54,0.17945738793350757,0.6667687959969044,0.03167211746503242,160,0.03502014835726388,0.44297373122383177,0.09131000600640918,0.03502014835726388,-0.0562898576491453,continuous_direct_verified,gamma_low,0.17882927213604258,0.665737408830866,0.02639343122086035,0.0006281157974649954,0.0010313871660384555,1.2000000000000002
55,0.07259822967462243,1.0055565223097802,0.3275082693121647,160,0.14047550483316776,1.7768902029392064,0.15977654565440516,0.14047550483316776,-0.019301040821237403,continuous_direct_verified,gamma_low,0.07011984494198273,0.9966510478840185,0.27292355776013727,0.002478384732639699,0.008905474425761728,1.2
