state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,rms_g_relative,rms_g_gap_percent,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0,1,0.05,0.05,0.01,1.0,0.002,0.04546274410676249,4.546274410676249,0.0027795135974884033,0.0007132301352362946,0.007132301352362947,0.045462744106762494,0.01568823328308955,3.13764665661791e-05,227.31372053381244,22.731372053381243
0,2,0.05,0.07500000000000001,0.01,0.01,0.002,0.05916692522572959,5.916692522572959,0.003642994910478592,0.0009779843368913222,0.009779843368913221,0.05916692522572958,0.01652924050320654,3.305848100641308e-05,295.83462612864787,29.583462612864793
0,3,0.05,0.07500000000000001,0.01,1.0,0.002,0.006133278556482873,0.6133278556482874,0.0005262754857540131,9.812164757269638e-05,0.0009812164757269637,0.006133278556482873,0.015998237593331195,3.199647518666239e-05,30.666392782414363,3.066639278241437
0,4,0.05,0.1,0.01,0.01,0.002,0.11494461310686198,11.494461310686198,0.007285986095666885,0.0019559686818383546,0.019559686818383545,0.11494461310686199,0.017016618952120227,3.4033237904240454e-05,574.7230655343099,57.47230655343099
0,5,0.05,0.1,0.01,1.0,0.002,0.032651790746272356,3.2651790746272353,0.0017269626259803772,0.0005324953573381821,0.005324953573381821,0.032651790746272356,0.016308304848455323,3.261660969691065e-05,163.25895373136174,16.325895373136174
0,6,0.05,0.125,0.01,0.01,0.002,0.16761456405779804,16.761456405779803,0.010928977280855179,0.00293395271684851,0.029339527168485098,0.16761456405779804,0.017504163396187957,3.5008326792375916e-05,838.0728202889901,83.80728202889901
0,7,0.05,0.125,0.01,1.0,0.002,0.06940841385421774,6.940841385421774,0.003980197012424469,0.0011534587342359795,0.011534587342359794,0.06940841385421774,0.016618428086523508,3.3236856173047015e-05,347.0420692710887,34.70420692710887
0,8,0.05,0.15000000000000002,0.01,0.01,0.002,0.2174282927123549,21.74282927123549,0.01457197591662407,0.0039119371895186385,0.03911937189518639,0.21742829271235492,0.017991849821926836,3.598369964385367e-05,1087.1414635617746,108.71414635617745
0,9,0.05,0.15000000000000002,0.01,1.0,0.002,0.1048479828018094,10.48479828018094,0.006233435124158859,0.0017749297341526733,0.017749297341526735,0.10484798280180942,0.01692860164518151,3.385720329036302e-05,524.239914009047,52.4239914009047
0,10,0.05,0.17500000000000004,0.01,0.01,0.002,0.26461103707435124,26.461103707435125,0.018214967101812363,0.004889921498954968,0.04889921498954968,0.26461103707435124,0.01847965811638077,3.695931623276154e-05,1323.0551853717564,132.30551853717563
