design_id,q2_points,q2_min,q2_max,extends_below_original_q2_min,extends_above_original_q2_max,uses_nonuniform_spacing,median_abs_q2_spacing,jac_sigma_min_l2_p10,jac_sigma_min_l2_median,jac_condition_median,jac_condition_p90,abs_cos_a1_m_median,abs_cos_a1_loggamma_median,abs_cos_m_loggamma_median,grid_alias_rms_snr_p10,grid_alias_rms_snr_median,grid_alias_mahalanobis_p10,grid_alias_mahalanobis_median,coarse_rank,sigma_min_p10_gain_vs_baseline,alias_mah_p10_gain_vs_baseline
hybrid_near_200,199,-150.0,-0.2,1,1,1,0.12491780169029609,0.22548423062882356,1.0363074274185498,167.33918248209642,663.5695235904016,0.9655355738362112,0.9971157237847792,0.9468734935368053,0.049451011190393,0.14758536956384194,0.6975923587903773,2.081947842898536,1,45.9238029724042,31.39213056769633
near_focus_geom_160,160,-30.0,-0.2,0,1,1,0.07719501653641503,0.20263080397000136,0.9318203033141396,166.92361338926307,661.8207149021772,0.9654768006426262,0.9971142933720181,0.9468204691820463,0.049543245264325686,0.14795153634092828,0.6266779908464799,1.8714553526340305,2,41.26930336417358,28.200935782419972
near_extend_linear_160,160,-100.0,-0.5,0,1,0,0.6257861635220081,0.1634513816589379,0.7724515902390021,147.4968036729585,606.5691196489684,0.8827973519430415,0.9974083084779766,0.8852030339498298,0.049345538119430356,0.14304052423511704,0.6241771712962473,1.8093354171499372,3,33.28972951207692,28.088397201889535
hybrid_near_160,159,-100.0,-0.5,0,1,1,0.1724373403327757,0.10800232661899463,0.5065229120523711,259.5826004117455,1050.379768073114,0.9588893540731764,0.9989820838779506,0.954391075470699,0.0336729509422012,0.09250476914093453,0.4245997555342988,1.1664407562739727,4,21.996560710165845,19.107277762986463
near_extend_linear_140,140,-100.0,-1.0,0,1,0,0.7122302158273328,0.07852792259277143,0.3756015027104447,254.49838857994138,1036.3867481898221,0.8816476988231597,0.9985800534463152,0.8946013957249055,0.02443240968384376,0.08025962329234698,0.28908816996599074,0.9496446695180902,5,15.993583386853711,13.009164253010097
mid_extend_linear_120,120,-100.0,-2.0,0,1,0,0.8235294117647101,0.031153131498717512,0.14638519350362655,520.4749864526417,2167.850115406414,0.8825083361253725,0.9987868425496167,0.899359229986162,0.0096043178888774,0.032081851612612955,0.10521003114377095,0.3514390762952321,6,6.344879501908814,4.734522953238251
current_dense_160,160,-100.0,-6.0,0,0,0,0.5911949685534594,0.0059889708765347195,0.02752472460000855,2696.061732363814,10982.561712043223,0.89720470352468,0.9995287283494726,0.9099886188638417,0.0021780258390037797,0.005188961294969374,0.02755008981580458,0.06563574553024015,7,1.2197585515157066,1.2397727781152243
wide_far_linear_120,120,-180.0,-6.0,1,0,0,1.4621848739495817,0.0059592478926046985,0.02744609432523535,2348.6415093669357,9570.559525904077,0.8872437068864836,0.9994498965680774,0.9018534954771682,0.002444623158215958,0.005855606382524374,0.02677950496708802,0.06414495407159648,8,1.2137049465520797,1.205095935859749
baseline_linear_100,100,-100.0,-6.0,0,0,0,0.9494949494949481,0.004909964245868705,0.022568693450332748,2606.6745149444932,10620.872382344958,0.8968842539958519,0.9995141111594132,0.910038559188801,0.002222188638283206,0.005354811357105754,0.022221886382832064,0.05354811357105754,9,1.0,1.0
