selection_order,candidate_local_index,maximin_rms_snr_at_selection,alias_score
0,3400,inf,8.737868309020996
1,5331,175.29864268567374,0.8874795436859131
2,2854,88.3182462893139,0.86440110206604
3,4929,44.24889737981764,0.2873857915401459
4,3767,44.22451027977988,0.46511974930763245
5,2246,22.151540916206955,0.20703202486038208
6,3426,22.137443856547222,0.27423515915870667
7,6413,22.127678585260124,0.2195386439561844
8,3732,22.04604097864678,0.3102574050426483
9,1035,11.126277930686491,0.9159496426582336
10,1256,11.097978458361,0.21227648854255676
11,3281,11.083746031785237,0.7125462889671326
12,1245,11.082976302753611,0.31459522247314453
13,1267,11.066905706894243,0.5201219916343689
14,6673,11.04337036845424,0.20077325403690338
15,1713,11.001715877068195,0.6700945496559143
16,3505,9.413458301121558,0.2129838913679123
17,4497,5.7465321291027704,1.029470682144165
18,3064,5.6623997316277865,0.9373888969421387
19,5191,5.600987474597641,0.9037281274795532
20,2064,5.597854751727554,1.0015144348144531
21,4104,5.595702589273639,1.0516307353973389
22,5832,5.587828094468883,0.2160600870847702
23,403,5.555461213915939,3.5242905616760254
24,4066,5.554741790102507,0.8448745608329773
25,6169,5.546459675099255,0.3176388442516327
26,2911,5.5436107981923115,0.3290198743343353
27,6253,5.543531097905104,0.22376097738742828
28,1783,5.537813581981644,0.3793262839317322
29,3098,5.530179759466942,0.467631459236145
30,4444,5.389150911036596,0.2346327006816864
31,4529,4.681200175934991,0.2223096489906311
32,6772,3.1948538951499925,0.20851737260818481
33,4373,3.1692523029666506,0.22287237644195557
34,733,3.1350428762444813,0.24982424080371857
35,4871,3.0260426787482024,0.25609278678894043
36,2334,3.017889401353385,0.2738664746284485
37,6723,3.0088840243411115,0.23475489020347595
38,2083,2.9642141166581064,0.21530991792678833
39,1978,2.9457386872206426,1.0122992992401123
40,4970,2.943676678807282,0.8280764222145081
41,5763,2.936117355717955,0.9829038977622986
42,5325,2.9302998066924673,0.236110121011734
43,4764,2.9066301054886226,0.7500301003456116
44,1953,2.866807264629889,0.23546035587787628
45,712,2.8534038931218677,0.20086658000946045
46,4107,2.8383751770120726,0.28439363837242126
47,2294,2.833730661390295,0.8627009391784668
48,2726,2.80810851733929,0.5189570188522339
49,6332,2.8016112928087513,0.7362090945243835
50,3222,2.78941230879841,0.4334658086299896
51,4968,2.7884783323773057,0.314620703458786
52,3739,2.7870694200600554,0.5894159078598022
53,5638,2.786089964900858,7.908329486846924
54,4954,2.775112611283911,2.766458749771118
55,5815,2.7693244313516026,0.39217662811279297
56,6451,2.7648864358328518,0.28568658232688904
57,3661,2.7615185849976416,0.36852335929870605
58,201,2.735955729057184,0.3424934148788452
59,2491,2.703720751339966,0.47122082114219666
60,2487,2.373469648967707,1.0388299226760864
61,375,2.3684778589250937,1.0220974683761597
62,2112,2.3336178659304694,0.24828508496284485
63,3255,2.2900027850948077,0.33181244134902954
64,4199,2.2240983894494106,1.0449442863464355
65,3452,2.106901321450592,0.22346867620944977
66,3043,2.0804230611084997,1.024773120880127
67,300,2.0176363913246154,0.2253749817609787
68,6761,2.0114997511055126,0.22451534867286682
69,1246,1.956764935685667,1.033860445022583
70,5834,1.9227765823084861,1.0597506761550903
71,5045,1.8898414474906446,1.0182873010635376
72,5437,1.8388488275871586,1.0260894298553467
73,6424,1.82787814475873,0.23041437566280365
74,4851,1.825997652882626,1.0588651895523071
75,2158,1.7997021147691497,0.9352712035179138
76,3443,1.7923113893215177,1.071930170059204
77,351,1.7529310393025737,1.055625081062317
78,6508,1.7452784474054617,1.0484808683395386
79,1497,1.744509633758588,0.9705895781517029
80,6043,1.741617290549736,0.23384632170200348
81,227,1.741267379149173,1.048377513885498
82,3899,1.737904237284238,0.20915669202804565
83,1018,1.7368450963677775,0.9995660185813904
84,4846,1.6869059019089463,0.23477372527122498
85,5936,1.6712056112370137,0.20554061233997345
86,4258,1.6477667684438508,0.22378939390182495
87,1177,1.6440752742681883,0.7972727417945862
