state,nearest_state,a1,nearest_a1,gamma,nearest_gamma,relative_l2_difference,snr_sep,snr_sep_rms
0,1,0.05,0.05,0.01,0.03162277660168379,0.0013102718578521559,6.55135928926078,0.655135928926078
1,0,0.05,0.05,0.03162277660168379,0.01,0.0013102718578521559,6.55135928926078,0.655135928926078
2,1,0.05,0.05,0.1,0.03162277660168379,0.0041331818241355945,20.665909120677977,2.066590912067798
3,9,0.05,0.065,0.31622776601683794,1.0,0.0037836734113607757,18.918367056803877,1.8918367056803878
4,9,0.05,0.065,1.0,1.0,0.024033713529066424,120.16856764533215,12.016856764533214
5,6,0.065,0.065,0.01,0.03162277660168379,0.001643748321404516,8.21874160702258,0.8218741607022578
6,5,0.065,0.065,0.03162277660168379,0.01,0.001643748321404516,8.21874160702258,0.8218741607022578
7,19,0.065,0.09500000000000001,0.1,1.0,0.0048366761810371365,24.183380905185683,2.4183380905185685
8,14,0.065,0.08000000000000002,0.31622776601683794,1.0,0.011480777455078146,57.40388727539074,5.740388727539074
9,3,0.065,0.05,1.0,0.31622776601683794,0.0037836734113607757,18.918367056803877,1.8918367056803878
10,11,0.08000000000000002,0.08000000000000002,0.01,0.03162277660168379,0.0019546479206105655,9.773239603052826,0.9773239603052826
11,10,0.08000000000000002,0.08000000000000002,0.03162277660168379,0.01,0.0019546479206105655,9.773239603052826,0.9773239603052826
12,11,0.08000000000000002,0.08000000000000002,0.1,0.03162277660168379,0.0061740085630353795,30.870042815176895,3.08700428151769
13,24,0.08000000000000002,0.11000000000000001,0.31622776601683794,1.0,0.00427979908558183,21.39899542790915,2.139899542790915
14,0,0.08000000000000002,0.05,1.0,0.01,0.0031584663966647566,15.792331983323784,1.5792331983323784
15,16,0.09500000000000001,0.09500000000000001,0.01,0.03162277660168379,0.00224519288336572,11.225964416828598,1.1225964416828598
16,23,0.09500000000000001,0.11000000000000001,0.03162277660168379,0.31622776601683794,0.0010599451697236146,5.299725848618074,0.5299725848618074
17,34,0.09500000000000001,0.14,0.1,1.0,0.005329141866237509,26.645709331187547,2.664570933118755
18,10,0.09500000000000001,0.08000000000000002,0.31622776601683794,0.01,0.002850684908587885,14.253424542939426,1.4253424542939428
19,7,0.09500000000000001,0.065,1.0,0.1,0.0048366761810371365,24.183380905185683,2.4183380905185685
20,21,0.11000000000000001,0.11000000000000001,0.01,0.03162277660168379,0.002517295063131023,12.586475315655115,1.2586475315655115
21,20,0.11000000000000001,0.11000000000000001,0.03162277660168379,0.01,0.002517295063131023,12.586475315655115,1.2586475315655115
22,28,0.11000000000000001,0.125,0.1,0.31622776601683794,0.0037761113080339026,18.88055654016951,1.8880556540169513
23,16,0.11000000000000001,0.09500000000000001,0.31622776601683794,0.03162277660168379,0.0010599451697236146,5.299725848618074,0.5299725848618074
24,13,0.11000000000000001,0.08000000000000002,1.0,0.31622776601683794,0.00427979908558183,21.39899542790915,2.139899542790915
25,26,0.125,0.125,0.01,0.03162277660168379,0.0027726553035574576,13.863276517787288,1.3863276517787286
26,25,0.125,0.125,0.03162277660168379,0.01,0.0027726553035574576,13.863276517787288,1.3863276517787286
27,33,0.125,0.14,0.1,0.31622776601683794,0.0010784993526610203,5.3924967633051,0.53924967633051
28,22,0.125,0.11000000000000001,0.31622776601683794,0.1,0.0037761113080339026,18.88055654016951,1.8880556540169513
29,11,0.125,0.08000000000000002,1.0,0.03162277660168379,0.0035078464779121294,17.539232389560645,1.7539232389560644
30,31,0.14,0.14,0.01,0.03162277660168379,0.0030127935484182567,15.063967742091288,1.5063967742091287
31,30,0.14,0.14,0.03162277660168379,0.01,0.0030127935484182567,15.063967742091288,1.5063967742091287
32,38,0.14,0.15500000000000003,0.1,0.31622776601683794,0.002895095567930692,14.47547783965346,1.4475477839653461
33,27,0.14,0.125,0.31622776601683794,0.1,0.0010784993526610203,5.3924967633051,0.53924967633051
34,17,0.14,0.09500000000000001,1.0,0.1,0.005329141866237509,26.645709331187547,2.664570933118755
35,36,0.15500000000000003,0.15500000000000003,0.01,0.03162277660168379,0.003239014042428351,16.19507021214175,1.6195070212141751
36,35,0.15500000000000003,0.15500000000000003,0.03162277660168379,0.01,0.003239014042428351,16.19507021214175,1.6195070212141751
37,43,0.15500000000000003,0.17000000000000004,0.1,0.31622776601683794,0.005723229565967803,28.61614782983901,2.861614782983901
38,32,0.15500000000000003,0.14,0.31622776601683794,0.1,0.002895095567930692,14.47547783965346,1.4475477839653461
39,15,0.15500000000000003,0.09500000000000001,1.0,0.01,0.008748800931169745,43.74400465584873,4.3744004655848725
40,53,0.17000000000000004,0.2,0.01,0.31622776601683794,0.0024362413317863645,12.181206658931822,1.2181206658931822
41,40,0.17000000000000004,0.17000000000000004,0.03162277660168379,0.01,0.0034524870613831075,17.262435306915535,1.7262435306915536
42,48,0.17000000000000004,0.18500000000000005,0.1,0.31622776601683794,0.008462242493064894,42.31121246532447,4.231121246532448
43,37,0.17000000000000004,0.15500000000000003,0.31622776601683794,0.1,0.005723229565967803,28.61614782983901,2.861614782983901
44,28,0.17000000000000004,0.125,1.0,0.31622776601683794,0.004171936398241942,20.859681991209712,2.085968199120971
45,46,0.18500000000000005,0.18500000000000005,0.01,0.03162277660168379,0.003654264211106191,18.271321055530954,1.8271321055530956
