state_1,state_2,a1_1,a1_2,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0,1,0.05,0.05,0.01,0.03162277660168379,0.002,8.138269186019897e-05,2.1005793181333117e-05,0.00021005793181333118,0.0013102718578521559,0.01603162966177611,3.206325932355222e-05,6.55135928926078,0.655135928926078
0,2,0.05,0.05,0.01,0.1,0.002,0.0003377273678779602,8.70887382009619e-05,0.000870887382009619,0.005443445811263267,0.015998825233230547,3.1997650466461095e-05,27.21722905631634,2.721722905631634
0,3,0.05,0.05,0.01,0.31622776601683794,0.002,0.0011068210005760193,0.00028477719535397226,0.0028477719535397227,0.01790970130979827,0.015900722766279345,3.180144553255869e-05,89.54850654899133,8.954850654899131
0,4,0.05,0.05,0.01,1.0,0.002,0.0027795135974884033,0.0007132301352362946,0.007132301352362947,0.045462744106762494,0.01568823328308955,3.13764665661791e-05,227.31372053381244,22.731372053381243
0,5,0.05,0.065,0.01,0.01,0.002,0.0021857954561710358,0.0005867905974339724,0.005867905974339724,0.03592373605376263,0.01633434218968192,3.266868437936384e-05,179.61868026881314,17.961868026881316
0,6,0.05,0.065,0.01,0.03162277660168379,0.002,0.0020799972116947174,0.0005594958759151249,0.0055949587591512485,0.034281197798977696,0.01632077966458365,3.26415593291673e-05,171.40598899488845,17.140598899488843
0,7,0.05,0.065,0.01,0.1,0.002,0.0017467513680458069,0.00047364087099059237,0.004736408709905923,0.02909678234314887,0.01627811850137842,3.255623700275684e-05,145.48391171574428,14.548391171574428
0,8,0.05,0.065,0.01,0.31622776601683794,0.002,0.0007469281554222107,0.00021709163230513543,0.0021709163230513545,0.013441755416637134,0.016150541769004125,3.230108353800825e-05,67.20877708318565,6.720877708318565
0,9,0.05,0.065,0.01,1.0,0.002,0.0014275722205638885,0.00034131588663595836,0.0034131588663595834,0.021501259126997053,0.01587422785893506,3.174845571787012e-05,107.50629563498526,10.750629563498528
0,10,0.05,0.08000000000000002,0.01,0.01,0.002,0.0043715909123420715,0.0011735811384161322,0.011735811384161321,0.07058412261156764,0.016626701515785366,3.325340303157073e-05,352.9206130578383,35.29206130578383
0,11,0.05,0.08000000000000002,0.01,0.03162277660168379,0.002,0.004241377115249634,0.001139987325988425,0.01139987325988425,0.06863257544620653,0.016610003610922845,3.322000722184569e-05,343.1628772310326,34.31628772310326
0,12,0.05,0.08000000000000002,0.01,0.1,0.002,0.003831230103969574,0.0010343133110112372,0.010343133110112373,0.062468037696309965,0.016557480419660035,3.311496083932007e-05,312.3401884815499,31.23401884815498
0,13,0.05,0.08000000000000002,0.01,0.31622776601683794,0.002,0.0026006773114204407,0.000718317722760281,0.00718317722760281,0.043798756404964126,0.016400413658294356,3.2800827316588715e-05,218.99378202482058,21.89937820248206
0,14,0.05,0.08000000000000002,0.01,1.0,0.002,7.928349077701569e-05,5.0725747899891554e-05,0.0005072574789989155,0.0031584663966647566,0.016060246185761667,3.212049237152333e-05,15.792331983323784,1.5792331983323784
0,15,0.05,0.09500000000000001,0.01,0.01,0.002,0.006557390093803406,0.001760371762568825,0.01760371762568825,0.10404623995019256,0.016919129066187526,3.383825813237505e-05,520.2311997509629,52.02311997509629
0,16,0.05,0.09500000000000001,0.01,0.03162277660168379,0.002,0.00640275701880455,0.001720478895461461,0.01720478895461461,0.10180773643712245,0.01689929425475487,3.379858850950974e-05,509.0386821856122,50.903868218561215
0,17,0.05,0.09500000000000001,0.01,0.1,0.002,0.005915708839893341,0.0015949886203164342,0.015949886203164343,0.09473170369937586,0.016836904204510186,3.367380840902037e-05,473.65851849687925,47.36585184968792
