a1_count,gamma_count,state_count,a1_step,gamma_ratio,target_snr,feasible,min_snr,median_nearest_snr,p90_nearest_snr,min_snr_rms,median_nearest_snr_rms,min_relative_l2,median_nearest_relative_l2
3,3,9,0.07500000000000001,10.0,5.0,1,27.21722905631634,57.72662080699625,229.49582528741564,2.721722905631634,5.772662080699625,0.005443445811263267,0.01154532416139925
3,4,12,0.07500000000000001,4.641588833612778,5.0,1,11.033259117808207,32.87986165197176,164.36424660640287,1.103325911780821,3.287986165197176,0.0022066518235616416,0.006575972330394352
3,5,15,0.07500000000000001,3.1622776601683795,5.0,1,6.55135928926078,33.352553842649826,167.2655452217852,0.655135928926078,3.3352553842649826,0.0013102718578521559,0.006670510768529965
3,6,18,0.07500000000000001,2.51188643150958,5.0,0,4.580540143663094,30.972253018888072,160.20356239038665,0.4580540143663093,3.097225301888807,0.0009161080287326187,0.006194450603777614
3,7,21,0.07500000000000001,2.154434690031884,5.0,0,3.4974144296162697,33.352553842649826,142.7197261501408,0.34974144296162696,3.3352553842649826,0.0006994828859232539,0.006670510768529965
3,8,24,0.07500000000000001,1.93069772888325,5.0,0,2.819469640011998,26.604768195959664,130.22889118686754,0.2819469640011998,2.660476819595967,0.0005638939280023996,0.0053209536391919336
3,9,27,0.07500000000000001,1.7782794100389228,5.0,0,2.3576898518837703,23.154799154429863,123.26500234382219,0.23576898518837705,2.315479915442986,0.00047153797037675417,0.0046309598308859725
3,10,30,0.07500000000000001,1.6681005372000588,5.0,0,2.0238092301157122,22.634094198700243,120.6155981582654,0.20238092301157123,2.2634094198700243,0.0004047618460231425,0.0045268188397400485
3,11,33,0.07500000000000001,1.5848931924611136,5.0,0,1.7718179421474567,20.764142487582408,110.15723825376192,0.17718179421474567,2.076414248758241,0.0003543635884294914,0.004152828497516482
4,3,12,0.05000000000000001,10.0,5.0,1,18.894485866993193,65.93749023992294,165.0842725561554,1.8894485866993196,6.593749023992294,0.0037788971733986394,0.01318749804798459
4,4,16,0.05000000000000001,4.641588833612778,5.0,1,11.033259117808207,34.66095369157561,156.3648776304293,1.103325911780821,3.4660953691575607,0.0022066518235616416,0.006932190738315121
4,5,20,0.05000000000000001,3.1622776601683795,5.0,1,6.55135928926078,19.946092106280815,140.340453088325,0.655135928926078,1.9946092106280817,0.0013102718578521559,0.003989218421256163
4,6,24,0.05000000000000001,2.51188643150958,5.0,0,4.580540143663094,29.040447469218226,118.78775942256657,0.4580540143663093,2.9040447469218225,0.0009161080287326187,0.0058080894938436455
4,7,28,0.05000000000000001,2.154434690031884,5.0,0,3.4974144296162697,20.522030595108347,100.47965341195359,0.34974144296162696,2.052203059510835,0.0006994828859232539,0.00410440611902167
4,8,32,0.05000000000000001,1.93069772888325,5.0,0,2.819469640011998,25.678660012887875,109.80474719566652,0.2819469640011998,2.5678660012887873,0.0005638939280023996,0.005135732002577574
4,9,36,0.05000000000000001,1.7782794100389228,5.0,0,2.3576898518837703,19.983119581750515,93.56850473887754,0.23576898518837705,1.9983119581750515,0.00047153797037675417,0.003996623916350103
4,10,40,0.05000000000000001,1.6681005372000588,5.0,0,2.0238092301157122,19.686368859651516,78.5280362806831,0.20238092301157123,1.9686368859651515,0.0004047618460231425,0.0039372737719303025
4,11,44,0.05000000000000001,1.5848931924611136,5.0,0,1.7718179421474567,18.693541407845863,77.82746866118815,0.17718179421474567,1.8693541407845864,0.0003543635884294914,0.003738708281569173
5,3,15,0.037500000000000006,10.0,5.0,1,27.21722905631634,57.72662080699625,135.5799891514984,2.721722905631634,5.772662080699625,0.005443445811263267,0.01154532416139925
5,4,20,0.037500000000000006,4.641588833612778,5.0,1,11.033259117808207,30.306331101165366,131.75364175830967,1.103325911780821,3.0306331101165367,0.0022066518235616416,0.006061266220233074
5,5,25,0.037500000000000006,3.1622776601683795,5.0,1,6.55135928926078,33.352553842649826,75.81396356803761,0.655135928926078,3.3352553842649826,0.0013102718578521559,0.006670510768529965
5,6,30,0.037500000000000006,2.51188643150958,5.0,0,4.580540143663094,21.403587797437353,74.77483707305119,0.4580540143663093,2.1403587797437353,0.0009161080287326187,0.004280717559487471
5,7,35,0.037500000000000006,2.154434690031884,5.0,0,3.4974144296162697,16.370081476566945,82.07615133310232,0.34974144296162696,1.6370081476566947,0.0006994828859232539,0.003274016295313389
5,8,40,0.037500000000000006,1.93069772888325,5.0,0,2.819469640011998,21.19116173331265,73.8525597776127,0.2819469640011998,2.119116173331265,0.0005638939280023996,0.00423823234666253
5,9,45,0.037500000000000006,1.7782794100389228,5.0,0,2.3576898518837703,19.08556447801588,74.15117111641567,0.23576898518837705,1.908556447801588,0.00047153797037675417,0.003817112895603176
5,10,50,0.037500000000000006,1.6681005372000588,5.0,0,2.0238092301157122,16.370081476566945,64.85651510301655,0.20238092301157123,1.6370081476566947,0.0004047618460231425,0.003274016295313389
5,11,55,0.037500000000000006,1.5848931924611136,5.0,0,1.7718179421474567,16.157842440504464,60.790072313372974,0.17718179421474567,1.6157842440504466,0.0003543635884294914,0.0032315684881008924
