true_gamma,regime,pred_gamma,gamma_factor_error,g_profile_relative_l2,f_relative_l2,true_a1,pred_a1
0.009999999776482582,oracle_nuisance,0.007717915344983339,1.2956866368044062,0.0019769826903939247,0.17572201788425446,0.10406315326690674,0.10633120685815811
0.009999999776482582,oracle_nuisance,0.010592537000775337,1.0592537237536994,0.002041314961388707,0.038349684327840805,0.13568663597106934,0.12342305481433868
0.009999999776482582,oracle_nuisance,0.009440608322620392,1.0592537508967348,0.0020417713094502687,0.04047127440571785,0.18558354675769806,0.13407942652702332
0.009999999776482582,oracle_nuisance,0.015399265103042126,1.5399265447242532,0.0020344143267720938,0.17168334126472473,0.09205637872219086,0.10991499572992325
0.009999999776482582,oracle_nuisance,0.005011872388422489,1.9952622496100962,0.002054627053439617,0.4600127339363098,0.1680130660533905,0.14084385335445404
0.009999999776482582,oracle_nuisance,0.018302060663700104,1.8302061072783047,0.0022200574167072773,0.21289114654064178,0.061951227486133575,0.10198277235031128
0.009999999776482582,oracle_nuisance,0.01412537507712841,1.4125375392855153,0.0019317343831062317,0.09228996187448502,0.0670744851231575,0.0975089892745018
0.009999999776482582,oracle_nuisance,0.007498942315578461,1.3335213628338456,0.0018481581937521696,0.18283729255199432,0.12637871503829956,0.1508786976337433
0.009999999776482582,oracle_nuisance,0.007079457864165306,1.4125375089949235,0.001792767085134983,0.2233060598373413,0.0966591164469719,0.14447373151779175
0.009999999776482582,oracle_nuisance,0.009172759018838406,1.0901845078394892,0.0021394032519310713,0.04711434245109558,0.17743825912475586,0.14541155099868774
0.009999999776482582,oracle_nuisance,0.0057876198552548885,1.7278259503175644,0.001839309697970748,0.3078852593898773,0.07374344021081924,0.11213871091604233
0.009999999776482582,oracle_nuisance,0.009716279804706573,1.0292004735844036,0.001969488337635994,0.025395795702934265,0.18587665259838104,0.17979417741298676
0.009999999776482582,oracle_nuisance,0.010901845060288906,1.0901845303964137,0.0020833532325923443,0.04909288510680199,0.14370566606521606,0.1495853066444397
0.009999999776482582,oracle_nuisance,0.01295686699450016,1.2956867284108713,0.0016702224966138601,0.00017095071962103248,0.12672565877437592,0.10186398029327393
0.009999999776482582,oracle_nuisance,0.008912509307265282,1.1220184385480307,0.0018694017780944705,0.00021479987481143326,0.1924206167459488,0.1019308790564537
0.009999999776482582,oracle_nuisance,0.010592537000775337,1.0592537237536994,0.001953877741470933,0.036723945289850235,0.08678684383630753,0.11579304188489914
0.009999999776482582,oracle_nuisance,0.009172759018838406,1.0901845078394892,0.001966173527762294,0.06871241331100464,0.18568632006645203,0.16076336801052094
0.009999999776482582,oracle_nuisance,0.007943281903862953,1.2589254539259662,0.002024733927100897,0.1329505741596222,0.05706578865647316,0.11430652439594269
0.009999999776482582,oracle_nuisance,0.011547819711267948,1.1547819969381838,0.0020720416214317083,0.09190235286951065,0.10349796712398529,0.10186268389225006
0.009999999776482582,oracle_nuisance,0.009716279804706573,1.0292004735844036,0.0019530903082340956,0.013468345627188683,0.11400154232978821,0.1061900183558464
0.009999999776482582,oracle_nuisance,0.009172759018838406,1.0901845078394892,0.0022097984328866005,0.06116641312837601,0.1460002213716507,0.12271542847156525
0.009999999776482582,oracle_nuisance,0.008413951843976974,1.1885021404824132,0.0020243690814822912,0.11153506487607956,0.19180461764335632,0.1623944193124771
0.009999999776482582,oracle_nuisance,0.009716279804706573,1.0292004735844036,0.0019123766105622053,0.018259471282362938,0.15868183970451355,0.17318570613861084
0.009999999776482582,oracle_nuisance,0.010292005725204945,1.0292005955249204,0.0020042802207171917,0.01921660825610161,0.15264847874641418,0.1425812691450119
0.009999999776482582,oracle_nuisance,0.009440608322620392,1.0592537508967348,0.002346906578168273,0.04474160820245743,0.12759196758270264,0.15278199315071106
0.009999999776482582,oracle_nuisance,0.008912509307265282,1.1220184385480307,0.001908256090246141,0.06436458975076675,0.0729161873459816,0.12434589862823486
0.009999999776482582,oracle_nuisance,0.009172759018838406,1.0901845078394892,0.0019985800608992577,0.058330193161964417,0.18197143077850342,0.13499750196933746
0.009999999776482582,oracle_nuisance,0.011547819711267948,1.1547819969381838,0.001898312009871006,0.00015059008728712797,0.17131732404232025,0.1096130833029747
0.009999999776482582,oracle_nuisance,0.007717915344983339,1.2956866368044062,0.0020101135596632957,0.1763032078742981,0.09716904163360596,0.12831807136535645
0.009999999776482582,oracle_nuisance,0.009716279804706573,1.0292004735844036,0.0021397541277110577,0.00782778300344944,0.06468015909194946,0.09912990033626556
0.009999999776482582,oracle_nuisance,0.009440608322620392,1.0592537508967348,0.002096323063597083,0.026505114510655403,0.07927939295768738,0.10116373747587204
0.009999999776482582,oracle_nuisance,0.01295686699450016,1.2956867284108713,0.0018811635673046112,0.08923431485891342,0.08917556703090668,0.12323033809661865
0.009999999776482582,pred_a1_only,0.0515822172164917,5.158221836944413,0.001971347024664283,0.6453096270561218,0.10406315326690674,0.10633120685815811
0.009999999776482582,pred_a1_only,0.0010000000474974513,9.999999301508103,0.029126374050974846,4.3590545654296875,0.13568663597106934,0.12342305481433868
0.009999999776482582,pred_a1_only,0.0010000000474974513,9.999999301508103,0.16219419240951538,2.603696346282959,0.18558354675769806,0.13407942652702332
0.009999999776482582,pred_a1_only,0.3548133969306946,35.48134048613922,0.002094410825520754,0.5994827151298523,0.09205637872219086,0.10991499572992325
0.009999999776482582,pred_a1_only,0.0010000000474974513,9.999999301508103,0.027947207912802696,2.8389387130737305,0.1680130660533905,0.14084385335445404
0.009999999776482582,pred_a1_only,1.0,100.00000223517424,0.0051306625828146935,0.5749520063400269,0.061951227486133575,0.10198277235031128
0.009999999776482582,pred_a1_only,0.6683439016342163,66.8343916572867,0.0019769296050071716,0.4012792706489563,0.0670744851231575,0.0975089892745018
0.009999999776482582,pred_a1_only,0.3548133969306946,35.48134048613922,0.002229150850325823,0.7998740077018738,0.12637871503829956,0.1508786976337433
0.009999999776482582,pred_a1_only,0.8413951396942139,84.13951585008611,0.0036939899437129498,0.852260172367096,0.0966591164469719,0.14447373151779175
0.009999999776482582,pred_a1_only,0.0010000000474974513,9.999999301508103,0.030194750055670738,0.9265509247779846,0.17743825912475586,0.14541155099868774
