design_id,kind,q2_points,q2_min,q2_max,overlap_with_current_fraction,fim3_lambda_min_min_slice,fim3_lambda_min_p10_slice,fim3_lambda_min_median_slice,agamma_lambda_min_min_target_slice,agamma_lambda_min_median_target_slice,heuristic_rank
mixed_targeted_256,mixed,256,-150.0,-0.05,0.20100502512562815,1320.1917781520467,1659.2770290540325,4097.833123077666,31744.58973946145,40933.55865287357,1
robust3p_eopt_200,robust3p,200,-150.0,-0.05,0.12060301507537688,1133.903908270593,1428.2343717599283,3540.1941037567562,28260.616199980286,36791.01732874791,2
worstslice_agamma_200,worstslice_agamma,200,-150.0,-0.05,0.12060301507537688,1133.903908270593,1428.2343717599283,3540.1941037567562,28260.616199980286,36791.01732874791,3
mixed_targeted_200,mixed,200,-150.0,-0.05,0.12060301507537688,1133.903908270593,1428.2343717599283,3540.1941037567562,28260.616199980286,36791.01732874791,4
hybrid_plus_targeted_240,augment_current,240,-150.0,-0.05,1.0,661.4464537319783,823.8489691594916,2018.1899576899762,12864.14832553339,16715.97879716189,5
hybrid_near_200,exp38_current_best,199,-150.0,-0.2,1.0,244.5337392065867,294.51100809566765,627.6158778315347,4487.414336643893,5397.613239135695,6
